brand_id,fascia_id,brand,fascia,p25_m2,median_m2,p75_m2,min_m2,max_m2,sample_count,coefficient_of_variation
2c113569-1204-4d39-a3b2-b66dd01b5914,0b273461-c30f-4232-837d-a948864c5123,Wendy's,Wendy's,221.0,258.0,383.0,204.0,454.0,5,0.359
2c113569-1204-4d39-a3b2-b66dd01b5914,,Wendy's,,221.0,258.0,383.0,204.0,454.0,5,0.359
d915a841-6770-4a21-9a76-3402599d3866,5a1b3bf9-fbcb-458d-84c3-37122814ff64,Shoezone,Shoezone,243.8,341.0,416.8,50.0,977.0,28,0.543
d915a841-6770-4a21-9a76-3402599d3866,,Shoezone,,243.8,341.0,416.8,50.0,977.0,28,0.543
731953ab-55aa-449d-b8ef-ac7779fce37d,5d57f56a-5433-4c8b-a2a3-ff5b09adb838,Deichmann,Deichmann,536.0,615.5,779.2,452.0,1317.0,16,0.357
731953ab-55aa-449d-b8ef-ac7779fce37d,,Deichmann,,536.0,615.5,779.2,452.0,1317.0,16,0.357
e7f7cd72-a4bd-4dea-a91e-5906f59239e7,b7fe245a-67b9-4757-a5b2-379553b71ecb,The Entertainer,The Entertainer,349.0,507.0,596.0,278.0,676.0,7,0.332
e7f7cd72-a4bd-4dea-a91e-5906f59239e7,,The Entertainer,,349.0,507.0,596.0,278.0,676.0,7,0.332
a7033043-3ef1-5159-9f86-990f67f19019,c162b2b3-b333-5dbc-89d6-6c70a53db6da,The Radstock Co-operative Society,The Co-operative Food,196.0,340.0,376.0,82.0,651.0,13,0.472
a7033043-3ef1-5159-9f86-990f67f19019,,The Radstock Co-operative Society,,196.0,340.0,376.0,82.0,651.0,13,0.472
823d34d1-ed4f-46c7-9971-c228de94ce30,777fbd62-d59a-4995-bf32-2495f9e715ba,Sainsbury's Smart Charge,Sainsbury's Smart Charge,1472.5,3659.5,6641.5,416.0,10737.0,6,0.891
823d34d1-ed4f-46c7-9971-c228de94ce30,,Sainsbury's Smart Charge,,1472.5,3659.5,6641.5,416.0,10737.0,6,0.891
