Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01013216,190,64,74,23,20,7,1,0,1
S01013217,287,79,101,57,38,11,2,0,0
S01013218,217,66,71,42,23,8,2,0,1
S01013219,199,62,83,33,16,7,1,0,0
S01013220,247,84,75,48,19,15,3,4,0
S01013221,369,117,118,71,49,8,3,3,0
S01013222,303,144,79,40,30,10,1,1,0
S01013223,563,300,160,56,37,2,3,2,0
S01013224,376,156,100,61,32,13,8,2,0
S01013225,306,78,101,59,42,20,6,0,0
S01013226,202,48,66,41,34,8,3,2,0
S01013227,323,159,92,41,21,5,1,0,0
S01013228,411,253,104,26,20,2,2,0,0
S01013229,368,149,127,61,27,3,1,0,0
S01013230,286,112,105,32,32,4,1,0,0
S01013231,312,133,112,38,24,2,2,1,0
S01013232,339,137,101,59,33,6,0,0,1
S01013233,284,102,104,32,34,9,2,0,0
S01013234,139,22,62,19,22,9,4,1,0
S01013235,359,147,138,38,28,5,2,0,0
S01013236,409,136,175,53,39,4,2,0,0
S01013237,341,124,123,43,39,10,3,0,0
S01013238,472,223,123,66,33,15,9,2,0
S01013239,378,126,141,57,43,12,0,0,0
S01013240,245,108,68,35,19,11,1,0,0
S01013241,350,86,159,63,36,6,1,1,0
S01013242,257,70,93,49,30,9,4,2,0
S01013243,295,114,98,45,29,4,4,0,0
S01013244,333,149,95,39,40,5,1,0,1
S01013245,401,125,137,65,57,10,2,4,1
S01013246,238,58,87,38,40,7,2,0,0
S01013247,337,146,108,43,38,1,0,0,0
S01013248,293,123,83,44,28,12,1,0,0
S01013249,186,57,60,40,24,3,0,0,0
S01013250,507,114,184,93,83,25,6,0,0
S01013251,318,112,87,47,45,17,2,3,1
S01013252,197,62,64,32,31,6,1,1,0
S01013253,319,106,114,43,41,13,6,0,0
S01013254,288,122,82,45,24,17,1,0,0
S01013255,356,99,129,66,43,14,2,0,1
S01013256,361,146,104,56,43,7,3,0,1
S01013257,415,221,125,35,26,6,2,0,0
S01013258,306,81,134,45,35,7,5,0,0
S01013259,335,93,120,64,41,14,2,0,0
S01013260,381,134,112,61,52,16,5,0,0
S01013261,351,118,109,60,43,13,4,4,0
S01013262,272,93,102,36,28,4,3,0,0
S01013263,196,37,92,30,33,7,0,0,0
S01013264,164,19,55,39,43,7,1,0,0
S01013265,206,17,71,53,46,16,3,1,1
S01013266,188,26,58,34,53,9,1,2,1
S01013267,238,85,82,39,19,10,2,0,0
S01013268,289,85,104,53,35,7,4,0,0
S01013269,739,174,253,130,140,29,7,1,1
S01013270,276,38,111,46,62,16,6,1,0
S01013271,243,45,126,39,25,8,0,0,0
S01013272,258,27,89,64,57,20,2,0,1
S01013273,330,39,110,89,68,24,2,1,1
S01013274,348,119,140,50,30,7,2,0,0
S01013275,252,61,93,44,42,7,2,2,2
S01013276,235,52,102,41,31,7,4,1,0
S01013277,365,89,133,70,55,12,6,0,0
S01013278,369,133,94,69,43,19,6,0,0
S01013279,266,81,91,44,26,16,5,3,0
S01013280,254,78,85,34,43,9,8,0,1
S01013281,360,125,117,61,41,13,3,0,0
S01013282,346,127,87,63,50,13,4,1,0
S01013283,438,196,134,51,38,15,1,3,0
S01013284,304,114,116,47,25,5,0,0,0
S01013285,268,104,92,44,32,3,0,0,0
S01013286,290,110,105,34,24,14,0,1,0
S01013287,282,57,122,51,42,8,0,0,0
S01013288,325,143,93,45,31,10,2,0,0
S01013289,474,77,181,86,94,22,5,2,0
S01013290,342,103,104,68,48,13,4,0,0
S01013291,249,44,84,56,53,11,0,0,0
S01013292,595,102,228,116,117,20,5,4,0
S01013293,273,67,121,45,36,4,0,0,0
S01013294,273,95,109,40,20,5,2,1,2
S01013295,325,127,124,44,19,7,0,0,0
S01013296,292,91,105,57,22,12,4,0,0
S01013297,310,119,96,49,33,6,1,3,0
S01013298,1082,190,356,246,228,50,8,5,0
S01013299,447,133,161,82,54,13,5,0,0
S01013300,349,142,122,52,26,8,1,2,0
S01013301,243,84,97,36,16,8,1,1,0
S01013302,332,85,139,57,42,17,0,0,0
S01013303,376,137,123,61,38,14,3,0,0
S01013304,435,199,117,59,38,19,7,0,0
S01013305,349,128,108,69,33,6,1,4,1
S01013306,494,262,113,74,29,8,5,3,0
S01013307,441,182,122,71,48,14,5,0,0
S01013308,389,143,101,67,53,21,1,1,0
S01013309,332,63,108,84,59,14,2,0,0
S01013310,245,81,65,45,40,13,1,0,0
S01013311,327,78,111,66,47,17,4,1,0
S01013312,519,212,155,73,51,18,2,3,0
S01013313,274,86,80,42,43,14,0,2,0
S01013314,335,137,106,53,30,9,0,0,0
S01013315,254,33,69,59,66,18,6,2,1
S01013316,254,64,103,38,29,19,1,0,0
S01013317,338,118,142,49,17,9,0,0,0
S01013318,245,64,92,40,40,10,2,0,0
S01013319,209,43,71,39,47,7,1,0,0
S01013320,356,76,108,85,71,12,2,2,0
S01013321,228,108,88,21,12,2,0,0,0
S01013322,268,57,95,58,44,9,6,1,3
S01013323,419,161,150,53,42,13,2,0,0
S01013324,279,117,64,58,27,12,5,0,0
S01013325,446,116,162,85,51,19,8,4,1
S01013326,210,67,60,43,21,11,5,1,0
S01013327,266,77,64,67,28,13,5,1,2
S01013328,236,71,72,38,32,11,11,2,0
S01013329,231,71,64,41,28,19,2,0,1
S01013330,450,152,164,66,54,13,4,0,2
S01013331,245,67,86,46,38,7,3,1,0
S01013332,285,78,92,54,51,9,6,1,0
S01013333,329,90,112,54,54,10,8,0,1
S01013334,316,93,115,62,26,15,4,2,0
S01013335,294,71,76,62,52,23,6,2,3
S01013336,342,129,86,56,33,20,10,5,1
S01013337,369,103,152,43,50,15,6,3,0
S01013338,167,18,36,36,40,22,7,2,0
S01013339,239,69,109,29,24,4,2,0,0
S01013340,332,92,154,47,36,4,0,0,0
S01013341,457,143,189,64,43,18,2,0,2
S01013342,319,154,74,39,30,11,5,4,1
S01013343,275,97,88,39,39,13,0,0,0
S01013344,352,137,84,59,50,24,5,2,0
S01013345,336,110,99,60,45,16,5,0,0
S01013346,287,45,100,55,62,20,5,0,0
S01013347,342,144,105,37,49,8,2,0,0
S01013348,317,88,94,66,62,4,2,1,0
S01013349,375,154,129,46,38,5,4,0,1
S01013350,286,116,91,39,29,14,2,2,0
S01013351,283,97,91,44,40,9,4,0,0
S01013352,330,108,111,56,44,10,3,1,1
S01013353,306,105,94,44,31,20,6,4,1
S01013354,331,105,129,41,38,9,1,0,0
S01013355,271,86,95,52,31,8,1,0,0
S01013356,308,121,92,43,31,12,4,0,1
S01013357,479,157,185,55,59,14,8,1,0
S01013358,374,142,116,63,35,12,4,2,1
S01013359,295,130,79,42,30,10,2,0,0
S01013360,300,93,102,54,35,10,2,1,0
S01013361,259,111,84,44,12,7,0,0,0
S01013362,205,75,70,27,23,4,3,0,0
S01013363,379,169,120,49,30,10,2,0,0
S01013364,405,124,139,74,46,17,3,0,1
S01013365,449,159,188,56,28,8,5,0,4
