Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012551,317,317,105,208,2,3,3,0,0,0
S01012552,390,376,247,95,33,14,12,2,1,0
S01012553,384,369,160,177,30,15,14,0,0,0
S01012554,191,188,46,112,29,3,2,0,1,0
S01012555,214,209,63,142,3,1,1,0,0,0
S01012556,213,213,154,55,2,2,1,0,2,0
S01012557,278,238,155,61,23,40,32,7,0,0
S01012558,284,220,25,92,104,64,64,0,0,0
S01012559,426,182,25,53,100,244,243,1,0,0
S01012560,264,224,64,53,107,40,39,1,0,0
S01012561,364,264,69,96,99,100,100,0,0,0
S01012562,424,146,25,49,72,278,277,1,0,0
S01012563,321,308,246,61,1,13,12,0,0,0
S01012564,292,248,81,160,6,44,34,13,0,0
S01012565,360,239,58,130,49,121,102,18,3,0
S01012566,459,115,35,36,44,344,274,35,35,0
S01012567,520,99,31,51,17,421,392,28,1,0
S01012568,248,197,39,134,24,54,34,18,0,0
S01012569,397,329,219,105,5,67,32,36,0,0
S01012570,209,198,122,41,35,11,8,2,1,0
S01012571,354,322,154,88,80,34,29,1,4,0
S01012572,206,194,109,48,36,12,10,2,0,0
S01012573,372,359,261,79,19,12,8,2,1,2
S01012574,382,356,271,64,20,29,28,1,0,1
S01012575,303,277,200,46,28,26,18,8,0,0
S01012576,352,266,156,65,47,86,62,13,17,0
S01012577,554,503,242,123,138,47,47,3,0,1
S01012578,449,342,196,101,45,107,92,9,6,0
S01012579,338,314,190,67,57,25,25,0,0,1
S01012580,356,349,244,64,41,6,1,2,0,1
S01012581,301,247,70,135,42,53,51,2,0,2
S01012582,418,388,247,114,28,17,15,1,0,13
S01012583,338,298,73,99,127,39,36,1,1,1
S01012584,356,329,152,104,71,25,27,1,2,0
S01012585,401,293,40,110,143,108,103,5,0,0
S01012586,319,298,141,64,93,17,12,11,0,1
S01012587,341,338,252,61,25,2,2,0,0,1
S01012588,270,267,154,44,69,4,4,0,0,0
S01012589,282,274,42,32,195,8,11,0,1,0
S01012590,375,287,62,99,132,90,85,1,3,0
S01012591,348,259,23,122,114,86,88,1,0,0
S01012592,281,275,196,47,29,3,3,1,0,0
S01012593,359,326,213,94,23,36,36,0,0,0
S01012594,217,182,73,93,18,32,29,1,2,0
S01012595,284,243,78,84,81,41,38,0,1,0
S01012596,305,233,68,98,67,80,74,1,1,0
