Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01007753,220,166,7,77,82,54,54,0,0,0
S01007754,411,318,8,165,143,90,90,0,0,0
S01007755,352,255,16,129,111,98,95,5,0,0
S01007756,263,221,5,100,116,42,41,1,0,0
S01007757,365,361,150,207,4,4,2,0,0,0
S01007758,445,272,150,77,44,173,128,42,3,0
S01007759,568,137,36,44,57,431,389,33,9,0
S01007760,267,193,102,74,15,74,51,23,0,0
S01007761,432,269,96,116,57,163,99,63,1,0
S01007762,442,118,40,38,37,327,285,33,8,0
S01007763,316,98,18,50,30,219,212,5,1,0
S01007764,313,293,106,179,9,18,8,5,0,0
S01007765,293,273,105,155,13,20,18,3,0,0
S01007766,381,371,144,220,7,10,10,0,0,0
S01007767,396,368,150,196,21,27,27,3,0,0
S01007768,369,159,50,53,56,209,178,31,0,1
S01007769,322,275,156,102,15,50,32,15,0,0
S01007770,318,265,164,85,16,53,42,11,0,0
S01007771,239,228,122,100,6,12,9,2,0,0
S01007772,526,308,45,107,160,214,211,3,0,0
S01007773,316,310,151,155,4,6,6,0,0,0
S01007774,319,321,263,49,9,2,2,0,0,0
S01007775,345,321,170,129,24,24,23,1,0,0
S01007776,280,218,178,37,4,58,57,1,0,0
S01007777,380,369,289,43,33,11,11,0,0,0
S01007778,256,236,194,16,26,18,18,0,0,0
S01007779,357,323,76,203,40,34,31,4,0,0
S01007780,349,317,97,212,8,30,29,1,0,0
S01007781,407,379,72,269,37,28,26,2,0,0
S01007782,294,153,10,92,53,141,141,0,0,0
S01007783,431,363,24,199,140,64,67,1,0,0
S01007784,285,233,22,150,61,52,50,2,0,0
S01007785,268,130,14,79,37,138,135,5,0,0
S01007786,321,304,8,176,120,19,12,3,0,0
S01007787,276,231,6,137,88,41,41,0,0,0
S01007788,276,160,13,97,52,114,114,0,0,0
S01007789,241,217,9,134,74,24,24,0,0,0
S01007790,310,110,9,84,17,204,201,2,1,0
S01007791,252,249,76,155,18,3,3,0,0,0
S01007792,367,357,11,177,167,12,12,0,0,0
S01007793,459,182,14,105,60,277,269,8,0,0
S01007794,223,152,10,79,63,74,70,1,1,1
S01007795,284,126,3,88,35,159,161,0,0,0
S01007796,292,216,37,97,82,72,75,2,0,0
S01007797,287,261,23,133,105,26,25,1,0,0
S01007798,229,219,97,58,60,10,6,3,0,0
S01007799,198,181,135,37,9,16,16,0,0,0
S01007800,353,297,12,242,43,52,55,2,0,0
S01007801,417,245,12,213,20,172,164,8,0,0
S01007802,200,189,6,147,34,10,8,2,0,0
S01007803,474,302,30,162,107,172,154,8,10,0
S01007804,246,214,16,156,42,32,31,1,0,0
S01007805,205,199,21,136,45,6,5,1,0,0
S01007806,294,230,7,130,93,64,62,2,0,0
S01007807,314,281,105,128,45,33,26,6,1,0
S01007808,317,299,43,166,90,19,18,1,0,0
S01007809,389,379,43,288,48,10,8,2,0,0
S01007810,388,347,52,185,106,42,44,2,0,0
S01007811,426,419,59,217,143,10,7,3,0,0
S01007812,361,341,21,235,85,20,16,4,0,0
S01007813,298,258,20,173,65,40,36,3,1,0
S01007814,235,205,12,120,73,30,27,3,0,0
S01007815,351,348,133,195,18,3,2,1,0,0
S01007816,252,246,57,116,73,5,5,0,0,1
S01007817,205,201,4,123,69,6,5,1,0,0
S01007818,305,265,59,109,93,43,34,6,0,0
S01007819,378,349,60,210,82,29,23,5,1,0
S01007820,415,334,41,258,41,73,61,15,2,0
S01007821,237,159,30,107,26,77,71,6,0,0
S01007822,375,316,51,206,56,61,60,0,0,0
S01007823,274,226,35,161,30,44,38,6,0,0
S01007824,401,300,99,108,93,101,87,11,3,0
S01007825,463,273,75,162,31,194,180,12,2,0
S01007826,293,203,24,153,26,90,78,12,0,0
S01007827,281,119,18,62,39,162,144,14,2,0
S01007828,579,98,15,28,56,477,465,12,0,0
S01007829,299,55,24,19,16,244,244,4,0,0
S01007830,500,116,14,42,60,381,376,5,0,0
S01007831,516,140,22,65,56,376,371,5,1,0
S01007832,324,73,12,43,19,251,251,0,1,0
S01007833,479,151,49,75,28,328,323,4,1,0
S01007834,395,51,4,32,15,343,340,3,0,1
S01007835,320,154,41,77,34,166,162,3,0,0
S01007836,315,186,51,109,28,125,118,7,0,0
S01007837,334,321,78,238,5,13,10,2,0,0
S01007838,443,419,119,279,19,25,24,1,0,0
S01007839,296,177,37,50,90,119,110,9,0,0
S01007840,444,121,7,45,71,327,327,0,0,0
S01007841,324,147,6,66,75,180,178,2,0,0
S01007842,341,112,11,53,48,229,225,2,1,0
S01007843,347,103,14,32,57,244,236,4,1,0
S01007844,427,128,7,57,64,299,296,3,0,0
S01007845,387,197,4,127,64,187,187,2,1,0
S01007846,347,290,6,179,102,57,57,0,0,0
S01007847,387,232,5,118,109,155,154,1,0,0
S01007848,419,157,3,77,77,262,260,2,0,0
S01007849,473,247,15,141,91,226,223,2,2,0
S01007850,289,275,5,185,85,14,14,0,0,0
S01007851,483,343,57,218,65,141,138,2,1,0
S01007852,314,112,6,61,47,202,198,2,1,0
S01007853,493,62,15,29,19,425,408,8,10,5
S01007854,468,148,16,83,52,319,301,13,4,1
S01007855,286,72,23,37,12,210,200,10,4,0
S01007856,411,355,41,144,170,56,53,0,3,0
S01007857,232,182,14,93,73,50,50,0,0,0
S01007858,520,423,62,263,96,97,96,1,0,0
S01007859,272,218,27,167,28,54,53,1,0,0
S01007860,271,248,92,133,23,23,23,0,0,0
S01007861,258,252,9,161,82,6,5,2,0,0
S01007862,301,281,6,237,37,20,20,0,0,0
S01007863,431,195,6,122,70,233,231,2,0,0
S01007864,466,340,16,134,186,126,124,2,0,0
S01007865,330,323,265,53,5,7,5,4,0,0
S01007866,210,211,110,98,4,1,1,0,0,0
S01007867,612,505,312,129,64,105,97,10,0,0
S01007868,364,354,143,207,4,10,8,2,1,0
S01007869,362,333,226,100,5,29,25,5,2,0
S01007870,136,132,57,47,28,3,3,0,0,0
S01007871,272,249,12,110,131,23,22,2,0,0
S01007872,318,215,8,80,127,102,105,1,0,0
S01007873,283,189,55,99,35,95,79,10,5,0
S01007874,360,181,50,53,74,181,173,1,5,0
S01007875,329,323,52,135,136,6,5,0,2,0
S01007876,392,366,117,136,113,26,25,0,0,0
S01007877,338,299,61,171,67,43,37,1,1,0
S01007878,192,161,26,64,71,31,30,1,0,0
S01007879,341,327,28,179,120,13,12,2,0,0
S01007880,245,217,144,41,32,28,28,0,0,0
S01007881,250,170,64,76,34,78,76,2,0,3
S01007882,288,279,211,46,22,9,6,4,0,0
S01007883,466,370,149,124,97,96,89,7,0,0
S01007884,276,256,33,90,133,20,20,0,0,0
S01007885,338,189,24,93,72,148,143,5,1,0
S01007886,432,283,96,69,121,147,135,7,6,0
S01007887,253,242,167,42,33,11,9,2,0,0
S01007888,464,440,25,163,258,20,20,0,0,0
S01007889,234,228,11,78,139,7,6,0,1,0
S01007890,301,284,85,133,67,16,15,0,1,0
S01007891,431,365,124,160,81,66,66,0,0,0
S01007892,342,272,188,40,44,70,66,1,2,0
S01007893,432,418,251,116,51,10,12,3,0,0
S01007894,384,354,33,154,167,30,24,6,0,0
S01007895,250,222,124,46,52,28,25,2,1,0
S01007896,345,186,13,98,74,155,153,6,0,0
S01007897,157,153,114,33,9,5,5,0,0,1
S01007898,192,193,143,37,8,1,1,0,0,4
S01007899,243,220,181,32,6,23,21,0,0,0
S01007900,243,240,21,167,48,9,9,0,0,0
S01007901,291,284,31,114,139,9,7,2,0,0
S01007902,361,351,25,214,112,10,9,1,0,0
S01007903,292,234,91,76,71,59,56,0,4,0
S01007904,330,303,209,57,37,31,23,7,1,0
S01007905,302,279,13,155,111,23,22,1,0,0
S01007906,343,209,28,131,55,132,130,2,1,0
S01007907,252,240,17,173,50,12,12,0,0,0
S01007908,422,324,166,114,44,97,95,1,1,0
S01007909,250,232,11,75,146,18,18,0,0,0
S01007910,376,237,36,104,97,139,138,0,0,0
S01007911,290,192,99,64,29,98,95,1,4,0
S01007912,311,274,54,175,45,39,39,0,0,0
S01007913,311,145,8,91,43,163,163,3,0,0
S01007914,257,222,18,55,149,35,35,0,0,0
S01007915,362,326,18,105,203,36,35,1,0,0
S01007916,371,287,70,166,51,84,83,0,1,0
S01007917,378,305,23,102,180,73,73,0,0,0
S01007918,393,253,66,142,45,140,120,15,5,0
S01007919,326,318,283,26,9,7,4,2,0,0
S01007920,303,294,196,86,12,8,8,0,0,1
S01007921,398,365,25,139,201,33,20,11,2,0
S01007922,368,256,16,143,97,112,110,2,0,0
S01007923,453,406,116,174,115,47,38,7,2,0
S01007924,460,341,91,126,122,115,117,2,0,0
S01007925,186,181,152,21,8,4,0,4,0,0
S01007926,175,171,124,34,17,4,2,0,1,0
S01007927,315,295,201,64,26,22,15,8,1,1
S01007928,437,412,243,89,80,25,21,5,0,0
S01007929,770,734,476,154,104,36,17,19,0,0
S01007930,196,194,131,38,25,3,3,0,0,0
S01007931,481,421,191,103,128,60,50,13,0,0
S01007932,379,321,194,107,20,58,51,5,0,0
S01007933,319,299,83,63,153,20,17,1,1,0
S01007934,280,258,99,73,89,21,22,0,1,0
S01007935,401,148,46,33,69,253,216,20,20,0
S01007936,390,345,222,71,51,46,43,2,0,0
S01007937,490,456,245,156,55,34,34,0,0,0
S01007938,364,220,57,51,112,143,141,2,0,0
S01007939,362,337,28,132,177,25,25,0,0,0
S01007940,495,383,104,182,99,106,105,5,1,0
S01007941,266,251,110,111,27,9,8,3,0,0
S01007942,213,156,25,83,48,57,50,4,3,0
S01007943,321,260,91,51,118,65,57,5,4,0
S01007944,375,288,93,121,73,92,89,3,1,0
S01007945,379,254,63,93,100,128,96,29,2,0
S01007946,288,188,58,47,83,100,88,8,4,0
S01007947,318,286,93,114,79,32,30,2,0,0
S01007948,281,184,19,102,63,97,95,2,0,0
S01007949,309,245,43,169,30,64,64,2,0,0
S01007950,390,346,192,102,52,44,36,8,0,0
S01007951,407,299,101,124,71,108,100,8,3,0
S01007952,339,176,34,73,67,163,144,4,12,0
S01007953,392,286,21,134,131,106,103,1,2,0
S01007954,296,187,7,84,95,109,109,0,0,0
S01007955,324,313,8,115,184,14,14,0,0,0
S01007956,297,288,11,118,155,8,7,1,0,0
S01007957,547,365,58,145,162,182,167,6,8,0
S01007958,268,111,46,37,27,157,156,1,0,0
S01007959,351,307,65,167,72,44,31,10,4,0
S01007960,295,255,33,114,110,40,40,0,0,0
S01007961,339,319,205,63,51,19,14,3,2,1
S01007962,252,216,11,159,46,36,36,0,0,0
S01007963,435,235,21,169,45,196,194,6,0,0
S01007964,356,270,15,194,61,86,86,0,0,0
S01007965,236,147,10,112,23,86,86,3,0,0
S01007966,435,389,50,234,101,46,43,2,0,0
S01007967,232,201,12,153,36,27,22,2,0,0
S01007968,393,333,3,154,176,60,59,1,0,0
S01007969,370,273,16,169,88,97,97,0,0,0
S01007970,469,372,12,177,181,97,97,0,0,0
S01007971,461,295,12,172,111,166,166,0,0,0
S01007972,377,337,7,198,136,38,38,0,0,0
S01007973,357,346,81,254,16,9,9,0,0,0
S01007974,360,121,11,98,8,239,232,5,2,0
S01007975,367,263,15,131,118,104,99,1,4,0
S01007976,432,129,10,68,51,303,296,3,4,0
S01007977,259,184,19,95,66,75,75,0,0,0
S01007978,405,63,11,20,32,342,339,3,0,0
S01007979,405,269,75,163,30,136,103,33,0,0
S01007980,300,190,36,147,6,110,100,8,0,0
S01007981,248,241,35,201,1,7,5,0,1,0
S01007982,213,212,80,57,74,2,2,0,0,0
S01007983,439,296,18,71,207,143,141,1,1,0
S01007984,326,283,18,88,172,43,42,0,1,0
S01007985,381,332,7,53,268,49,49,0,0,0
S01007986,247,239,45,43,151,11,11,0,0,0
S01007987,324,305,97,85,123,19,18,1,0,0
S01007988,301,298,19,57,222,6,6,0,0,0
S01007989,362,349,16,104,229,13,12,0,2,0
S01007990,290,276,53,90,133,18,16,2,0,0
S01007991,426,418,332,77,7,5,4,1,0,0
S01007992,224,221,149,65,8,1,1,0,0,0
S01007993,328,326,120,209,1,2,2,0,0,0
S01007994,297,297,250,46,1,0,0,0,0,0
S01007995,314,314,208,101,7,0,0,0,0,0
S01007996,143,133,103,22,11,7,7,0,0,0
S01007997,351,339,208,111,23,12,7,1,0,0
S01007998,229,174,95,65,11,58,54,3,2,0
S01007999,310,275,8,118,149,33,34,1,0,0
S01008000,398,358,26,149,183,41,40,1,0,0
S01008001,441,339,23,157,159,101,90,8,1,1
S01008002,356,280,13,186,81,76,74,2,0,0
S01008003,252,203,51,79,71,49,46,3,0,0
S01008004,240,231,78,103,50,11,11,0,0,0
S01008005,300,285,62,168,54,15,15,0,0,0
S01008006,252,195,21,95,80,57,57,0,0,0
S01008007,247,115,9,54,52,132,128,4,0,0
S01008008,298,227,19,159,53,74,73,1,0,0
S01008009,444,261,35,153,73,180,175,8,0,0
S01008010,475,358,101,193,64,117,116,0,0,0
S01008011,381,88,21,22,42,290,280,9,1,0
S01008012,514,103,10,60,32,411,392,10,8,0
S01008013,349,144,21,82,41,205,191,10,4,0
S01008014,260,154,38,110,8,105,104,0,0,1
S01008015,532,207,49,92,66,325,320,4,2,0
S01008016,425,131,18,91,20,293,291,2,1,1
S01008017,379,356,150,187,18,23,20,6,0,0
S01008018,311,202,123,73,6,107,107,0,0,0
S01008019,242,186,46,110,30,56,44,13,0,0
S01008020,375,204,60,127,16,171,159,10,3,0
S01008021,304,237,93,135,7,69,55,9,1,0
S01008022,331,319,182,135,2,12,11,1,0,0
S01008023,227,222,190,32,4,5,1,2,0,1
S01008024,395,369,261,84,23,26,19,7,0,0
S01008025,275,268,65,198,5,7,7,0,0,0
S01008026,461,329,60,144,125,132,126,0,6,0
S01008027,239,147,21,53,77,92,90,2,0,0
S01008028,243,212,64,97,52,31,31,0,0,0
S01008029,851,796,527,221,48,50,44,7,0,4
S01008030,478,427,192,182,53,51,48,2,1,0
S01008031,363,277,67,103,107,86,80,5,1,0
S01008032,381,368,72,174,120,14,16,1,0,0
S01008033,264,266,218,32,16,2,2,0,0,1
S01008034,259,217,156,27,35,42,42,0,0,0
S01008035,280,252,113,69,69,26,26,0,0,0
S01008036,246,245,95,129,21,1,0,1,0,0
S01008037,437,289,17,151,123,147,146,1,0,1
S01008038,349,314,8,126,180,32,33,3,0,0
S01008039,357,261,10,176,78,97,95,2,0,0
S01008040,367,357,124,144,90,9,2,6,1,0
S01008041,351,178,23,99,54,171,167,3,0,0
S01008042,285,176,114,54,12,109,96,10,3,0
S01008043,406,378,181,194,7,24,22,2,0,0
S01008044,430,309,114,151,43,122,120,2,0,0
S01008045,518,367,247,72,45,151,145,6,0,0
S01008046,564,177,34,108,38,384,365,12,8,0
S01008047,288,275,143,105,27,13,13,0,0,0
S01008048,242,237,162,68,7,5,5,0,0,0
S01008049,355,336,147,176,8,23,23,0,0,0
S01008050,242,200,167,26,7,42,42,0,0,0
S01008051,331,326,48,277,2,5,4,1,0,0
S01008052,633,535,323,175,37,95,95,0,0,0
S01008053,257,211,98,113,0,47,44,1,0,0
S01008054,365,205,129,49,28,160,142,11,7,0
S01008055,410,395,323,66,9,12,7,5,0,0
S01008056,355,255,164,81,10,101,82,18,0,0
S01008057,392,299,218,47,38,89,88,0,5,0
S01008058,307,264,249,9,4,42,42,0,0,0
S01008059,257,253,114,118,21,4,4,0,0,0
S01008060,275,269,162,82,21,6,5,1,0,0
S01008061,443,346,185,102,61,97,94,1,0,0
S01008062,367,358,22,193,148,7,7,0,0,0
S01008063,376,333,148,161,24,43,39,1,3,0
S01008064,295,179,44,83,52,116,112,3,0,0
S01008065,353,352,205,135,12,5,5,0,0,0
S01008066,326,315,167,143,5,11,5,6,0,0
S01008067,301,240,129,69,46,59,48,11,0,0
S01008068,418,402,162,186,54,16,16,0,0,0
S01008069,374,362,22,204,137,12,9,0,1,0
S01008070,383,356,13,183,160,30,26,0,1,0
S01008071,290,274,18,178,78,13,13,0,0,0
S01008072,364,122,67,18,37,242,231,8,3,0
S01008073,174,145,137,5,3,29,24,5,0,0
S01008074,375,370,235,107,27,5,4,1,0,0
S01008075,244,244,216,17,9,2,2,0,0,0
S01008076,305,163,128,16,18,142,136,3,0,0
S01008077,353,265,168,78,20,88,80,6,2,0
S01008078,360,285,169,114,4,73,73,1,0,0
S01008079,339,333,257,76,1,7,7,0,0,0
S01008080,276,255,160,82,17,18,16,2,0,0
S01008081,238,212,194,15,3,26,26,0,0,0
S01008082,330,311,134,164,13,19,15,3,2,0
S01008083,289,286,165,119,4,3,3,0,0,0
S01008084,386,349,208,71,68,36,35,1,0,0
S01008085,341,329,267,53,4,12,10,3,0,0
S01008086,439,366,210,126,30,72,70,0,0,1
S01008087,329,327,70,241,12,3,4,1,0,0
S01008088,399,326,137,159,31,69,68,4,0,0
S01008089,294,283,91,182,10,11,10,1,0,0
S01008090,303,252,45,198,9,48,48,0,0,0
S01008091,144,144,57,75,10,1,1,0,0,0
S01008092,368,361,154,200,5,7,5,2,0,0
S01008093,301,299,51,242,4,3,3,0,0,0
S01008094,332,330,185,115,22,2,2,0,0,0
S01008095,328,264,27,185,55,69,70,2,0,0
S01008096,335,296,110,153,36,41,37,2,1,0
S01008097,286,212,78,100,34,70,70,0,0,0
S01008098,302,297,33,259,6,5,4,0,2,0
S01008099,201,200,18,91,91,1,1,0,0,0
S01008100,404,296,188,90,11,108,100,5,3,0
S01008101,396,253,95,83,75,145,145,0,0,1
S01008102,277,238,31,144,63,39,39,0,0,0
S01008103,451,149,45,51,53,302,295,7,0,0
S01008104,422,269,30,96,143,153,150,3,0,0
S01008105,490,344,28,116,197,146,142,3,1,0
S01008106,414,287,29,198,60,112,111,0,0,15
S01008107,483,403,339,42,18,83,81,1,1,0
S01008108,293,277,133,131,13,16,16,0,0,0
S01008109,333,327,90,219,18,6,6,0,0,0
S01008110,320,312,45,240,27,8,5,0,2,0
S01008111,352,300,124,174,2,56,49,5,0,0
S01008112,328,324,89,234,1,4,4,0,0,0
S01008113,409,337,188,134,15,72,71,0,1,0
S01008114,259,255,81,171,3,6,6,0,0,0
S01008115,383,341,93,177,64,42,40,2,0,0
S01008116,348,344,145,185,14,3,1,2,0,0
S01008117,336,312,172,104,37,24,23,1,0,0
S01008118,369,351,88,139,124,18,13,5,0,0
S01008119,254,218,13,148,58,35,35,0,0,0
S01008120,289,197,85,89,24,92,84,7,1,0
S01008121,263,256,162,93,0,7,1,6,0,0
S01008122,266,210,145,61,3,60,19,41,0,0
S01008123,394,332,225,78,25,62,43,19,0,0
S01008124,344,339,141,193,7,7,7,0,0,0
S01008125,351,285,117,133,35,66,57,9,0,0
S01008126,301,299,128,168,3,0,0,0,0,0
S01008127,290,288,147,117,24,0,0,0,0,0
S01008128,345,317,134,166,16,28,28,0,0,0
S01008129,406,257,20,201,35,149,147,2,0,0
S01008130,466,216,40,124,52,253,243,5,1,1
S01008131,412,137,10,96,31,270,267,1,6,2
S01008132,470,416,184,221,13,54,49,6,1,0
S01008133,324,147,72,46,27,179,157,14,11,0
S01008134,337,119,45,44,27,218,207,8,3,0
S01008135,625,378,216,70,95,247,241,4,2,0
S01008136,413,230,17,135,78,183,180,2,1,0
S01008137,426,157,23,69,66,268,268,0,0,0
S01008138,380,252,15,148,91,126,124,2,0,0
S01008139,523,404,26,205,175,119,118,0,0,0
S01008140,242,138,40,47,51,104,100,4,0,0
S01008141,312,309,76,227,6,5,5,0,0,0
S01008142,293,289,61,207,21,4,3,0,0,0
S01008143,451,347,81,133,133,105,100,3,0,0
S01008144,1234,1022,737,225,63,212,211,1,0,0
S01008145,434,375,55,185,135,59,57,1,1,0
S01008146,248,182,64,90,32,63,63,3,0,0
S01008147,332,327,16,90,224,11,11,0,0,0
S01008148,333,273,51,147,75,60,60,0,0,0
S01008149,312,261,33,57,171,51,51,0,0,0
S01008150,417,306,11,39,256,111,110,1,0,0
S01008151,287,215,16,34,165,74,74,0,0,1
S01008152,453,380,41,88,251,76,72,2,0,0
S01008153,284,245,171,70,2,43,42,0,1,0
S01008154,423,381,160,186,34,43,43,0,0,0
S01008155,277,255,112,108,35,22,22,0,0,0
S01008156,335,265,121,56,84,65,61,2,4,0
S01008157,387,329,144,117,64,58,56,3,0,0
S01008158,286,262,135,76,51,20,18,1,0,0
S01008159,443,262,59,105,98,181,174,1,3,0
S01008160,386,301,50,131,119,85,80,3,3,0
S01008161,433,400,198,118,83,35,35,0,0,0
S01008162,437,358,114,107,137,78,72,5,1,1
S01008163,352,275,42,103,133,74,74,0,0,0
S01008164,366,202,59,75,68,164,160,2,2,0
S01008165,871,811,319,245,247,57,56,2,1,0
S01008166,231,211,12,123,76,18,15,1,3,0
S01008167,304,211,15,57,137,95,97,4,0,0
S01008168,349,252,28,110,114,97,93,2,2,0
S01008169,378,341,35,119,187,37,35,2,0,0
S01008170,237,216,65,105,46,21,20,0,1,0
S01008171,399,198,8,99,91,201,198,3,0,0
S01008172,259,251,7,175,68,9,7,0,0,0
S01008173,262,255,30,125,100,7,6,1,0,0
S01008174,226,184,18,87,72,46,44,3,0,0
S01008175,369,159,10,74,75,209,209,2,0,2
S01008176,400,209,108,48,55,187,164,24,1,0
S01008177,371,136,21,67,48,232,229,6,0,0
S01008178,278,245,56,119,73,30,30,0,0,0
S01008179,172,165,65,77,23,7,5,0,2,0
S01008180,169,163,110,51,4,7,7,0,0,0
S01008181,273,243,62,87,94,30,28,4,0,0
S01008182,550,90,7,27,54,460,445,10,5,0
S01008183,289,131,6,15,110,158,151,7,0,0
S01008184,486,96,15,36,46,388,358,20,10,0
S01008185,537,77,8,41,28,460,449,10,3,0
S01008186,370,96,27,25,50,274,255,14,7,0
S01008187,348,121,15,64,46,227,217,9,1,0
S01008188,486,99,19,37,39,389,377,9,3,0
S01008189,210,139,21,69,48,71,69,0,0,0
S01008190,363,295,21,131,140,68,67,2,0,0
S01008191,362,304,53,125,126,58,55,0,1,0
S01008192,436,183,20,82,81,253,240,9,4,0
S01008193,344,231,44,49,137,112,96,12,0,0
S01008194,275,190,43,86,62,85,79,5,1,0
S01008195,334,159,10,56,91,175,174,0,1,0
S01008196,376,237,17,117,103,139,138,0,1,0
S01008197,551,425,192,85,150,122,122,3,0,0
S01008198,302,271,27,103,141,34,30,0,0,0
S01008199,305,290,17,112,161,15,18,1,0,0
S01008200,303,257,13,109,133,46,46,0,0,0
S01008201,354,243,21,87,138,111,101,7,1,0
S01008202,254,197,37,111,45,58,57,1,0,0
S01008203,314,75,11,42,22,239,229,2,5,0
S01008204,468,387,40,227,120,81,76,3,3,0
S01008205,293,287,7,180,98,8,8,0,0,0
S01008206,302,249,12,167,70,53,50,2,1,0
S01008207,248,243,15,86,138,11,11,0,0,0
S01008208,362,238,111,88,39,124,123,1,0,0
S01008209,170,146,57,39,52,22,21,1,0,0
S01008210,393,240,48,39,153,153,147,2,1,0
S01008211,441,274,38,86,146,167,157,8,2,0
S01008212,212,210,90,65,55,2,2,0,0,0
S01008213,372,363,156,85,122,10,10,0,0,0
S01008214,349,271,80,52,139,74,70,5,4,0
S01008215,321,279,40,82,157,44,43,1,0,0
S01008216,201,197,49,110,38,4,3,1,0,0
S01008217,231,225,116,64,42,4,4,0,0,2
S01008218,937,852,440,188,224,84,77,7,0,1
S01008219,415,243,128,55,60,172,153,10,9,0
S01008220,230,195,29,92,72,34,30,2,0,0
S01008221,362,164,47,80,34,198,184,7,7,0
S01008222,284,212,20,157,35,72,72,1,1,0
S01008223,270,210,14,109,87,64,58,1,0,0
S01008224,402,385,101,126,162,16,16,0,0,0
S01008225,285,259,17,74,168,29,29,0,0,0
S01008226,392,271,17,108,146,121,121,0,0,0
S01008227,393,289,16,90,183,100,98,1,0,0
S01008228,283,221,164,37,20,66,56,5,2,0
S01008229,303,269,15,71,183,31,30,0,0,0
S01008230,298,280,89,96,90,20,18,1,0,0
S01008231,242,224,177,29,17,20,20,0,0,0
S01008232,311,227,138,61,22,88,86,0,2,0
S01008233,278,266,145,62,55,12,12,0,0,0
S01008234,195,191,31,133,27,4,4,0,0,0
S01008235,432,408,68,256,84,23,23,0,0,0
S01008236,385,327,87,161,77,58,41,15,3,0
S01008237,506,458,134,179,145,48,44,7,0,0
S01008238,370,346,40,154,152,28,25,3,0,0
S01008239,474,445,117,178,150,28,20,8,0,1
S01008240,318,316,207,93,16,2,2,0,0,0
S01008241,284,279,207,42,30,5,2,0,1,0
S01008242,547,500,151,256,93,46,43,1,2,1
S01008243,479,454,199,138,117,25,19,5,1,0
S01008244,265,237,91,86,62,28,17,10,1,0
S01008245,430,411,174,171,63,19,11,8,2,0
S01008246,448,435,325,88,23,7,4,6,1,1
S01008247,325,314,155,120,39,14,10,1,0,0
S01008248,357,338,158,114,59,22,22,0,0,0
S01008249,455,434,181,166,87,20,16,3,1,1
S01008250,1192,1051,662,239,157,108,103,8,0,30
S01008251,438,431,254,120,58,7,5,0,0,0
S01008252,317,274,181,91,8,43,43,0,0,0
S01008253,364,318,22,203,93,46,37,9,0,0
S01008254,440,374,38,209,127,69,66,1,0,0
S01008255,272,261,48,123,90,11,5,6,0,0
S01008256,423,225,31,89,105,197,163,29,5,2
S01008257,381,168,27,67,76,213,183,16,12,0
S01008258,405,333,86,169,79,72,70,2,0,0
S01008259,445,273,67,112,94,172,133,26,13,0
S01008260,340,251,33,92,126,89,77,11,1,0
S01008261,355,338,19,104,213,17,13,3,1,0
S01008262,250,246,105,102,39,6,4,2,0,1
S01008263,289,194,94,84,16,94,79,10,2,1
S01008264,333,291,58,135,94,45,43,2,2,0
S01008265,434,354,202,84,65,80,67,13,0,0
S01008266,312,280,164,87,29,32,20,9,0,0
S01008267,400,386,183,157,46,14,8,2,1,0
S01008268,325,193,138,45,10,134,38,95,1,0
S01008269,419,303,233,35,35,116,93,19,0,0
S01008270,374,211,126,57,28,163,122,42,2,0
S01008271,381,110,34,33,45,268,232,24,9,0
S01008272,1075,952,601,208,143,124,120,3,0,0
S01008273,352,294,179,54,61,58,32,26,0,0
S01008274,321,249,25,104,119,68,65,1,0,0
S01008275,241,136,48,59,33,105,75,27,0,0
S01008276,231,166,131,17,21,65,60,2,0,0
S01008277,301,290,151,75,64,7,5,4,0,0
S01008278,420,412,261,66,81,8,2,6,0,0
S01008279,318,276,98,107,72,42,35,7,0,0
S01008280,446,378,157,118,98,75,37,33,5,0
S01008281,327,317,144,107,66,11,6,4,0,0
S01008282,286,278,121,101,55,4,2,3,0,3
S01008283,445,440,282,74,84,5,4,1,0,0
S01008284,1072,999,482,334,187,73,66,6,2,0
S01008285,339,171,36,110,25,167,163,5,0,0
S01008286,317,278,51,128,100,38,38,0,0,1
S01008287,329,255,99,85,71,74,67,7,0,0
S01008288,427,236,74,119,43,188,157,22,5,0
S01008289,291,118,10,37,70,174,146,24,4,0
S01008290,397,198,55,60,86,197,156,34,7,1
S01008291,395,278,192,78,9,117,113,2,2,0
S01008292,311,247,67,168,8,64,58,5,2,0
S01008293,203,200,180,18,2,2,2,0,0,0
S01008294,320,309,194,109,6,11,8,5,0,0
S01008295,365,344,80,170,99,21,22,0,0,0
S01008296,299,252,59,104,88,47,50,1,0,0
S01008297,331,292,174,78,37,42,42,0,0,0
S01008298,393,353,117,116,120,38,34,3,1,0
S01008299,353,173,46,96,30,180,174,3,3,0
S01008300,351,234,69,129,36,115,115,0,0,0
S01008301,335,315,123,136,58,15,10,0,0,0
S01008302,390,362,213,115,34,8,8,0,0,20
S01008303,293,118,59,31,28,175,173,2,0,0
S01008304,175,136,79,51,3,39,38,1,0,0
