Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01008259,873,12,12,2,1,1
S01008260,721,7,2,1,0,5
S01008261,787,6,0,3,1,6
S01008262,599,12,2,2,0,3
S01008263,671,8,4,3,0,5
S01008264,749,17,4,0,0,1
S01008265,904,14,1,2,0,1
S01008266,640,2,2,0,0,0
S01008267,945,10,15,0,0,10
S01008268,746,8,3,1,0,0
S01008269,853,17,3,5,2,0
S01008270,729,5,3,0,0,2
S01008271,621,3,4,0,1,2
S01008272,2730,36,39,8,5,10
S01008273,789,6,2,0,0,2
S01008274,667,8,12,1,0,35
S01008275,529,3,4,0,0,5
S01008276,495,11,1,2,1,5
S01008277,705,0,2,0,1,0
S01008278,983,9,3,0,2,3
S01008279,685,7,5,0,0,3
S01008280,933,9,6,1,0,2
S01008281,748,4,5,0,0,1
S01008282,660,2,0,0,0,0
S01008283,1142,9,17,0,0,2
S01008284,2729,37,39,5,1,8
S01008285,667,3,6,2,0,1
S01008286,756,6,2,6,3,2
S01008287,822,4,15,0,2,5
S01008288,886,11,9,4,0,5
S01008289,514,13,17,1,2,12
S01008290,839,18,10,4,0,0
S01008291,748,18,6,0,0,0
S01008292,723,7,2,0,3,3
S01008293,556,4,3,0,0,0
S01008294,819,2,10,2,0,8
S01008295,839,15,4,1,0,4
S01008296,666,6,0,0,0,8
S01008297,855,13,14,1,0,9
S01008298,948,8,34,4,0,0
S01008299,667,1,20,0,1,13
S01008300,740,0,50,1,0,0
S01008301,737,6,6,4,0,0
S01008302,921,0,12,2,0,1
S01008303,554,2,13,2,1,3
S01008304,388,3,2,0,0,0
S01008305,634,6,10,0,0,1
S01008306,526,1,9,1,0,0
S01008307,811,3,42,1,0,0
S01008308,515,0,12,0,0,5
S01008309,544,5,55,14,0,10
S01008310,972,6,22,4,0,4
S01008311,417,2,9,0,0,3
S01008312,369,2,14,4,0,4
S01008313,757,13,23,1,2,2
S01008314,485,7,5,2,0,5
S01008315,633,1,14,6,0,3
S01008316,574,15,27,4,0,2
S01008317,841,10,109,6,2,13
S01008318,1448,9,175,7,0,8
S01008319,771,3,15,5,0,0
S01008320,615,9,18,0,0,3
S01008321,405,0,6,0,0,0
S01008322,973,11,14,8,1,18
S01008323,612,6,32,3,5,0
S01008324,776,11,71,16,0,1
S01008325,673,4,52,1,0,5
S01008326,865,13,56,20,0,1
S01008327,809,9,11,2,2,0
S01008328,2643,81,677,35,5,78
S01008329,647,17,190,8,0,12
S01008330,595,14,198,6,0,18
S01008331,390,10,126,14,0,16
S01008332,749,14,189,9,0,10
S01008333,883,15,101,2,0,7
S01008334,634,17,101,5,0,9
S01008335,520,15,136,2,0,8
S01008336,597,12,149,8,4,16
S01008337,715,16,183,4,0,22
S01008338,584,12,153,1,0,17
S01008339,447,2,71,21,0,19
S01008340,552,10,162,14,0,18
S01008341,478,8,86,8,0,21
S01008342,665,18,88,6,0,21
S01008343,722,12,96,1,0,27
S01008344,781,17,96,0,0,35
S01008345,843,15,171,0,0,23
S01008346,838,16,119,9,1,24
S01008347,821,15,225,5,1,46
S01008348,595,16,109,0,0,21
S01008349,682,14,127,1,0,11
S01008350,491,2,59,0,0,15
S01008351,797,6,105,0,0,20
S01008352,556,7,118,0,0,17
S01008353,429,10,52,6,0,17
S01008354,1931,50,846,56,6,93
S01008355,685,4,31,6,0,1
S01008356,547,2,10,6,0,0
S01008357,623,1,13,0,0,1
S01008358,713,3,10,0,0,3
S01008359,700,4,12,0,0,1
S01008360,795,12,18,1,0,4
S01008361,865,5,15,4,0,3
S01008362,1097,23,229,2,0,38
S01008363,618,3,98,0,0,22
S01008364,542,6,95,0,1,15
S01008365,521,5,101,0,1,28
S01008366,776,12,78,1,0,13
S01008367,657,20,66,0,0,9
S01008368,581,6,74,4,1,5
S01008369,620,12,20,2,0,2
S01008370,614,13,45,6,2,6
S01008371,693,10,42,0,0,1
S01008372,660,5,63,0,1,7
S01008373,673,9,53,0,0,10
S01008374,694,8,45,2,0,10
S01008375,740,7,16,1,0,6
S01008376,498,6,21,0,0,0
S01008377,707,12,35,0,0,2
S01008378,904,13,43,1,0,4
S01008379,479,0,53,0,0,2
S01008380,617,16,17,0,2,5
S01008381,606,4,24,1,1,2
S01008382,782,13,73,0,0,4
S01008383,465,5,18,0,2,0
S01008384,858,6,57,0,0,4
S01008385,624,1,31,0,0,3
S01008386,768,18,49,1,0,3
S01008387,545,15,12,1,0,4
S01008388,552,10,12,0,0,0
S01008389,632,1,17,0,0,0
S01008390,615,7,8,0,0,1
S01008391,778,5,24,0,1,2
S01008392,876,10,10,1,0,0
S01008393,716,7,36,4,0,4
S01008394,761,14,34,3,0,5
S01008395,425,9,59,4,0,8
S01008396,594,5,71,0,0,6
S01008397,777,16,63,1,1,11
S01008398,568,7,56,0,0,7
S01008399,446,8,36,0,0,12
S01008400,560,7,128,1,0,1
S01008401,767,6,119,2,0,9
S01008402,982,11,111,0,1,46
S01008403,551,12,9,0,0,4
S01008404,864,5,31,0,1,12
S01008405,721,9,25,0,1,11
S01008406,874,12,34,0,0,17
S01008407,437,4,64,0,0,19
S01008408,504,7,72,0,1,3
S01008409,739,14,120,5,0,14
S01008410,514,13,88,4,0,12
S01008411,499,13,72,10,0,4
S01008412,574,12,117,7,0,23
S01008413,390,14,54,2,0,8
S01008414,449,3,89,2,0,8
S01008415,621,22,187,6,0,23
S01008416,716,18,150,10,0,20
S01008417,709,8,7,2,0,1
S01008418,612,6,22,0,1,1
S01008419,440,5,10,7,3,3
S01008420,405,10,15,4,1,4
S01008421,804,10,31,12,1,6
S01008422,552,11,9,1,0,1
S01008423,1374,13,61,22,1,13
S01008424,818,2,20,0,0,0
S01008425,2431,74,645,75,4,90
S01008426,550,16,35,5,0,17
S01008427,909,22,52,3,0,4
S01008428,698,6,32,3,0,14
S01008429,878,8,42,6,0,22
S01008430,866,19,37,3,9,10
S01008431,784,16,21,6,0,2
S01008432,662,13,14,2,0,2
S01008433,725,8,26,7,0,1
S01008434,892,7,52,11,2,5
S01008435,672,8,36,12,3,3
S01008436,874,21,26,2,1,15
S01008437,688,5,4,2,1,1
S01008438,593,14,25,7,1,4
S01008439,1042,27,25,18,0,4
S01008440,1034,13,20,7,0,0
S01008441,466,8,11,0,0,2
S01008442,652,17,21,2,1,3
S01008443,607,14,20,0,0,1
S01008444,875,12,34,2,8,13
S01008445,840,6,42,7,3,13
S01008446,1031,20,58,9,1,3
S01008447,633,19,23,1,0,4
S01008448,664,14,31,1,1,7
S01008449,586,9,80,151,8,18
S01008450,410,15,58,54,3,8
S01008451,496,30,17,101,4,28
S01008452,404,20,42,75,9,35
S01008453,517,23,35,105,3,27
S01008454,688,12,39,84,8,27
S01008455,696,21,74,140,7,17
S01008456,660,15,60,108,7,22
S01008457,479,8,36,66,3,12
S01008458,825,11,66,13,1,9
S01008459,549,25,39,78,12,22
S01008460,702,17,29,43,5,30
S01008461,779,23,43,48,13,8
S01008462,446,13,5,21,1,8
S01008463,429,5,27,46,7,19
S01008464,716,8,90,17,0,3
S01008465,642,17,52,11,1,10
S01008466,570,12,55,33,4,10
S01008467,626,5,68,20,0,19
S01008468,854,12,130,38,1,34
S01008469,420,6,122,8,0,1
S01008470,678,14,131,49,3,32
S01008471,603,49,84,78,15,47
S01008472,475,14,81,41,6,35
S01008473,458,15,62,30,1,12
S01008474,629,12,106,10,0,18
S01008475,471,6,85,14,0,14
S01008476,576,7,83,16,1,15
S01008477,614,6,90,7,2,18
S01008478,870,22,148,72,5,59
S01008479,602,20,85,20,0,28
S01008480,339,19,178,20,2,29
S01008481,1615,34,97,17,3,31
S01008482,462,7,46,14,1,11
S01008483,542,7,33,11,3,2
S01008484,622,9,64,5,7,17
S01008485,891,13,117,24,5,32
S01008486,714,18,144,14,1,10
S01008487,900,35,310,30,1,29
S01008488,610,24,157,7,8,27
S01008489,556,11,73,23,1,11
S01008490,662,13,156,12,0,13
S01008491,652,18,186,16,1,46
S01008492,1018,24,157,26,2,26
S01008493,1015,25,186,39,4,32
S01008494,710,38,102,33,1,26
S01008495,686,12,143,25,2,25
S01008496,696,27,159,20,0,23
S01008497,644,16,105,6,2,19
S01008498,680,15,100,20,2,19
S01008499,707,19,100,31,2,8
S01008500,301,7,62,34,0,19
S01008501,438,13,139,11,5,4
S01008502,496,17,135,10,5,17
S01008503,688,29,62,6,7,14
S01008504,986,42,50,2,0,8
S01008505,624,18,20,8,1,3
S01008506,873,22,31,5,2,4
S01008507,985,35,71,18,0,15
S01008508,666,13,58,4,0,13
S01008509,1018,37,50,7,1,20
S01008510,808,2,33,2,0,5
S01008511,872,7,48,2,0,5
S01008512,475,6,36,0,0,3
S01008513,596,7,47,0,0,0
S01008514,905,19,27,1,1,2
S01008515,739,31,22,8,0,5
S01008516,871,43,92,6,4,40
S01008517,672,29,57,9,1,18
S01008518,812,16,30,4,0,7
S01008519,768,11,13,0,1,4
S01008520,1002,8,27,1,0,12
S01008521,869,9,25,4,0,7
S01008522,493,25,34,0,1,6
S01008523,881,21,48,8,1,14
S01008524,775,38,50,11,3,17
S01008525,675,21,45,43,2,32
S01008526,775,18,63,11,0,18
S01008527,566,21,56,23,2,12
S01008528,626,10,35,13,1,22
S01008529,792,16,59,12,0,10
S01008530,653,14,62,39,3,19
S01008531,682,13,31,18,7,9
S01008532,408,2,18,10,4,2
S01008533,332,17,32,23,0,50
S01008534,553,16,26,8,1,21
S01008535,607,2,11,0,0,1
S01008536,519,13,51,7,0,16
S01008537,638,15,22,2,3,3
S01008538,508,1,20,0,0,3
S01008539,700,13,46,8,0,7
S01008540,835,11,26,4,0,8
S01008541,772,16,76,0,1,9
S01008542,1499,40,117,6,9,18
S01008543,582,22,74,6,0,10
S01008544,528,15,22,0,4,6
S01008545,729,8,32,3,2,6
S01008546,722,10,34,0,2,3
S01008547,869,17,107,18,2,11
S01008548,1080,31,230,73,2,22
S01008549,3634,114,648,110,2,93
S01008550,663,26,83,5,0,2
S01008551,802,22,59,6,4,11
S01008552,711,17,66,2,2,1
S01008553,594,19,85,6,1,16
S01008554,777,20,79,67,0,75
S01008555,760,17,87,43,0,27
S01008556,661,14,102,42,0,19
S01008557,1100,35,110,88,4,58
S01008558,711,14,61,41,4,22
S01008559,577,9,31,25,0,10
S01008560,700,3,30,29,2,15
S01008561,570,5,23,8,0,41
S01008562,763,15,39,25,4,19
S01008563,720,15,62,19,2,16
S01008564,496,6,48,5,0,8
S01008565,805,25,91,19,0,25
S01008566,887,27,61,18,1,46
S01008567,546,14,137,16,4,18
S01008568,639,22,110,23,2,15
S01008569,489,19,26,33,6,12
S01008570,713,16,73,17,2,18
S01008571,612,2,83,26,1,7
S01008572,610,12,145,12,0,12
S01008573,550,13,127,1,0,23
S01008574,552,5,87,4,2,13
S01008575,620,10,69,2,6,0
S01008576,686,7,44,6,0,13
S01008577,865,15,49,3,0,7
S01008578,641,18,33,0,0,5
S01008579,1202,33,81,14,4,12
S01008580,424,4,73,2,1,19
S01008581,724,30,115,16,4,23
S01008582,830,30,95,31,2,38
S01008583,539,15,84,39,2,25
S01008584,676,14,72,10,0,20
S01008585,435,15,111,25,1,14
S01008586,715,22,106,22,0,39
S01008587,804,33,249,6,4,20
S01008588,692,19,51,2,3,9
S01008589,342,20,54,1,0,2
S01008590,663,19,94,1,1,28
S01008591,594,33,115,4,3,12
S01008592,646,25,129,9,6,30
S01008593,726,19,71,0,0,5
S01008594,981,40,110,5,3,38
S01008595,721,27,94,9,5,21
S01008596,666,21,109,25,3,26
S01008597,795,12,48,10,3,14
S01008598,665,34,84,7,1,16
S01008599,769,25,57,4,0,18
S01008600,728,43,100,32,0,28
S01008601,1921,99,851,21,6,75
S01008602,546,34,85,8,4,22
S01008603,1174,76,321,26,4,53
S01008604,760,38,223,15,4,39
S01008605,521,23,64,2,3,12
S01008606,681,25,67,3,3,14
S01008607,563,8,31,0,0,3
S01008608,660,18,44,7,3,13
S01008609,900,21,55,0,5,13
S01008610,722,12,32,4,3,8
S01008611,871,35,222,7,10,23
S01008612,673,34,133,11,1,19
S01008613,620,28,60,2,0,18
S01008614,554,33,38,3,2,15
S01008615,700,33,57,0,3,13
S01008616,574,21,49,3,1,10
S01008617,669,42,43,2,3,19
S01008618,557,40,60,2,1,21
S01008619,425,45,39,4,0,3
S01008620,658,35,75,2,1,26
S01008621,576,39,65,1,1,12
S01008622,400,24,52,1,1,7
S01008623,780,36,48,4,5,20
S01008624,680,31,32,1,3,10
S01008625,559,17,9,0,4,5
S01008626,826,26,20,5,3,12
S01008627,673,11,21,1,0,11
S01008628,521,16,25,0,0,4
S01008629,540,26,31,3,0,5
S01008630,519,23,65,8,3,15
S01008631,745,27,45,5,0,9
S01008632,667,13,39,0,0,5
S01008633,792,46,45,6,7,14
S01008634,662,27,44,5,0,17
S01008635,791,39,86,6,4,29
S01008636,642,30,37,6,3,6
S01008637,791,25,41,2,0,10
S01008638,584,31,50,3,1,16
S01008639,792,45,50,11,0,32
S01008640,714,18,80,8,4,10
S01008641,760,38,35,7,0,21
S01008642,774,23,54,5,3,5
S01008643,615,21,55,8,0,12
S01008644,655,23,96,9,5,26
S01008645,656,39,81,4,0,10
S01008646,744,26,86,19,5,12
S01008647,548,21,40,7,0,14
S01008648,460,23,62,10,0,4
S01008649,683,13,105,14,2,18
S01008650,595,24,64,6,4,11
S01008651,1588,67,399,21,2,51
S01008652,390,21,45,9,5,10
S01008653,622,23,96,26,7,11
S01008654,768,35,105,10,11,26
S01008655,615,22,235,17,1,32
S01008656,522,13,55,29,5,23
S01008657,559,37,110,21,0,10
S01008658,1265,52,304,20,5,62
S01008659,653,21,69,11,1,51
S01008660,903,39,87,17,4,31
S01008661,749,51,187,10,4,31
S01008662,571,32,145,11,3,18
S01008663,688,47,102,6,1,39
S01008664,586,42,81,14,3,19
S01008665,1310,72,487,32,8,65
S01008666,856,52,134,21,2,29
S01008667,909,65,264,24,5,62
S01008668,534,21,95,2,0,19
S01008669,335,28,57,1,1,13
S01008670,783,42,259,15,8,28
S01008671,565,37,130,4,0,17
S01008672,507,20,87,11,1,19
S01008673,1421,116,621,47,6,138
S01008674,667,57,128,11,4,41
S01008675,655,31,133,15,9,28
S01008676,663,23,45,12,2,28
S01008677,899,29,76,7,3,24
S01008678,945,58,302,33,9,43
S01008679,1040,47,236,16,4,29
S01008680,499,51,186,18,4,18
S01008681,830,47,291,21,3,26
S01008682,523,32,107,11,1,24
S01008683,1050,75,260,56,6,52
S01008684,841,41,146,53,8,38
S01008685,1165,71,743,39,8,73
S01008686,1060,41,211,37,7,18
S01008687,545,17,28,9,2,15
S01008688,700,24,31,11,0,23
S01008689,672,24,24,5,2,8
S01008690,1157,51,85,17,4,28
S01008691,1079,43,160,8,2,18
S01008692,1385,50,75,21,3,27
S01008693,289,1,20,1,0,0
S01008694,798,42,39,12,2,9
S01008695,605,20,29,6,2,6
S01008696,586,17,12,1,0,10
S01008697,884,16,39,11,1,19
S01008698,410,2,26,0,0,5
S01008699,763,24,84,13,4,14
S01008700,515,11,18,3,1,4
S01008701,1123,47,133,133,9,83
S01008702,414,12,72,27,5,13
S01008703,715,31,205,82,9,52
S01008704,2817,113,459,204,14,130
S01008705,578,23,72,41,1,35
S01008706,550,28,72,52,2,31
S01008707,711,16,71,25,8,35
S01008708,891,22,92,96,3,30
S01008709,556,10,61,29,0,26
S01008710,406,5,55,10,1,13
S01008711,632,28,61,25,1,18
S01008712,950,32,49,42,2,50
S01008713,461,14,24,11,2,11
S01008714,439,10,22,6,0,9
S01008715,599,6,52,6,0,13
S01008716,506,7,27,13,3,12
S01008717,382,14,96,5,0,3
S01008718,639,10,128,14,3,8
S01008719,771,15,205,29,2,44
S01008720,1621,36,98,12,3,18
S01008721,708,13,52,4,1,14
S01008722,1044,7,25,6,1,7
S01008723,603,15,45,8,0,6
S01008724,936,17,16,5,2,4
S01008725,648,17,6,0,1,4
S01008726,531,5,8,0,0,0
S01008727,942,28,13,5,0,13
S01008728,559,13,8,5,0,4
S01008729,619,12,16,3,0,3
S01008730,679,15,14,2,9,12
S01008731,436,17,15,3,0,5
S01008732,521,13,8,4,0,7
S01008733,1375,20,65,13,1,17
S01008734,582,11,19,1,0,4
S01008735,916,29,40,4,1,8
S01008736,649,9,86,7,0,10
S01008737,636,18,35,5,0,1
S01008738,744,16,44,6,1,0
S01008739,552,6,42,7,1,13
S01008740,426,5,20,0,0,1
S01008741,919,12,23,0,3,35
S01008742,442,7,39,0,0,8
S01008743,777,22,33,45,2,21
S01008744,910,18,44,12,5,11
S01008745,396,8,27,5,2,6
S01008746,818,15,123,13,4,27
S01008747,411,5,19,1,1,8
S01008748,583,6,29,0,2,7
S01008749,941,11,109,3,2,9
S01008750,588,6,31,2,1,1
S01008751,537,5,13,6,2,5
S01008752,515,17,33,13,2,8
S01008753,440,11,43,6,2,4
S01008754,482,16,23,10,2,7
S01008755,887,30,35,37,1,26
S01008756,533,8,30,6,2,24
S01008757,436,9,26,13,3,27
S01008758,623,14,36,26,4,24
S01008759,481,16,13,9,3,4
S01008760,726,20,89,38,1,26
S01008761,552,12,42,3,7,2
S01008762,537,6,33,0,0,0
S01008763,790,26,19,8,2,9
S01008764,595,16,42,10,1,11
S01008765,787,17,21,3,0,5
S01008766,911,23,30,3,0,13
S01008767,486,10,15,1,0,0
S01008768,1967,48,72,44,7,33
S01008769,909,36,56,29,6,16
S01008770,672,33,172,8,1,36
S01008771,969,40,100,28,2,27
S01008772,690,23,25,3,2,16
S01008773,838,25,42,24,8,9
S01008774,925,32,87,32,10,29
S01008775,521,23,16,7,3,24
S01008776,620,31,33,23,3,13
S01008777,809,20,33,31,3,42
S01008778,994,18,36,3,4,18
S01008779,713,21,50,8,5,8
S01008780,349,18,24,4,1,10
S01008781,983,45,52,38,4,28
S01008782,615,27,42,15,4,19
S01008783,385,11,15,7,1,1
S01008784,334,13,22,17,1,11
S01008785,563,13,54,29,10,29
S01008786,834,37,44,15,3,22
S01008787,217,17,15,29,4,21
S01008788,573,25,52,6,1,15
S01008789,714,34,74,8,0,21
S01008790,567,19,30,7,3,20
S01008791,716,35,159,30,2,20
S01008792,807,35,80,13,5,19
S01008793,363,11,30,4,0,25
S01008794,768,28,87,8,0,22
S01008795,808,20,54,18,2,20
S01008796,862,23,73,10,1,21
S01008797,633,18,59,6,3,8
S01008798,735,23,44,1,4,21
S01008799,501,26,84,29,6,8
S01008800,916,31,45,20,6,39
S01008801,777,35,195,20,1,21
S01008802,798,32,54,18,10,25
S01008803,681,50,68,6,4,24
S01008804,585,33,174,21,4,27
S01008805,457,25,85,2,0,28
S01008806,1007,30,130,12,3,26
S01008807,638,20,32,7,3,27
S01008808,597,11,24,8,4,17
S01008809,665,37,120,3,2,11
S01008810,689,20,29,9,0,15
S01008811,676,48,127,6,2,16
S01008812,376,30,81,9,3,16
S01008813,792,42,153,15,3,22
S01008814,635,28,70,6,2,18
S01008815,712,28,61,28,1,23
S01008816,479,21,30,11,2,16
S01008817,949,28,64,27,3,40
S01008818,878,39,55,17,0,13
S01008819,677,13,25,3,2,5
S01008820,906,26,75,19,7,28
S01008821,646,16,44,3,0,10
S01008822,641,6,27,11,2,18
S01008823,618,16,29,2,3,10
S01008824,902,26,43,11,4,8
S01008825,684,16,13,0,0,5
S01008826,480,17,29,4,1,3
S01008827,682,12,11,1,2,4
S01008828,822,20,17,1,3,2
S01008829,616,12,27,9,3,10
S01008830,814,24,33,10,0,8
S01008831,729,7,9,2,0,2
S01008832,617,8,29,13,0,14
S01008833,882,22,31,6,1,8
S01008834,986,21,56,10,0,4
S01008835,742,26,38,5,1,3
S01008836,592,32,81,13,2,11
S01008837,1319,62,221,10,2,23
S01008838,985,20,74,7,5,20
S01008839,910,36,56,15,3,15
S01008840,872,30,58,4,1,15
S01008841,620,33,67,6,3,11
S01008842,704,30,122,3,3,16
S01008843,1215,49,264,23,4,29
S01008844,547,17,99,4,0,22
S01008845,788,41,90,10,7,30
S01008846,508,20,35,4,0,7
S01008847,461,22,40,5,2,7
S01008848,607,17,34,11,2,3
S01008849,532,20,43,5,0,19
S01008850,646,24,26,1,1,7
S01008851,824,22,26,3,3,10
S01008852,800,34,19,2,2,14
S01008853,490,28,27,2,3,11
S01008854,812,35,27,4,0,10
S01008855,1046,44,55,2,0,37
S01008856,506,17,26,2,0,12
S01008857,641,36,36,14,2,9
S01008858,510,11,18,0,2,4
S01008859,941,34,45,8,0,25
S01008860,791,24,28,0,1,11
S01008861,667,11,14,1,2,4
S01008862,745,14,31,5,0,12
S01008863,666,27,39,1,1,11
S01008864,1046,56,154,16,6,7
S01008865,765,20,55,10,4,20
S01008866,715,16,32,5,0,7
S01008867,719,24,23,6,1,11
S01008868,878,28,70,11,3,28
S01008869,1005,28,44,2,6,24
S01008870,722,21,56,13,1,24
S01008871,836,24,33,7,0,9
S01008872,799,27,62,10,4,13
S01008873,830,23,37,6,0,10
S01008874,784,22,158,2,2,11
S01008875,711,20,81,5,4,9
S01008876,573,6,11,0,0,6
S01008877,486,6,8,0,0,8
S01008878,766,11,62,8,5,12
S01008879,682,17,41,12,0,5
S01008880,605,6,33,3,0,9
S01008881,676,8,32,8,1,14
S01008882,895,30,26,5,2,6
S01008883,966,5,32,0,0,15
S01008884,667,7,29,0,0,3
S01008885,806,14,45,3,1,4
S01008886,840,29,94,9,0,20
S01008887,656,25,48,1,1,19
S01008888,491,18,71,3,1,23
S01008889,677,29,99,16,3,14
S01008890,637,7,44,5,1,15
S01008891,732,13,76,3,0,1
S01008892,868,19,64,2,6,24
S01008893,840,24,37,6,1,7
S01008894,817,28,27,7,2,13
S01008895,761,10,44,3,0,5
S01008896,591,7,38,0,1,5
S01008897,626,11,80,0,0,16
S01008898,744,9,75,0,0,10
S01008899,645,15,72,27,3,8
S01008900,767,28,101,16,2,13
S01008901,729,15,76,9,4,19
S01008902,880,36,135,45,5,34
S01008903,784,19,92,19,1,13
S01008904,633,36,222,89,7,55
S01008905,808,23,133,88,1,37
S01008906,550,19,100,64,9,28
S01008907,810,23,97,99,3,57
S01008908,1148,46,162,77,10,27
S01008909,670,22,50,9,1,2
S01008910,357,19,47,9,4,4
S01008911,1098,58,200,27,12,17
S01008912,709,17,24,0,4,15
S01008913,608,30,64,21,0,12
S01008914,799,17,36,7,1,4
S01008915,485,10,21,13,0,2
S01008916,898,14,21,24,3,32
S01008917,515,14,28,47,4,29
S01008918,356,26,48,36,1,20
S01008919,420,26,19,38,5,22
S01008920,1689,66,151,80,6,27
S01008921,771,28,87,44,7,13
S01008922,671,14,66,14,4,9
S01008923,871,10,32,21,1,19
S01008924,710,24,44,30,5,19
S01008925,517,26,88,24,0,52
S01008926,465,15,59,9,0,10
S01008927,721,31,74,44,2,11
S01008928,888,30,82,84,10,45
S01008929,784,25,117,96,15,41
S01008930,730,24,73,57,11,27
S01008931,1314,41,131,146,9,31
S01008932,653,22,104,44,0,38
S01008933,510,8,45,51,4,2
S01008934,593,8,63,47,1,16
S01008935,769,20,52,8,0,16
S01008936,354,7,42,0,0,3
S01008937,763,25,67,3,1,4
S01008938,690,19,25,1,0,5
S01008939,696,7,51,16,0,9
S01008940,569,7,30,0,0,2
S01008941,936,19,51,11,4,10
S01008942,694,14,37,4,0,9
S01008943,779,33,57,2,6,2
S01008944,921,13,53,8,1,16
S01008945,748,9,49,8,0,9
S01008946,891,5,105,5,0,3
S01008947,928,24,101,10,9,13
S01008948,562,26,63,4,2,17
S01008949,860,10,51,11,1,6
S01008950,885,9,73,6,0,17
S01008951,683,16,71,23,7,30
S01008952,654,11,146,10,1,23
S01008953,748,26,84,39,3,36
S01008954,876,21,71,29,2,8
S01008955,554,13,57,17,0,3
S01008956,812,16,55,24,0,13
S01008957,790,21,82,22,4,24
S01008958,726,7,96,12,10,7
S01008959,639,2,79,20,4,7
S01008960,909,21,144,12,0,11
S01008961,576,14,25,1,1,5
S01008962,564,10,26,1,3,3
S01008963,723,23,64,9,2,0
S01008964,496,6,36,0,1,15
S01008965,779,14,70,0,0,7
S01008966,592,2,29,0,1,5
S01008967,936,6,67,4,8,16
S01008968,1558,26,124,10,3,32
S01008969,920,21,57,2,2,3
S01008970,924,10,22,0,0,8
S01008971,640,22,17,2,1,2
S01008972,734,9,18,3,0,9
S01008973,773,9,42,4,1,17
S01008974,683,8,51,8,0,3
S01008975,622,11,67,0,6,8
S01008976,498,1,24,0,0,0
S01008977,532,6,18,0,1,14
S01008978,475,11,22,1,0,22
S01008979,581,14,57,13,0,22
S01008980,653,27,68,4,0,7
S01008981,688,4,28,0,5,4
S01008982,719,7,48,3,5,22
S01008983,509,9,65,31,5,9
S01008984,456,12,20,6,1,0
S01008985,912,16,159,14,0,5
S01008986,735,13,29,6,0,0
S01008987,687,9,33,7,0,7
S01008988,798,20,109,17,1,16
S01008989,559,6,101,0,0,15
S01008990,774,14,282,9,2,15
S01008991,716,15,125,6,1,5
S01008992,454,4,33,14,0,14
S01008993,958,15,123,18,0,22
S01008994,660,7,14,12,0,13
S01008995,719,13,10,0,6,7
S01008996,937,22,26,7,1,11
S01008997,1113,14,66,17,0,6
S01008998,771,16,56,22,3,9
S01008999,796,5,18,13,1,3
S01009000,1645,23,121,22,0,11
S01009001,695,9,19,0,5,8
S01009002,2843,53,182,45,3,11
S01009003,947,8,6,13,0,3
S01009004,598,5,4,0,1,3
S01009005,804,12,17,4,9,8
S01009006,760,7,6,3,1,2
S01009007,664,10,4,3,1,12
S01009008,882,5,10,2,0,0
S01009009,457,12,10,3,2,3
S01009010,928,11,12,4,0,5
S01009011,787,11,13,0,0,4
S01009012,674,13,11,4,0,2
S01009013,773,15,6,0,2,2
S01009014,589,5,0,0,0,3
S01009015,697,2,1,2,0,0
S01009016,495,4,0,0,0,0
S01009017,521,7,5,0,1,3
S01009018,762,3,4,0,0,2
S01009019,478,2,0,0,0,1
S01009020,781,10,14,0,0,1
S01009021,714,7,2,0,0,2
S01009022,843,5,1,0,1,2
S01009023,826,6,1,0,0,2
S01009024,977,5,10,0,0,6
S01009025,894,5,0,1,1,0
S01009026,922,6,2,0,1,3
S01009027,673,10,6,0,2,1
S01009028,477,4,1,0,0,0
S01009029,555,6,2,0,0,4
S01009030,588,6,4,0,0,10
S01009031,764,2,3,0,0,3
S01009032,606,3,0,0,0,2
S01009033,715,0,0,0,0,2
S01009034,661,2,2,0,0,3
S01009035,958,4,2,0,1,4
S01009036,1041,9,1,0,1,2
S01009037,853,2,6,0,0,0
S01009038,902,8,1,0,0,0
S01009039,501,4,7,0,0,3
S01009040,587,2,12,3,1,6
S01009041,850,3,6,2,0,6
S01009042,542,6,13,0,0,0
S01009043,547,1,9,5,0,1
S01009044,731,4,21,0,0,6
S01009045,652,1,4,6,0,8
S01009046,1049,5,8,0,1,0
S01009047,731,5,2,0,1,0
S01009048,740,2,4,3,0,0
S01009049,489,4,0,1,0,2
S01009050,855,10,4,0,6,8
S01009051,711,1,5,2,0,0
S01009052,562,1,6,0,0,0
S01009053,686,0,5,0,1,0
S01009054,529,9,2,1,0,0
S01009055,1148,4,9,3,0,0
S01009056,529,1,11,2,0,2
S01009057,530,2,15,0,0,4
S01009058,778,4,4,0,0,0
S01009059,801,6,7,0,1,0
S01009060,1324,5,32,5,0,5
S01009061,754,1,1,4,0,2
S01009062,645,7,1,0,0,1
S01009063,682,6,25,5,0,1
S01009064,529,3,7,1,0,0
S01009065,584,9,23,5,1,1
S01009066,708,1,6,0,0,1
S01009067,908,3,23,0,1,0
S01009068,847,0,1,0,0,0
S01009069,572,5,12,0,0,1
S01009070,525,2,13,0,0,1
S01009071,437,0,4,0,0,0
S01009072,468,0,16,1,0,0
