Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01006713,867,11,25,2,1,1
S01006714,581,5,53,7,0,3
S01006715,534,1,13,17,4,3
S01006716,511,3,18,17,1,3
S01006717,855,10,25,4,2,0
S01006718,531,4,41,15,1,2
S01006719,882,12,34,11,0,5
S01006720,561,2,23,5,0,1
S01006721,710,8,18,12,0,0
S01006722,616,3,33,13,0,4
S01006723,594,4,6,3,0,1
S01006724,759,2,36,22,1,6
S01006725,607,4,26,1,0,1
S01006726,580,7,28,27,0,0
S01006727,990,17,37,24,0,33
S01006728,686,12,20,24,3,7
S01006729,956,14,33,35,7,13
S01006730,605,10,12,34,0,3
S01006731,490,0,1,8,1,1
S01006732,1402,45,77,57,5,21
S01006733,763,10,50,28,0,5
S01006734,802,21,73,15,3,30
S01006735,434,10,43,11,2,18
S01006736,859,20,80,63,3,34
S01006737,1396,15,100,24,3,15
S01006738,1317,36,67,91,1,73
S01006739,1423,37,114,161,11,38
S01006740,648,6,16,4,5,2
S01006741,622,4,1,10,4,10
S01006742,440,1,6,5,0,2
S01006743,779,16,33,12,5,14
S01006744,491,1,18,1,0,0
S01006745,814,22,18,20,1,7
S01006746,805,5,8,11,1,5
S01006747,1019,21,42,44,5,12
S01006748,1365,28,88,65,6,17
S01006749,805,14,35,8,0,3
S01006750,619,2,14,0,0,5
S01006751,376,5,8,1,0,1
S01006752,617,4,27,0,2,3
S01006753,869,12,21,4,0,11
S01006754,789,10,20,6,4,2
S01006755,682,11,19,4,0,6
S01006756,582,12,88,42,1,19
S01006757,729,4,36,26,0,1
S01006758,573,7,20,10,0,0
S01006759,495,3,5,4,2,0
S01006760,429,4,13,15,0,4
S01006761,617,4,14,2,1,4
S01006762,1469,25,86,41,1,13
S01006763,753,3,47,20,2,1
S01006764,621,5,39,19,2,9
S01006765,516,5,33,6,0,0
S01006766,508,10,23,4,0,2
S01006767,586,3,37,5,0,2
S01006768,488,2,54,13,2,7
S01006769,807,23,31,13,0,6
S01006770,584,0,18,8,0,4
S01006771,335,2,26,21,0,6
S01006772,686,10,42,18,0,8
S01006773,787,6,90,33,0,6
S01006774,484,8,27,5,0,3
S01006775,813,7,80,19,4,6
S01006776,469,0,18,11,4,10
S01006777,553,3,25,11,0,0
S01006778,547,4,9,8,0,1
S01006779,489,6,13,15,0,0
S01006780,432,15,21,1,1,5
S01006781,537,15,22,9,0,5
S01006782,723,11,50,22,0,7
S01006783,438,13,7,5,0,5
S01006784,490,8,33,11,3,4
S01006785,481,3,11,6,1,0
S01006786,673,8,47,27,0,7
S01006787,548,3,28,17,0,4
S01006788,1937,22,146,65,7,29
S01006789,548,1,5,5,1,0
S01006790,813,1,5,0,1,1
S01006791,589,10,4,6,0,1
S01006792,430,2,0,0,0,6
S01006793,572,2,7,0,3,2
S01006794,553,4,1,0,0,1
S01006795,741,1,4,0,0,3
S01006796,957,5,5,4,0,0
S01006797,562,8,0,1,0,1
S01006798,607,6,3,0,0,2
S01006799,857,4,7,0,1,7
S01006800,840,6,11,0,0,1
S01006801,1402,4,4,0,0,6
S01006802,758,13,1,7,0,0
S01006803,622,8,13,0,0,0
S01006804,733,3,4,4,0,0
S01006805,1062,10,21,0,2,0
S01006806,1091,9,12,2,0,3
S01006807,673,3,0,0,0,0
S01006808,698,7,3,0,0,2
S01006809,844,6,6,0,0,1
S01006810,859,24,12,7,0,1
S01006811,1091,12,10,2,2,3
S01006812,868,2,12,4,1,4
S01006813,834,0,5,0,0,4
S01006814,752,10,3,0,1,0
S01006815,601,2,3,3,0,2
S01006816,597,5,11,2,0,1
S01006817,811,7,2,0,5,5
S01006818,782,7,3,1,0,4
S01006819,1119,13,5,0,2,0
S01006820,686,4,10,2,0,1
S01006821,1697,30,59,83,1,16
S01006822,1087,6,13,3,0,0
S01006823,649,1,6,2,1,2
S01006824,806,21,10,4,3,7
S01006825,707,6,6,0,1,0
S01006826,861,5,1,0,0,4
S01006827,748,22,11,1,0,4
S01006828,785,5,5,1,1,0
S01006829,384,7,10,0,1,2
S01006830,690,5,4,0,0,0
S01006831,458,3,1,0,0,0
S01006832,897,3,9,1,0,0
S01006833,453,9,2,0,0,0
S01006834,459,0,3,0,3,4
S01006835,766,5,5,1,1,4
S01006836,517,4,9,0,4,2
S01006837,515,2,4,0,1,2
S01006838,587,7,0,0,4,0
S01006839,778,7,11,2,0,2
S01006840,999,11,26,15,2,3
S01006841,756,8,11,8,1,4
S01006842,672,4,18,4,0,2
S01006843,720,0,19,4,0,0
S01006844,582,3,7,2,0,0
S01006845,818,1,18,0,1,5
S01006846,451,6,5,4,0,2
S01006847,618,4,12,5,0,2
S01006848,1518,31,97,62,0,28
S01006849,1689,53,113,196,2,61
S01006850,845,13,25,10,1,4
S01006851,685,1,28,5,0,4
S01006852,541,7,7,0,0,4
S01006853,885,24,28,17,10,3
S01006854,854,2,3,31,1,15
S01006855,813,12,10,0,0,0
S01006856,721,3,6,4,0,1
S01006857,1200,10,16,1,0,3
S01006858,616,5,7,0,0,10
S01006859,896,18,19,6,2,2
S01006860,403,1,5,0,0,1
S01006861,541,13,4,2,4,2
S01006862,676,13,15,0,0,2
S01006863,613,8,5,4,0,1
S01006864,732,14,4,0,0,5
S01006865,925,6,32,5,0,5
S01006866,505,7,2,2,0,0
S01006867,651,3,3,1,0,0
S01006868,774,6,6,0,0,3
S01006869,483,5,4,0,0,0
S01006870,428,1,1,2,1,3
S01006871,650,1,5,0,0,4
S01006872,1188,14,14,16,0,5
S01006873,1031,9,5,10,2,2
S01006874,540,1,2,0,0,0
S01006875,702,10,1,0,0,1
S01006876,950,5,10,0,0,0
S01006877,906,6,7,0,1,2
S01006878,681,2,1,0,0,0
S01006879,734,7,3,0,0,1
S01006880,705,4,17,0,0,3
S01006881,561,3,2,0,0,1
S01006882,315,0,1,0,0,3
S01006883,413,4,3,0,0,0
S01006884,873,7,10,7,0,5
S01006885,1111,14,11,1,0,2
