Data zone code,Data zone name,Total population
S01006779,Balgownie and Donmouth West - 05,511
S01006780,Balgownie and Donmouth West - 06,462
S01006781,Balgownie and Donmouth East - 01,591
S01006782,Balgownie and Donmouth East - 02,817
S01006783,Balgownie and Donmouth East - 03,471
S01006784,Balgownie and Donmouth East - 04,543
S01006785,Denmore - 01,497
S01006786,Denmore - 02,768
S01006787,Denmore - 03,586
S01006788,Denmore - 04,2208
S01006789,East Cairngorms - 01,553
S01006790,East Cairngorms - 02,824
S01006791,East Cairngorms - 03,595
S01006792,East Cairngorms - 04,422
S01006793,East Cairngorms - 05,590
S01006794,Aboyne and South Deeside - 01,556
S01006795,Aboyne and South Deeside - 02,752
S01006796,Aboyne and South Deeside - 03,964
S01006797,Aboyne and South Deeside - 04,576
S01006798,Aboyne and South Deeside - 05,608
S01006799,Aboyne and South Deeside - 06,874
S01006800,Aboyne and South Deeside - 07,862
S01006801,Mearns and Laurencekirk - 01,1444
S01006802,Mearns and Laurencekirk - 02,787
S01006803,Mearns and Laurencekirk - 03,642
S01006804,Mearns and Laurencekirk - 04,751
S01006805,Mearns and Laurencekirk - 05,1109
S01006806,Mearns South and Benholm - 01,1121
S01006807,Mearns South and Benholm - 02,680
S01006808,Mearns South and Benholm - 03,712
S01006809,Mearns South and Benholm - 04,847
S01006810,Mearns South and Benholm - 05,898
S01006811,Mearns North and Inverbervie - 01,1116
S01006812,Mearns North and Inverbervie - 02,909
S01006813,Mearns North and Inverbervie - 03,834
S01006814,Mearns North and Inverbervie - 04,769
S01006815,Mearns North and Inverbervie - 05,601
S01006816,Mearns North and Inverbervie - 06,615
S01006817,Mearns North and Inverbervie - 07,831
S01006818,"Fetteresso, Netherley and Catter - 01",803
S01006819,"Fetteresso, Netherley and Catter - 02",1155
S01006820,"Fetteresso, Netherley and Catter - 03",722
S01006821,"Fetteresso, Netherley and Catter - 04",1902
S01006822,"Fetteresso, Netherley and Catter - 05",1104
S01006823,Stonehaven South - 01,663
S01006824,Stonehaven South - 02,840
S01006825,Stonehaven South - 03,720
S01006826,Stonehaven South - 04,869
S01006827,Stonehaven South - 05,773
S01006828,Stonehaven South - 06,793
S01006829,Stonehaven South - 07,404
S01006830,Stonehaven North - 01,707
S01006831,Stonehaven North - 02,466
S01006832,Stonehaven North - 03,911
S01006833,Stonehaven North - 04,464
S01006834,Stonehaven North - 05,467
S01006835,Stonehaven North - 06,775
S01006836,Stonehaven North - 07,551
S01006837,Stonehaven North - 08,533
S01006838,Stonehaven North - 09,603
S01006839,Newtonhill - 01,790
S01006840,Newtonhill - 02,1048
S01006841,Newtonhill - 03,789
S01006842,Portlethen - 01,701
S01006843,Portlethen - 02,742
S01006844,Portlethen - 03,605
S01006845,Portlethen - 04,844
S01006846,Portlethen - 05,469
S01006847,Portlethen - 06,638
S01006848,Banchory-Devenick and Findon - 01,1744
S01006849,Banchory-Devenick and Findon - 02,2120
S01006850,Banchory-Devenick and Findon - 03,903
S01006851,Banchory-Devenick and Findon - 04,725
S01006852,Banchory-Devenick and Findon - 05,565
S01006853,"Dunecht, Durris and Drumoak - 01",960
S01006854,"Dunecht, Durris and Drumoak - 02",895
S01006855,"Dunecht, Durris and Drumoak - 03",823
S01006856,"Dunecht, Durris and Drumoak - 04",733
S01006857,"Dunecht, Durris and Drumoak - 05",1224
S01006858,"Dunecht, Durris and Drumoak - 06",641
S01006859,Banchory East - 01,956
S01006860,Banchory East - 02,403
S01006861,Banchory East - 03,560
S01006862,Banchory East - 04,710
S01006863,Banchory East - 05,640
S01006864,Banchory East - 06,760
S01006865,Banchory West - 01,992
S01006866,Banchory West - 02,516
S01006867,Banchory West - 03,656
S01006868,Banchory West - 04,784
S01006869,Crathes and Torphins - 01,512
S01006870,Crathes and Torphins - 02,441
S01006871,Crathes and Torphins - 03,661
S01006872,Crathes and Torphins - 04,1254
S01006873,Crathes and Torphins - 05,1057
S01006874,Crathes and Torphins - 06,545
S01006875,Cromar and Kildrummy - 01,705
S01006876,Cromar and Kildrummy - 02,959
S01006877,Cromar and Kildrummy - 03,910
S01006878,Cromar and Kildrummy - 04,695
S01006879,Cromar and Kildrummy - 05,747
S01006880,Howe of Alford - 01,741
S01006881,Howe of Alford - 02,573
S01006882,Howe of Alford - 03,312
S01006883,Howe of Alford - 04,427
S01006884,Howe of Alford - 05,882
S01006885,Howe of Alford - 06,1159
S01006886,Howe of Alford - 07,1026
S01006887,Howe of Alford - 08,725
S01006888,Howe of Alford - 09,900
S01006889,Kemnay - 01,753
S01006890,Kemnay - 02,580
S01006891,Kemnay - 03,981
S01006892,Kemnay - 04,584
S01006893,Kemnay - 05,472
S01006894,Inverurie North - 01,902
S01006895,Inverurie North - 02,573
S01006896,Inverurie North - 03,768
S01006897,Inverurie North - 04,648
S01006898,Inverurie North - 05,718
S01006899,Inverurie North - 06,548
S01006900,Inverurie North - 07,461
S01006901,Inverurie North - 08,546
S01006902,Inverurie South - 01,603
S01006903,Inverurie South - 02,858
S01006904,Inverurie South - 03,625
S01006905,Inverurie South - 04,849
S01006906,Inverurie South - 05,753
S01006907,Inverurie South - 06,674
S01006908,Inverurie South - 07,770
S01006909,Durno-Chapel of Garioch - 01,1198
S01006910,Durno-Chapel of Garioch - 02,1038
S01006911,Durno-Chapel of Garioch - 03,765
S01006912,Durno-Chapel of Garioch - 04,895
S01006913,Durno-Chapel of Garioch - 05,2632
S01006914,Durno-Chapel of Garioch - 06,691
S01006915,Durno-Chapel of Garioch - 07,876
S01006916,Kintore - 01,511
S01006917,Kintore - 02,1048
S01006918,Kintore - 03,484
S01006919,Kintore - 04,428
S01006920,Kintore - 05,447
S01006921,Kintore - 06,802
S01006922,Kintore - 07,740
S01006923,Kintore - 08,778
S01006924,Kintore - 09,545
S01006925,Blackburn - 01,410
S01006926,Blackburn - 02,729
S01006927,Blackburn - 03,1124
S01006928,Blackburn - 04,1142
S01006929,Westhill North and South - 01,785
S01006930,Westhill North and South - 02,811
S01006931,Westhill North and South - 03,349
S01006932,Westhill North and South - 04,1201
S01006933,Westhill North and South - 05,488
S01006934,Westhill North and South - 06,1209
S01006935,Westhill Central - 01,645
S01006936,Westhill Central - 02,562
S01006937,Westhill Central - 03,708
S01006938,Westhill Central - 04,419
S01006939,Westhill Central - 05,553
S01006940,Westhill Central - 06,828
S01006941,Garlogie and Elrick - 01,571
S01006942,Garlogie and Elrick - 02,909
S01006943,Garlogie and Elrick - 03,655
S01006944,Garlogie and Elrick - 04,1142
S01006945,Garlogie and Elrick - 05,430
S01006946,Newmachar and Fintray - 01,680
S01006947,Newmachar and Fintray - 02,793
S01006948,Newmachar and Fintray - 03,908
S01006949,Newmachar and Fintray - 04,685
S01006950,Newmachar and Fintray - 05,791
S01006951,Newmachar and Fintray - 06,438
S01006952,Balmedie and Potterton - 01,880
S01006953,Balmedie and Potterton - 02,781
S01006954,Balmedie and Potterton - 03,892
S01006955,Balmedie and Potterton - 04,556
S01006956,Balmedie and Potterton - 05,1014
S01006957,Balmedie and Potterton - 06,1072
S01006958,Ellon East - 01,1367
S01006959,Ellon East - 02,693
S01006960,Ellon East - 03,939
S01006961,Ellon East - 04,959
S01006962,Ellon East - 05,803
S01006963,Ellon East - 06,636
S01006964,Ellon East - 07,690
S01006965,Ellon West - 01,447
S01006966,Ellon West - 02,569
S01006967,Ellon West - 03,612
S01006968,Ellon West - 04,420
S01006969,Ellon West - 05,834
S01006970,Ellon West - 06,657
S01006971,Ellon West - 07,519
S01006972,Ythanside - 01,739
S01006973,Ythanside - 02,827
S01006974,Ythanside - 03,959
S01006975,Ythanside - 04,1048
S01006976,Ythanside - 05,461
S01006977,Ythanside - 06,777
S01006978,Ythsie - 01,998
S01006979,Ythsie - 02,998
S01006980,Ythsie - 03,892
S01006981,Ythsie - 04,797
S01006982,Ythsie - 05,914
S01006983,Ythsie - 06,691
S01006984,Ythsie - 07,962
S01006985,Barrahill - 01,986
S01006986,Barrahill - 02,773
S01006987,Barrahill - 03,624
S01006988,Barrahill - 04,479
S01006989,Barrahill - 05,1298
S01006990,Barrahill - 06,848
S01006991,Fyvie-Rothie - 01,426
S01006992,Fyvie-Rothie - 02,606
S01006993,Fyvie-Rothie - 03,544
S01006994,Fyvie-Rothie - 04,547
S01006995,Fyvie-Rothie - 05,893
S01006996,Fyvie-Rothie - 06,946
S01006997,"Insch, Oyne and Ythanwells - 01",800
S01006998,"Insch, Oyne and Ythanwells - 02",1359
S01006999,"Insch, Oyne and Ythanwells - 03",879
S01007000,"Insch, Oyne and Ythanwells - 04",944
S01007001,"Insch, Oyne and Ythanwells - 05",1064
S01007002,Clashindarroch - 01,675
S01007003,Clashindarroch - 02,523
S01007004,Clashindarroch - 03,790
S01007005,Clashindarroch - 04,901
S01007006,Clashindarroch - 05,838
S01007007,Clashindarroch - 06,795
