Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01008181,33,75,40,34,22,17,19,17,13
S01008182,26,107,91,60,52,63,37,42,50
S01008183,24,92,71,38,30,27,31,21,28
S01008184,42,87,77,43,52,27,32,11,34
S01008185,36,116,80,47,58,70,49,30,56
S01008186,29,87,65,30,32,39,26,16,36
S01008187,22,57,44,25,32,39,26,23,37
S01008188,38,76,57,45,44,51,41,35,45
S01008189,13,41,32,20,25,21,12,18,16
S01008190,22,66,42,42,53,43,46,28,50
S01008191,34,88,69,69,54,36,32,27,51
S01008192,25,82,56,58,46,48,40,19,60
S01008193,37,97,63,46,43,46,26,32,32
S01008194,33,82,41,26,25,35,27,25,42
S01008195,21,41,52,27,53,51,33,46,52
S01008196,26,48,54,49,60,74,54,37,76
S01008197,66,194,165,104,94,84,54,56,47
S01008198,22,60,47,33,61,43,30,29,48
S01008199,23,32,38,38,69,52,26,37,61
S01008200,6,28,21,35,46,30,27,24,35
S01008201,25,47,50,30,36,43,38,30,54
S01008202,15,37,37,34,39,30,26,18,23
S01008203,19,32,41,28,41,34,36,21,47
S01008204,22,65,46,43,51,41,30,38,41
S01008205,12,46,34,41,56,62,32,32,49
S01008206,22,33,39,28,47,35,28,26,54
S01008207,20,30,35,28,54,40,39,43,56
S01008208,32,85,78,48,46,59,43,45,57
S01008209,21,38,33,31,41,32,22,21,23
S01008210,29,66,60,46,66,60,36,37,44
S01008211,28,81,55,55,63,53,36,24,41
S01008212,24,61,52,50,38,30,15,17,20
S01008213,43,79,86,68,51,62,39,28,50
S01008214,17,40,47,40,48,47,35,30,35
S01008215,21,56,43,49,44,57,31,27,37
S01008216,30,40,40,22,31,24,17,18,26
S01008217,25,73,37,29,36,19,23,18,16
S01008218,129,343,235,167,188,146,88,94,104
S01008219,38,86,58,52,51,44,35,34,44
S01008220,6,18,30,21,40,46,30,32,59
S01008221,22,43,43,35,59,62,46,44,67
S01008222,21,21,20,33,48,41,38,26,51
S01008223,8,39,31,39,34,18,28,20,30
S01008224,24,56,46,54,70,46,39,28,37
S01008225,22,48,41,41,39,47,21,27,40
S01008226,12,29,46,39,65,50,33,31,59
S01008227,20,33,51,47,75,81,39,35,49
S01008228,35,60,43,40,40,28,20,19,30
S01008229,16,23,38,40,36,50,34,23,42
S01008230,41,86,77,80,52,45,42,28,33
S01008231,45,103,81,63,61,47,37,20,27
S01008232,30,83,81,63,68,61,56,30,42
S01008233,47,108,77,45,60,48,24,26,16
S01008234,12,30,16,15,42,31,11,15,25
S01008235,30,81,72,46,85,66,29,25,52
S01008236,30,80,54,33,59,44,26,20,42
S01008237,39,125,100,70,77,65,47,47,57
S01008238,21,49,41,39,66,59,39,46,39
S01008239,34,101,93,71,97,62,27,51,61
S01008240,30,87,49,40,26,21,15,13,23
S01008241,25,71,42,28,12,25,9,10,19
S01008242,66,138,65,47,46,46,36,32,39
S01008243,88,167,93,44,60,44,27,24,62
S01008244,48,88,35,29,27,23,6,12,25
S01008245,66,129,98,50,58,52,28,32,21
S01008246,64,217,108,51,55,44,24,21,29
S01008247,57,114,58,31,57,30,16,25,22
S01008248,51,91,47,44,53,33,25,30,37
S01008249,80,137,61,43,59,35,22,19,31
S01008250,195,528,245,134,148,102,66,81,119
S01008251,59,208,106,56,68,43,31,30,43
S01008252,38,91,55,31,31,28,20,13,32
S01008253,37,54,29,43,55,39,38,24,42
S01008254,39,81,70,41,66,55,24,36,63
S01008255,31,60,48,23,40,44,27,20,26
S01008256,29,64,55,27,62,56,40,39,59
S01008257,29,61,28,27,22,30,19,18,20
S01008258,28,78,57,45,37,28,31,23,30
S01008259,33,95,61,33,47,25,23,27,34
S01008260,23,56,41,27,51,49,22,43,67
S01008261,22,48,37,40,65,55,33,40,69
S01008262,42,82,42,22,44,22,13,15,31
S01008263,49,82,45,25,25,20,13,8,21
S01008264,42,76,65,28,40,42,17,15,45
S01008265,67,115,69,25,21,25,21,20,21
S01008266,40,78,43,25,27,11,15,4,12
S01008267,74,108,72,35,40,40,23,11,43
S01008268,49,109,51,28,12,12,11,5,9
S01008269,50,68,41,27,17,13,20,11,12
S01008270,41,81,46,19,18,20,9,6,16
S01008271,45,63,45,26,29,23,17,10,28
S01008272,170,448,204,90,115,122,73,52,106
S01008273,51,106,49,34,28,21,25,15,30
S01008274,30,52,32,24,47,53,26,22,51
S01008275,36,53,36,22,21,17,10,7,16
S01008276,31,64,33,14,13,16,14,7,22
S01008277,66,100,55,25,34,18,10,16,21
S01008278,58,149,78,38,38,30,22,13,28
S01008279,28,70,46,26,50,37,21,14,34
S01008280,68,123,74,36,53,38,32,21,55
S01008281,52,89,48,26,53,36,23,16,37
S01008282,35,74,51,18,67,28,20,20,36
S01008283,66,200,91,58,55,41,32,24,44
S01008284,136,378,216,138,159,150,77,97,140
S01008285,16,45,33,30,49,34,21,20,56
S01008286,20,60,48,34,43,52,19,32,55
S01008287,20,65,45,32,40,41,26,33,57
S01008288,24,125,53,27,44,43,24,31,39
S01008289,20,55,38,21,39,36,24,18,30
S01008290,43,96,61,36,47,44,31,22,33
S01008291,27,45,43,44,42,24,20,20,36
S01008292,22,58,46,26,45,43,36,24,43
S01008293,36,80,56,29,19,18,10,7,19
S01008294,42,108,65,43,47,34,34,26,46
S01008295,27,96,66,51,44,41,28,30,35
S01008296,20,62,50,42,27,28,20,24,30
S01008297,37,131,64,54,51,40,38,31,33
S01008298,47,150,110,60,54,46,55,35,40
S01008299,20,39,41,21,39,40,31,29,45
S01008300,15,70,50,37,36,45,29,26,24
S01008301,22,72,64,39,52,36,31,18,21
S01008302,35,140,77,43,54,20,14,19,25
S01008303,20,64,46,33,24,31,29,15,35
S01008304,17,62,40,18,16,11,15,7,20
S01008305,16,77,48,42,26,22,17,21,20
S01008306,13,66,52,44,31,23,14,9,13
S01008307,32,112,81,70,47,32,37,25,34
S01008308,17,53,41,31,24,18,18,12,13
S01008309,17,43,21,27,28,24,27,19,38
S01008310,23,72,64,58,46,32,49,28,43
S01008311,9,28,37,32,29,27,23,17,21
S01008312,17,36,37,29,14,18,24,8,15
S01008313,16,46,26,38,41,53,34,32,47
S01008314,10,24,19,35,28,27,31,21,39
S01008315,14,43,35,32,37,35,22,29,45
S01008316,12,35,28,21,25,36,31,33,47
S01008317,45,102,60,43,64,42,48,30,47
S01008318,82,261,167,80,73,68,64,44,43
S01008319,13,46,49,51,61,50,32,25,53
S01008320,24,62,34,30,26,27,15,17,20
S01008321,19,60,42,25,23,24,23,18,10
S01008322,26,78,63,71,59,61,40,40,62
S01008323,15,44,31,25,39,39,41,35,29
S01008324,27,62,60,52,46,41,38,36,50
S01008325,26,43,40,32,46,58,37,32,62
S01008326,29,51,49,55,69,55,50,39,52
S01008327,25,47,51,49,49,56,48,37,48
S01008328,209,662,249,175,107,77,98,57,88
S01008329,37,130,76,45,31,20,38,12,24
S01008330,25,122,67,40,31,23,44,15,25
S01008331,31,75,44,25,18,23,27,4,10
S01008332,44,145,57,43,24,25,31,13,30
S01008333,52,119,55,32,28,13,32,9,15
S01008334,45,127,66,32,12,20,20,11,10
S01008335,20,88,45,25,12,31,30,10,30
S01008336,20,91,47,36,21,19,31,21,31
S01008337,44,127,85,48,27,26,27,20,29
S01008338,53,139,74,35,26,17,31,11,30
S01008339,26,102,44,33,19,16,22,10,13
S01008340,38,127,77,34,27,24,39,19,25
S01008341,37,120,41,33,15,17,27,7,17
S01008342,35,104,56,36,23,28,30,18,29
S01008343,68,146,62,35,20,15,25,8,12
S01008344,82,152,44,35,24,22,29,3,20
S01008345,97,161,61,44,16,14,19,9,15
S01008346,80,161,74,35,16,23,45,12,26
S01008347,44,156,69,44,27,27,37,22,21
S01008348,38,105,43,30,19,17,22,13,18
S01008349,62,157,61,40,12,12,35,8,17
S01008350,43,76,35,16,10,9,12,4,12
S01008351,65,157,59,45,26,19,25,14,19
S01008352,37,128,50,28,19,4,22,7,11
S01008353,40,95,34,22,7,11,12,9,16
S01008354,203,577,210,119,84,64,82,40,65
S01008355,33,77,47,26,41,21,22,11,23
S01008356,23,81,55,33,38,26,11,22,18
S01008357,31,92,48,26,25,17,17,14,17
S01008358,25,93,45,31,26,16,20,13,21
S01008359,48,99,47,47,35,26,13,18,28
S01008360,57,139,72,37,17,25,16,6,19
S01008361,61,154,75,39,35,26,26,25,14
S01008362,83,260,99,60,44,29,46,19,26
S01008363,36,129,51,42,26,21,22,12,17
S01008364,36,110,39,31,15,19,28,12,22
S01008365,44,104,42,27,13,10,12,12,16
S01008366,30,96,55,38,36,34,25,19,38
S01008367,22,80,55,31,42,31,21,23,40
S01008368,29,96,48,53,20,32,23,14,19
S01008369,36,97,47,33,20,21,24,9,25
S01008370,34,111,48,38,18,20,28,6,28
S01008371,41,130,62,44,28,21,27,12,23
S01008372,33,102,53,39,15,17,30,9,23
S01008373,41,156,61,34,21,22,16,9,15
S01008374,40,123,50,42,20,17,26,16,25
S01008375,49,126,65,46,24,22,14,10,26
S01008376,28,99,48,21,18,17,18,5,19
S01008377,44,140,61,38,28,20,31,9,28
S01008378,57,165,65,38,17,20,22,11,24
S01008379,32,96,43,31,9,13,12,8,8
S01008380,34,144,57,30,20,13,30,5,13
S01008381,29,159,46,24,20,17,16,14,23
S01008382,41,143,90,46,23,25,21,9,23
S01008383,24,105,33,14,24,11,10,6,12
S01008384,36,150,89,48,37,20,36,17,29
S01008385,29,121,54,19,15,10,22,9,8
S01008386,33,108,66,54,27,19,26,14,26
S01008387,30,80,54,40,32,28,20,16,17
S01008388,19,95,60,37,23,30,22,18,29
S01008389,23,84,36,16,15,7,13,6,12
S01008390,37,108,48,30,14,11,14,6,12
S01008391,38,131,54,31,16,19,28,10,10
S01008392,51,227,73,34,17,16,20,8,14
S01008393,38,134,54,19,12,9,25,12,13
S01008394,71,173,68,31,23,8,26,7,22
S01008395,17,70,33,35,20,21,30,16,15
S01008396,24,82,43,25,21,12,15,14,16
S01008397,39,153,73,37,21,12,27,14,16
S01008398,38,111,54,27,16,20,16,7,17
S01008399,33,84,27,19,11,6,11,8,12
S01008400,31,115,61,35,17,17,27,13,14
S01008401,39,161,58,31,26,15,33,17,28
S01008402,74,210,61,37,20,10,31,5,24
S01008403,47,120,38,23,14,10,16,8,13
S01008404,54,161,70,27,23,19,22,10,10
S01008405,43,177,47,31,23,11,18,3,8
S01008406,42,155,59,26,10,11,22,7,13
S01008407,18,62,38,13,17,7,14,8,17
S01008408,24,101,41,34,26,16,21,14,22
S01008409,18,113,69,38,40,36,34,21,40
S01008410,28,82,32,24,14,18,24,17,16
S01008411,21,99,37,39,24,28,28,8,21
S01008412,44,114,50,29,27,27,38,10,31
S01008413,22,63,27,14,19,22,29,8,13
S01008414,30,89,40,20,11,14,29,10,11
S01008415,31,114,62,36,27,30,38,26,34
S01008416,31,88,62,50,28,37,45,34,44
S01008417,41,103,53,31,36,19,19,11,13
S01008418,27,78,47,35,28,22,8,16,16
S01008419,32,88,40,20,6,16,15,6,10
S01008420,29,62,32,22,17,8,11,8,17
S01008421,32,118,62,47,41,28,39,22,31
S01008422,30,98,40,15,6,17,13,7,8
S01008423,110,286,116,66,55,41,35,18,38
S01008424,52,121,49,30,21,16,20,0,18
S01008425,84,372,186,132,84,86,147,49,182
S01008426,21,67,52,42,33,29,15,24,35
S01008427,33,150,100,65,36,43,31,22,24
S01008428,33,97,60,45,46,24,31,22,27
S01008429,34,166,82,59,28,26,32,13,33
S01008430,39,192,79,44,25,26,23,18,29
S01008431,38,120,51,42,35,26,26,20,19
S01008432,32,104,51,26,34,19,15,11,27
S01008433,28,93,47,39,36,23,21,21,22
S01008434,43,118,90,60,36,32,35,30,36
S01008435,36,101,61,37,22,14,23,13,15
S01008436,50,138,71,47,21,18,22,15,13
S01008437,29,122,55,28,27,29,21,9,26
S01008438,55,120,58,20,19,12,5,11,10
S01008439,83,207,84,48,27,30,22,12,24
S01008440,66,196,61,39,24,24,13,7,19
S01008441,30,103,36,21,8,9,7,7,16
S01008442,44,147,69,24,14,20,18,6,11
S01008443,49,113,48,18,18,16,11,10,15
S01008444,66,87,372,32,21,17,13,15,18
S01008445,19,90,143,16,13,23,24,13,32
S01008446,50,192,58,26,27,17,20,12,16
S01008447,45,120,50,19,22,11,8,6,15
S01008448,35,104,57,31,31,21,25,17,15
S01008449,22,37,28,34,43,63,46,30,81
S01008450,5,31,30,28,27,44,32,17,74
S01008451,7,14,21,20,21,48,46,29,85
S01008452,9,24,17,22,24,26,37,27,72
S01008453,20,58,48,39,40,63,47,31,81
S01008454,13,42,29,36,32,62,62,37,88
S01008455,17,52,23,37,44,61,47,33,112
S01008456,9,38,37,22,33,41,43,41,113
S01008457,18,21,21,31,21,45,31,16,60
S01008458,30,48,51,61,54,39,57,45,93
S01008459,7,24,43,24,30,44,38,25,89
S01008460,12,25,27,18,43,38,48,33,90
S01008461,14,39,40,41,38,49,59,41,132
S01008462,7,12,31,6,13,30,19,20,51
S01008463,11,19,19,11,24,36,24,23,52
S01008464,22,72,60,65,43,54,47,35,60
S01008465,21,65,41,35,55,33,41,45,67
S01008466,22,33,57,30,46,52,44,46,47
S01008467,20,48,47,49,37,43,39,23,41
S01008468,33,119,81,53,60,57,53,38,85
S01008469,17,76,42,27,28,31,34,20,48
S01008470,15,64,40,40,41,55,41,38,96
S01008471,17,25,39,17,42,45,64,42,103
S01008472,19,56,34,25,26,40,33,26,58
S01008473,18,35,26,31,23,41,35,26,59
S01008474,19,53,35,54,40,45,32,28,78
S01008475,17,52,36,37,25,38,26,26,54
S01008476,23,73,40,46,45,35,38,25,52
S01008477,25,78,67,40,41,35,37,33,69
S01008478,38,132,90,69,50,59,95,34,94
S01008479,18,79,57,33,38,42,38,28,58
S01008480,14,81,29,25,19,31,29,20,55
S01008481,42,108,82,70,86,74,55,50,95
S01008482,16,32,33,29,26,27,36,25,37
S01008483,19,38,34,39,39,38,21,31,37
S01008484,15,61,52,36,41,36,43,26,63
S01008485,35,123,107,61,50,49,54,30,63
S01008486,32,89,51,47,38,36,36,26,45
S01008487,42,223,124,83,47,44,51,13,70
S01008488,25,135,75,65,36,39,48,18,53
S01008489,28,95,64,41,24,32,28,18,47
S01008490,31,147,83,56,44,40,49,24,55
S01008491,34,140,89,58,35,45,30,22,51
S01008492,49,276,155,76,50,53,61,24,75
S01008493,28,123,98,75,46,46,89,30,100
S01008494,35,136,78,55,45,52,56,34,87
S01008495,42,197,119,58,38,58,57,19,74
S01008496,37,196,107,63,43,38,63,31,89
S01008497,33,169,83,64,38,43,50,23,64
S01008498,30,162,90,52,39,53,57,21,71
S01008499,24,198,115,47,33,26,50,18,82
S01008500,13,51,24,8,21,28,18,8,43
S01008501,19,156,70,28,17,14,44,13,59
S01008502,29,162,88,63,24,24,41,12,50
S01008503,31,244,89,40,24,33,31,14,51
S01008504,67,295,130,50,23,33,34,7,34
S01008505,40,181,76,30,21,13,15,6,31
S01008506,54,208,81,33,15,25,30,4,26
S01008507,33,245,111,49,26,49,50,13,82
S01008508,37,145,63,32,10,21,16,7,20
S01008509,68,240,71,49,24,7,26,6,19
S01008510,41,142,63,36,22,22,36,18,26
S01008511,56,163,65,38,18,15,15,5,15
S01008512,36,107,30,21,15,9,8,2,12
S01008513,58,116,44,26,11,10,10,4,12
S01008514,50,193,66,24,19,19,12,7,15
S01008515,46,214,64,37,17,11,16,10,20
S01008516,42,250,106,49,33,29,40,19,37
S01008517,31,186,71,31,22,28,33,8,29
S01008518,42,199,83,40,16,19,15,10,27
S01008519,54,171,62,18,10,8,12,5,17
S01008520,83,225,62,30,11,15,18,10,24
S01008521,44,212,65,24,15,11,22,4,18
S01008522,36,123,46,20,8,10,8,9,14
S01008523,70,175,75,41,19,8,11,4,24
S01008524,21,82,56,39,52,69,50,35,81
S01008525,15,61,36,31,36,55,35,19,54
S01008526,31,94,68,42,37,41,57,19,58
S01008527,14,78,49,38,43,39,36,21,53
S01008528,24,80,58,36,36,51,26,16,45
S01008529,22,68,64,42,57,65,41,29,52
S01008530,15,48,52,32,43,44,39,25,70
S01008531,16,61,55,42,36,48,33,31,69
S01008532,13,27,26,25,29,38,7,20,33
S01008533,10,41,74,13,20,25,25,8,23
S01008534,26,76,70,52,21,31,22,10,16
S01008535,25,100,33,34,16,15,20,12,14
S01008536,23,103,47,28,22,21,21,15,13
S01008537,31,108,35,35,17,11,7,12,16
S01008538,31,90,37,16,14,7,11,3,4
S01008539,45,135,60,38,17,13,15,6,21
S01008540,48,146,72,30,27,13,16,17,21
S01008541,39,149,68,34,15,21,20,11,22
S01008542,87,353,123,86,39,33,47,18,38
S01008543,32,132,65,32,22,21,21,12,16
S01008544,45,111,43,26,13,18,11,5,18
S01008545,65,148,49,26,13,11,17,7,12
S01008546,43,124,46,37,19,10,13,13,10
S01008547,65,178,71,84,50,51,41,25,45
S01008548,73,215,117,80,72,78,46,51,65
S01008549,254,887,441,296,231,197,155,125,184
S01008550,35,96,46,41,22,23,27,21,22
S01008551,36,125,78,49,36,25,29,21,37
S01008552,30,96,48,39,29,22,29,18,32
S01008553,28,57,44,38,31,37,31,24,42
S01008554,18,66,42,31,53,69,40,43,81
S01008555,22,55,37,45,51,59,45,32,87
S01008556,17,64,48,36,41,50,46,40,79
S01008557,30,143,86,72,72,89,48,61,99
S01008558,24,53,48,43,35,68,26,25,71
S01008559,10,44,45,29,42,38,28,28,57
S01008560,12,55,55,26,58,47,34,32,69
S01008561,16,47,28,48,44,41,25,40,43
S01008562,28,50,36,35,38,64,48,35,66
S01008563,30,60,50,38,30,44,34,49,66
S01008564,13,40,32,31,38,41,22,22,38
S01008565,27,65,37,31,50,59,41,47,77
S01008566,29,92,51,46,54,78,50,45,74
S01008567,14,76,22,27,33,49,36,36,54
S01008568,39,106,68,53,45,37,41,23,53
S01008569,8,22,16,18,26,32,21,28,71
S01008570,17,51,31,26,50,65,42,32,75
S01008571,20,63,27,34,40,50,26,25,47
S01008572,23,88,39,40,34,39,33,21,42
S01008573,33,100,46,48,29,26,32,24,28
S01008574,36,102,55,46,33,31,18,14,13
S01008575,43,130,55,33,28,22,18,14,31
S01008576,31,118,43,36,30,19,27,20,19
S01008577,35,137,64,39,25,16,33,15,25
S01008578,41,148,50,23,16,17,17,4,10
S01008579,77,280,118,51,37,18,30,22,24
S01008580,23,70,42,26,27,23,12,15,31
S01008581,29,106,70,40,37,42,37,34,57
S01008582,25,88,63,57,52,50,35,41,71
S01008583,20,86,43,30,34,50,24,26,57
S01008584,32,91,42,36,43,52,32,21,51
S01008585,12,59,34,28,26,37,37,16,46
S01008586,22,80,57,50,48,56,32,29,69
S01008587,47,149,59,35,20,22,21,10,40
S01008588,25,152,63,43,22,20,18,4,20
S01008589,20,84,30,17,10,10,4,13,7
S01008590,27,182,62,23,9,14,19,12,26
S01008591,30,176,46,22,14,15,18,10,28
S01008592,28,175,64,33,32,21,19,13,42
S01008593,51,208,54,28,9,11,12,4,18
S01008594,74,260,79,21,13,29,22,11,28
S01008595,24,127,51,29,39,31,33,17,45
S01008596,17,152,56,33,25,46,30,25,68
S01008597,48,170,61,49,33,12,19,18,29
S01008598,37,156,62,28,21,24,36,18,36
S01008599,56,192,66,33,23,19,14,8,27
S01008600,62,187,58,23,14,28,17,6,35
S01008601,19,192,113,27,16,32,95,66,198
S01008602,19,123,41,17,13,18,34,7,48
S01008603,21,216,102,33,30,57,74,29,135
S01008604,38,214,65,38,17,29,39,18,41
S01008605,26,167,67,19,22,16,21,3,36
S01008606,40,199,41,25,14,16,12,4,29
S01008607,47,113,36,14,0,8,5,3,6
S01008608,28,162,56,10,8,15,7,1,15
S01008609,59,204,52,23,16,16,17,6,18
S01008610,42,132,43,23,10,7,15,12,24
S01008611,42,226,75,35,19,44,41,11,85
S01008612,21,145,52,26,23,32,40,11,47
S01008613,33,130,49,16,16,16,17,5,34
S01008614,21,103,51,16,16,16,21,12,59
S01008615,24,142,65,26,12,23,24,11,56
S01008616,25,134,59,18,16,14,16,10,47
S01008617,36,138,54,18,8,24,33,9,47
S01008618,18,117,46,23,6,28,29,4,57
S01008619,20,94,45,11,11,12,17,8,31
S01008620,26,158,56,23,11,33,31,6,63
S01008621,16,127,66,11,16,11,22,7,68
S01008622,23,102,39,18,9,16,10,0,26
S01008623,34,152,62,16,13,29,21,15,66
S01008624,57,115,48,16,2,12,21,3,11
S01008625,42,117,41,19,6,7,9,4,11
S01008626,55,213,84,31,14,18,21,7,25
S01008627,60,148,52,17,7,10,10,3,18
S01008628,35,157,45,21,16,14,22,4,14
S01008629,31,146,55,25,20,17,18,4,13
S01008630,27,142,63,20,13,20,31,8,30
S01008631,40,243,85,35,24,35,30,23,41
S01008632,39,163,55,33,8,15,22,11,35
S01008633,46,166,69,17,10,17,19,6,14
S01008634,64,133,63,22,19,14,20,12,36
S01008635,64,210,83,25,16,19,13,4,41
S01008636,39,126,55,36,15,18,26,10,35
S01008637,39,179,71,22,15,14,23,11,21
S01008638,29,108,51,26,16,22,19,7,51
S01008639,50,238,101,45,31,28,18,12,49
S01008640,43,207,97,36,21,26,25,6,57
S01008641,34,193,87,27,17,27,53,10,60
S01008642,43,219,78,36,27,20,26,15,47
S01008643,39,197,65,28,13,17,30,8,32
S01008644,39,189,87,26,19,32,27,9,55
S01008645,26,177,73,39,20,26,39,8,56
S01008646,37,251,96,34,24,29,46,15,53
S01008647,22,161,77,29,24,25,33,12,31
S01008648,20,113,66,38,36,31,33,13,35
S01008649,50,206,92,52,30,35,57,13,58
S01008650,29,198,88,30,32,27,34,15,57
S01008651,68,209,102,67,50,66,144,25,237
S01008652,18,95,57,28,25,29,20,9,49
S01008653,22,110,61,36,22,31,45,12,87
S01008654,30,197,108,61,53,36,53,21,87
S01008655,22,207,83,39,30,29,42,14,66
S01008656,23,119,76,27,29,46,38,19,55
S01008657,33,136,65,43,16,24,43,14,55
S01008658,55,272,149,75,54,69,87,34,144
S01008659,23,139,73,41,40,28,52,17,81
S01008660,49,221,105,47,23,38,49,18,92
S01008661,20,123,69,36,25,35,64,25,82
S01008662,19,97,46,32,21,19,39,12,70
S01008663,30,159,71,36,29,31,36,9,65
S01008664,31,129,76,32,27,28,38,9,59
S01008665,48,267,119,69,34,36,114,24,143
S01008666,32,151,75,27,18,31,59,11,96
S01008667,32,172,76,38,26,32,41,22,84
S01008668,14,111,58,22,21,31,29,5,45
S01008669,9,61,20,10,9,9,15,11,43
S01008670,7,88,43,29,12,28,59,10,87
S01008671,8,136,43,22,19,27,42,15,55
S01008672,18,108,54,36,14,19,35,11,47
S01008673,46,309,134,60,31,51,67,24,151
S01008674,21,106,47,30,10,23,44,7,93
S01008675,20,98,61,44,29,28,33,14,86
S01008676,29,171,85,33,29,29,21,14,63
S01008677,46,127,72,25,33,39,27,13,91
S01008678,18,116,52,29,31,40,70,24,108
S01008679,19,109,78,26,27,46,61,20,144
S01008680,18,76,36,25,13,20,30,7,64
S01008681,21,144,65,35,24,36,54,12,95
S01008682,16,138,42,26,17,27,25,11,43
S01008683,37,145,85,38,30,54,63,29,128
S01008684,37,145,82,45,36,56,58,30,95
S01008685,28,168,106,51,37,42,60,17,108
S01008686,27,201,117,50,39,42,76,16,130
S01008687,27,143,66,46,26,31,39,10,45
S01008688,39,169,94,39,23,39,38,21,53
S01008689,37,169,85,52,42,37,33,10,59
S01008690,74,352,203,89,64,53,59,19,60
S01008691,55,243,172,69,69,54,41,26,96
S01008692,78,311,170,98,75,78,79,42,96
S01008693,10,34,30,27,22,21,11,14,20
S01008694,46,219,136,60,43,34,26,27,43
S01008695,43,168,97,31,35,30,18,14,25
S01008696,33,141,68,36,23,17,16,10,20
S01008697,47,185,77,41,40,23,26,13,30
S01008698,26,65,28,19,13,16,14,8,12
S01008699,38,92,85,54,46,43,34,34,54
S01008700,45,91,41,18,14,14,6,11,14
S01008701,33,140,78,67,71,129,68,58,153
S01008702,17,117,52,34,29,39,27,24,47
S01008703,13,51,40,40,51,74,48,44,80
S01008704,158,569,277,229,217,256,163,154,270
S01008705,26,80,37,31,38,59,47,31,75
S01008706,30,60,39,40,44,46,40,43,65
S01008707,13,38,40,24,55,55,35,21,84
S01008708,16,61,33,46,43,93,49,41,118
S01008709,17,34,33,26,50,37,23,28,61
S01008710,9,23,15,12,31,40,19,21,56
S01008711,23,43,38,24,38,47,40,24,71
S01008712,10,49,41,37,49,69,30,49,79
S01008713,12,23,21,7,25,35,24,25,49
S01008714,20,45,22,15,26,29,21,16,34
S01008715,20,24,32,27,34,43,30,34,37
S01008716,18,31,30,30,35,42,25,16,32
S01008717,18,55,29,40,35,22,29,19,25
S01008718,33,67,64,51,40,43,52,41,35
S01008719,44,100,52,68,72,65,61,52,75
S01008720,100,273,166,134,90,93,73,65,68
S01008721,43,114,90,57,37,36,37,29,32
S01008722,57,149,66,47,22,27,28,24,27
S01008723,35,112,47,35,27,33,22,11,19
S01008724,51,170,73,41,29,21,19,14,25
S01008725,45,141,54,26,25,18,18,11,17
S01008726,24,110,49,18,22,15,16,9,11
S01008727,60,185,88,36,31,34,21,8,27
S01008728,25,92,48,26,28,29,25,14,21
S01008729,51,120,89,25,14,21,14,4,19
S01008730,42,151,103,29,25,37,23,19,31
S01008731,20,64,41,18,17,20,14,14,11
S01008732,20,112,53,26,25,26,25,15,30
S01008733,75,305,197,93,63,71,57,35,63
S01008734,36,88,60,25,17,19,13,11,13
S01008735,66,151,77,53,41,23,35,9,12
S01008736,52,114,53,34,27,21,27,17,23
S01008737,47,88,64,22,34,13,14,7,20
S01008738,43,112,57,27,28,18,20,19,15
S01008739,16,71,37,50,42,24,25,19,28
S01008740,18,40,39,31,22,16,18,12,12
S01008741,39,113,75,67,54,33,40,31,31
S01008742,23,52,33,35,29,10,19,12,18
S01008743,39,81,55,44,51,54,49,33,66
S01008744,41,107,100,74,53,52,42,19,50
S01008745,10,66,49,27,17,25,11,11,23
S01008746,32,117,86,56,45,70,53,24,98
S01008747,16,75,51,26,13,14,20,12,7
S01008748,35,67,38,23,24,17,17,18,15
S01008749,57,123,74,45,37,37,30,30,27
S01008750,39,65,55,44,31,17,21,15,19
S01008751,24,45,42,28,25,38,23,17,22
S01008752,18,35,47,37,40,35,21,17,51
S01008753,14,37,40,26,32,43,26,17,42
S01008754,29,48,40,40,34,32,33,20,54
S01008755,27,117,84,61,63,74,53,45,90
S01008756,20,54,39,28,34,43,33,26,55
S01008757,7,28,21,16,28,37,19,18,55
S01008758,22,35,47,46,41,43,27,28,54
S01008759,14,34,32,31,29,33,22,22,40
S01008760,27,41,39,46,51,63,38,30,90
S01008761,29,72,53,32,40,46,27,23,44
S01008762,18,66,64,44,40,21,32,19,31
S01008763,49,188,101,58,45,41,20,20,35
S01008764,38,135,72,29,28,21,17,16,28
S01008765,50,188,98,49,37,42,26,23,33
S01008766,67,165,87,44,41,29,21,22,34
S01008767,26,53,51,36,25,26,30,15,27
S01008768,170,456,264,119,111,100,90,58,123
S01008769,72,240,145,71,48,49,44,23,52
S01008770,79,223,129,32,30,27,22,21,31
S01008771,74,210,111,58,46,54,38,23,57
S01008772,47,161,75,28,25,35,31,15,30
S01008773,46,147,104,59,59,53,43,34,54
S01008774,28,143,107,68,69,57,50,35,86
S01008775,29,124,60,23,31,22,23,6,33
S01008776,32,105,75,36,32,27,32,15,53
S01008777,35,117,89,50,33,54,36,30,77
S01008778,78,256,143,56,50,50,53,29,65
S01008779,62,218,103,48,35,33,30,17,44
S01008780,24,110,78,23,20,22,23,8,28
S01008781,51,177,120,68,50,62,46,35,82
