Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006649,20,96,53,54,46,81,44,42,99
S01006650,17,85,37,17,33,53,44,29,58
S01006651,10,44,44,16,25,45,35,16,77
S01006652,7,78,60,42,44,46,91,16,83
S01006653,18,95,54,23,20,18,20,14,33
S01006654,15,61,27,41,35,65,39,25,61
S01006655,40,257,88,45,32,24,30,19,31
S01006656,26,113,82,37,38,59,40,33,60
S01006657,4,56,31,28,17,30,30,22,42
S01006658,33,124,67,45,64,85,70,57,171
S01006659,14,61,46,35,25,23,39,5,59
S01006660,7,36,21,18,24,22,28,18,62
S01006661,7,47,28,20,14,19,30,14,36
S01006662,23,42,38,20,33,31,30,21,68
S01006663,16,65,29,13,16,18,25,7,31
S01006664,8,41,24,24,25,26,17,13,37
S01006665,18,67,27,14,23,39,76,20,83
S01006666,17,101,75,47,65,71,34,52,111
S01006667,9,38,13,17,34,42,25,54,82
S01006668,17,71,33,32,19,44,60,23,68
S01006669,18,74,26,27,22,28,56,30,70
S01006670,31,59,81,44,32,44,53,24,129
S01006671,22,76,57,36,32,39,147,24,151
S01006672,7,48,28,23,27,24,32,34,80
S01006673,16,51,37,27,30,52,37,23,81
S01006674,11,32,28,25,48,33,18,37,79
S01006675,13,16,21,14,50,35,33,54,112
S01006676,9,29,25,11,38,40,29,52,59
S01006677,15,50,25,44,70,60,43,59,110
S01006678,19,89,64,54,101,82,68,92,164
S01006679,22,59,45,40,31,30,17,25,25
S01006680,12,30,29,31,63,56,28,77,109
S01006681,24,85,62,36,37,29,27,47,56
S01006682,5,31,41,20,47,46,23,52,98
S01006683,12,54,36,30,54,50,33,41,103
S01006684,10,37,30,34,30,35,16,36,66
S01006685,22,31,31,28,32,36,33,36,61
S01006686,9,36,20,21,24,37,24,29,46
S01006687,19,50,43,31,47,55,29,33,60
S01006688,22,80,42,41,34,36,20,17,38
S01006689,45,236,86,35,47,35,31,19,25
S01006690,14,67,41,31,23,40,26,22,49
S01006691,24,106,43,39,28,32,25,15,43
S01006692,19,97,60,27,33,35,30,19,32
S01006693,42,89,50,51,62,73,44,46,77
S01006694,17,24,31,33,45,43,23,41,74
S01006695,16,58,36,40,42,40,23,33,66
S01006696,18,45,34,41,41,51,26,33,67
S01006697,15,61,37,38,46,53,26,31,63
S01006698,13,41,22,25,27,37,21,31,68
S01006699,8,38,18,25,17,23,20,15,28
S01006700,19,68,32,24,30,38,22,26,65
S01006701,12,28,32,32,58,41,31,26,64
S01006702,16,37,36,30,51,60,28,53,64
S01006703,8,32,27,25,31,49,25,36,51
S01006704,14,25,26,29,35,32,23,31,68
S01006705,11,32,43,43,51,62,34,40,60
S01006706,14,41,46,36,44,40,20,36,35
S01006707,7,20,23,17,27,30,22,20,33
S01006708,10,40,46,58,44,54,27,32,63
S01006709,22,48,43,42,44,65,33,37,62
S01006710,19,36,38,39,45,52,28,46,48
S01006711,14,56,34,43,59,43,34,35,69
S01006712,11,21,26,28,41,30,12,26,40
S01006713,16,33,44,52,47,76,31,56,80
S01006714,11,37,23,29,32,48,21,30,68
S01006715,15,16,19,17,31,50,21,31,60
S01006716,9,25,27,16,39,42,20,30,43
S01006717,17,48,48,34,59,54,24,56,74
S01006718,17,17,23,28,32,39,26,41,65
S01006719,27,41,43,42,53,67,38,57,86
S01006720,6,27,28,25,45,42,25,29,56
S01006721,9,36,30,36,55,43,25,55,78
S01006722,14,43,34,31,45,41,30,30,70
S01006723,16,29,36,40,31,33,17,30,49
S01006724,12,20,30,21,45,64,41,34,88
S01006725,11,17,23,25,44,43,24,42,70
S01006726,4,27,17,24,35,42,30,33,59
S01006727,9,35,44,30,54,60,31,42,128
S01006728,16,41,36,32,43,48,24,47,84
S01006729,19,43,44,32,44,70,32,44,117
S01006730,12,36,35,30,50,46,27,37,53
S01006731,17,18,21,23,43,29,16,24,48
S01006732,113,239,183,94,94,76,42,48,71
S01006733,43,148,76,69,30,27,32,25,23
