Data Zone 2011,All occupied households
S01006992,255
S01006993,210
S01006994,236
S01006995,357
S01006996,373
S01006997,313
S01006998,578
S01006999,358
S01007000,422
S01007001,460
S01007002,249
S01007003,214
S01007004,330
S01007005,369
S01007006,398
S01007007,352
S01007008,469
S01007009,517
S01007010,398
S01007011,469
S01007012,319
S01007013,205
S01007014,415
S01007015,258
S01007016,228
S01007017,513
S01007018,382
S01007019,287
S01007020,380
S01007021,381
S01007022,210
S01007023,216
S01007024,440
S01007025,417
S01007026,451
S01007027,512
S01007028,514
S01007029,228
S01007030,373
S01007031,281
S01007032,552
S01007033,289
S01007034,254
S01007035,410
S01007036,401
S01007037,435
S01007038,307
S01007039,446
S01007040,291
S01007041,339
S01007042,332
S01007043,389
S01007044,321
S01007045,336
S01007046,256
S01007047,274
S01007048,344
S01007049,419
S01007050,314
S01007051,344
S01007052,405
S01007053,211
S01007054,469
S01007055,237
S01007056,271
S01007057,253
S01007058,283
S01007059,482
S01007060,204
S01007061,367
S01007062,282
S01007063,293
S01007064,386
S01007065,285
S01007066,367
S01007067,250
S01007068,288
S01007069,346
S01007070,244
S01007071,353
S01007072,269
S01007073,346
S01007074,271
S01007075,335
S01007076,292
S01007077,347
S01007078,360
S01007079,493
S01007080,383
S01007081,346
S01007082,254
S01007083,522
S01007084,270
S01007085,475
S01007086,604
S01007087,517
S01007088,272
S01007089,220
S01007090,243
S01007091,315
S01007092,304
S01007093,410
S01007094,360
S01007095,227
S01007096,363
S01007097,908
S01007098,420
S01007099,360
S01007100,305
S01007101,342
S01007102,295
S01007103,366
S01007104,253
S01007105,243
S01007106,307
S01007107,310
S01007108,511
S01007109,375
S01007110,343
S01007111,225
S01007112,227
S01007113,241
S01007114,385
S01007115,251
S01007116,321
S01007117,180
S01007118,284
S01007119,322
S01007120,500
S01007121,320
S01007122,295
S01007123,345
S01007124,385
S01007125,394
S01007126,437
S01007127,523
S01007128,405
S01007129,372
S01007130,279
S01007131,344
S01007132,299
S01007133,263
S01007134,293
S01007135,209
S01007136,217
S01007137,248
S01007138,249
S01007139,299
S01007140,462
S01007141,448
S01007142,344
S01007143,209
S01007144,465
S01007145,469
S01007146,327
S01007147,308
S01007148,206
S01007149,236
S01007150,376
S01007151,492
S01007152,232
S01007153,302
S01007154,460
S01007155,315
S01007156,322
S01007157,283
S01007158,378
S01007159,587
S01007160,402
S01007161,344
S01007162,274
S01007163,412
S01007164,287
S01007165,336
S01007166,318
S01007167,332
S01007168,395
S01007169,321
S01007170,302
S01007171,549
S01007172,452
S01007173,334
S01007174,391
S01007175,307
S01007176,289
S01007177,286
S01007178,406
S01007179,381
S01007180,374
S01007181,291
S01007182,500
S01007183,573
S01007184,597
S01007185,441
S01007186,333
S01007187,448
S01007188,336
S01007189,474
S01007190,372
S01007191,211
S01007192,534
S01007193,270
S01007194,226
S01007195,266
S01007196,387
S01007197,274
S01007198,232
S01007199,287
S01007200,417
S01007201,346
S01007202,347
S01007203,197
S01007204,440
S01007205,268
S01007206,205
S01007207,424
S01007208,593
S01007209,378
S01007210,356
S01007211,501
S01007212,204
S01007213,401
S01007214,443
S01007215,336
S01007216,362
S01007217,451
S01007218,353
S01007219,341
S01007220,363
S01007221,405
S01007222,299
S01007223,227
S01007224,271
S01007225,365
S01007226,345
S01007227,434
S01007228,263
S01007229,482
S01007230,344
S01007231,360
S01007232,420
S01007233,309
S01007234,254
S01007235,458
S01007236,304
S01007237,311
S01007238,413
S01007239,406
S01007240,281
S01007241,268
S01007242,448
S01007243,280
S01007244,337
S01007245,324
S01007246,377
S01007247,310
S01007248,314
S01007249,209
S01007250,411
S01007251,252
S01007252,323
S01007253,586
S01007254,367
S01007255,398
S01007256,429
S01007257,277
S01007258,363
S01007259,439
S01007260,415
S01007261,382
S01007262,339
S01007263,353
S01007264,333
S01007265,476
S01007266,300
S01007267,250
S01007268,277
S01007269,180
S01007270,243
S01007271,463
S01007272,445
S01007273,290
S01007274,481
S01007275,250
S01007276,416
S01007277,332
S01007278,232
S01007279,257
S01007280,247
S01007281,371
S01007282,245
S01007283,468
S01007284,423
S01007285,435
S01007286,496
S01007287,307
S01007288,303
S01007289,352
S01007290,436
S01007291,330
S01007292,305
S01007293,300
S01007294,375
S01007295,248
S01007296,382
S01007297,442
S01007298,251
S01007299,375
S01007300,234
S01007301,544
S01007302,286
S01007303,441
S01007304,345
S01007305,342
S01007306,366
S01007307,396
S01007308,380
S01007309,344
S01007310,424
S01007311,343
S01007312,358
S01007313,503
S01007314,310
S01007315,375
S01007316,461
S01007317,389
S01007318,245
S01007319,388
S01007320,384
S01007321,313
S01007322,375
S01007323,241
S01007324,183
S01007325,398
S01007326,475
S01007327,349
S01007328,347
S01007329,372
S01007330,385
S01007331,481
S01007332,231
S01007333,338
S01007334,308
S01007335,418
S01007336,296
S01007337,378
S01007338,272
S01007339,316
S01007340,288
S01007341,374
S01007342,362
S01007343,323
S01007344,236
S01007345,264
S01007346,341
S01007347,353
S01007348,264
S01007349,186
S01007350,323
S01007351,405
S01007352,279
S01007353,318
S01007354,405
S01007355,528
S01007356,335
S01007357,372
S01007358,364
S01007359,412
S01007360,262
S01007361,502
S01007362,353
S01007363,346
S01007364,417
S01007365,220
S01007366,278
S01007367,282
S01007368,244
S01007369,367
S01007370,358
S01007371,311
S01007372,407
S01007373,257
S01007374,206
S01007375,202
S01007376,366
S01007377,262
S01007378,209
S01007379,269
S01007380,235
S01007381,217
S01007382,282
S01007383,346
S01007384,354
S01007385,409
S01007386,336
S01007387,312
S01007388,250
S01007389,189
S01007390,189
S01007391,222
S01007392,209
S01007393,311
S01007394,348
S01007395,588
S01007396,429
S01007397,487
S01007398,279
S01007399,294
S01007400,347
S01007401,326
S01007402,260
S01007403,425
S01007404,243
S01007405,258
S01007406,288
S01007407,272
S01007408,248
S01007409,336
S01007410,290
S01007411,444
S01007412,199
S01007413,388
S01007414,246
S01007415,384
S01007416,219
S01007417,405
S01007418,287
S01007419,345
S01007420,281
S01007421,285
S01007422,278
S01007423,332
S01007424,340
S01007425,393
S01007426,445
S01007427,317
S01007428,477
S01007429,422
S01007430,203
S01007431,209
S01007432,409
S01007433,469
S01007434,233
S01007435,332
S01007436,361
S01007437,225
S01007438,343
S01007439,338
S01007440,299
S01007441,229
S01007442,202
S01007443,383
S01007444,476
S01007445,268
S01007446,185
S01007447,219
S01007448,439
S01007449,444
S01007450,335
S01007451,292
S01007452,531
S01007453,276
S01007454,204
S01007455,377
S01007456,384
S01007457,450
S01007458,223
S01007459,293
S01007460,411
S01007461,361
S01007462,367
S01007463,415
S01007464,339
S01007465,376
S01007466,601
S01007467,521
S01007468,297
S01007469,384
S01007470,324
S01007471,201
S01007472,269
S01007473,224
S01007474,216
S01007475,356
S01007476,348
S01007477,239
S01007478,475
S01007479,284
S01007480,331
S01007481,447
S01007482,239
S01007483,290
S01007484,263
S01007485,193
S01007486,313
S01007487,414
S01007488,484
S01007489,394
S01007490,420
S01007491,496
S01007492,264
S01007493,365
S01007494,242
S01007495,331
S01007496,418
S01007497,293
S01007498,368
S01007499,414
S01007500,288
S01007501,334
S01007502,207
S01007503,468
S01007504,315
S01007505,177
S01007506,270
S01007507,461
S01007508,331
S01007509,285
S01007510,484
S01007511,389
S01007512,254
S01007513,473
S01007514,257
S01007515,295
S01007516,269
S01007517,235
S01007518,364
S01007519,212
S01007520,485
S01007521,219
S01007522,499
S01007523,247
S01007524,399
S01007525,274
S01007526,394
S01007527,436
S01007528,348
S01007529,319
S01007530,247
S01007531,308
S01007532,245
S01007533,188
S01007534,444
S01007535,484
S01007536,450
S01007537,543
S01007538,363
S01007539,306
S01007540,484
S01007541,380
S01007542,445
S01007543,499
S01007544,520
S01007545,367
S01007546,227
S01007547,297
S01007548,295
S01007549,330
S01007550,466
S01007551,345
S01007552,439
S01007553,359
S01007554,231
S01007555,265
S01007556,241
S01007557,471
S01007558,203
S01007559,319
S01007560,488
S01007561,366
S01007562,364
S01007563,370
S01007564,325
S01007565,444
S01007566,264
S01007567,238
S01007568,305
S01007569,363
S01007570,448
S01007571,238
S01007572,473
S01007573,343
S01007574,425
S01007575,407
S01007576,281
S01007577,345
S01007578,368
S01007579,301
S01007580,300
S01007581,226
S01007582,334
S01007583,545
S01007584,290
S01007585,461
S01007586,376
S01007587,322
S01007588,372
S01007589,407
S01007590,287
S01007591,279
S01007592,359
S01007593,488
S01007594,327
S01007595,448
S01007596,227
S01007597,257
S01007598,268
S01007599,407
S01007600,498
S01007601,322
S01007602,272
S01007603,315
S01007604,385
S01007605,362
S01007606,322
S01007607,276
S01007608,356
S01007609,462
S01007610,248
S01007611,599
S01007612,754
S01007613,319
S01007614,409
S01007615,505
S01007616,418
S01007617,221
S01007618,229
S01007619,321
S01007620,281
S01007621,284
S01007622,246
S01007623,247
S01007624,261
S01007625,221
S01007626,270
S01007627,849
S01007628,292
S01007629,287
S01007630,392
S01007631,271
S01007632,468
S01007633,472
S01007634,294
S01007635,339
S01007636,517
S01007637,423
S01007638,426
S01007639,424
S01007640,306
S01007641,392
S01007642,461
S01007643,422
S01007644,404
S01007645,230
S01007646,263
S01007647,351
S01007648,373
S01007649,387
S01007650,418
S01007651,235
S01007652,266
S01007653,383
S01007654,526
S01007655,324
S01007656,346
S01007657,189
S01007658,213
S01007659,386
S01007660,413
S01007661,368
S01007662,496
S01007663,386
S01007664,277
S01007665,305
S01007666,174
S01007667,276
S01007668,461
S01007669,258
S01007670,314
S01007671,391
S01007672,394
S01007673,291
S01007674,367
S01007675,287
S01007676,277
S01007677,322
S01007678,366
S01007679,389
S01007680,361
S01007681,188
S01007682,399
S01007683,314
S01007684,366
S01007685,271
S01007686,315
S01007687,399
S01007688,551
S01007689,295
S01007690,397
S01007691,635
S01007692,412
S01007693,425
S01007694,533
S01007695,595
S01007696,439
S01007697,628
S01007698,556
S01007699,437
S01007700,435
S01007701,315
S01007702,281
S01007703,390
S01007704,488
S01007705,295
S01007706,422
S01007707,578
S01007708,380
S01007709,316
S01007710,436
S01007711,513
S01007712,362
S01007713,228
S01007714,377
S01007715,373
S01007716,596
S01007717,400
S01007718,455
S01007719,573
S01007720,411
S01007721,528
S01007722,637
S01007723,524
S01007724,342
S01007725,454
S01007726,485
S01007727,504
S01007728,543
S01007729,517
S01007730,402
S01007731,443
S01007732,341
S01007733,382
S01007734,387
S01007735,356
S01007736,219
S01007737,450
S01007738,379
S01007739,263
S01007740,256
S01007741,365
S01007742,371
S01007743,436
S01007744,356
S01007745,307
S01007746,366
S01007747,211
S01007748,337
S01007749,284
S01007750,377
S01007751,327
S01007752,385
S01007753,220
S01007754,411
S01007755,352
S01007756,263
S01007757,365
S01007758,445
S01007759,568
S01007760,267
S01007761,432
S01007762,442
S01007763,316
S01007764,313
S01007765,293
S01007766,381
S01007767,396
S01007768,369
S01007769,322
S01007770,318
S01007771,239
S01007772,526
S01007773,316
S01007774,319
S01007775,345
S01007776,280
S01007777,380
S01007778,256
S01007779,357
S01007780,349
S01007781,407
S01007782,294
S01007783,431
S01007784,285
S01007785,268
S01007786,321
S01007787,276
S01007788,276
S01007789,241
S01007790,310
S01007791,252
S01007792,367
S01007793,459
S01007794,223
S01007795,284
S01007796,292
S01007797,287
S01007798,229
S01007799,198
S01007800,353
S01007801,417
S01007802,200
S01007803,474
S01007804,246
S01007805,205
S01007806,294
S01007807,314
S01007808,317
S01007809,389
S01007810,388
S01007811,426
S01007812,361
S01007813,298
S01007814,235
S01007815,351
S01007816,252
S01007817,205
S01007818,305
S01007819,378
S01007820,415
S01007821,237
S01007822,375
S01007823,274
S01007824,401
S01007825,463
S01007826,293
S01007827,281
S01007828,579
S01007829,299
S01007830,500
S01007831,516
S01007832,324
S01007833,479
S01007834,395
S01007835,320
S01007836,315
S01007837,334
S01007838,443
S01007839,296
S01007840,444
S01007841,324
S01007842,341
S01007843,347
S01007844,427
S01007845,387
S01007846,347
S01007847,387
S01007848,419
S01007849,473
S01007850,289
S01007851,483
S01007852,314
S01007853,493
S01007854,468
S01007855,286
S01007856,411
S01007857,232
S01007858,520
S01007859,272
S01007860,271
S01007861,258
S01007862,301
S01007863,431
S01007864,466
S01007865,330
S01007866,210
S01007867,612
S01007868,364
S01007869,362
S01007870,136
S01007871,272
S01007872,318
S01007873,283
S01007874,360
S01007875,329
S01007876,392
S01007877,338
S01007878,192
S01007879,341
S01007880,245
S01007881,250
S01007882,288
S01007883,466
S01007884,276
S01007885,338
S01007886,432
S01007887,253
S01007888,464
S01007889,234
S01007890,301
S01007891,431
S01007892,342
S01007893,432
S01007894,384
S01007895,250
S01007896,345
S01007897,157
S01007898,192
S01007899,243
S01007900,243
S01007901,291
S01007902,361
S01007903,292
S01007904,330
S01007905,302
S01007906,343
S01007907,252
S01007908,422
S01007909,250
S01007910,376
S01007911,290
S01007912,311
S01007913,311
S01007914,257
S01007915,362
S01007916,371
S01007917,378
S01007918,393
S01007919,326
S01007920,303
S01007921,398
S01007922,368
S01007923,453
S01007924,460
S01007925,186
S01007926,175
S01007927,315
S01007928,437
S01007929,770
S01007930,196
S01007931,481
S01007932,379
S01007933,319
S01007934,280
S01007935,401
S01007936,390
S01007937,490
S01007938,364
S01007939,362
S01007940,495
S01007941,266
S01007942,213
S01007943,321
S01007944,375
S01007945,379
S01007946,288
S01007947,318
S01007948,281
S01007949,309
S01007950,390
S01007951,407
S01007952,339
S01007953,392
S01007954,296
S01007955,324
S01007956,297
S01007957,547
S01007958,268
S01007959,351
S01007960,295
S01007961,339
S01007962,252
S01007963,435
S01007964,356
S01007965,236
S01007966,435
S01007967,232
S01007968,393
S01007969,370
S01007970,469
S01007971,461
S01007972,377
S01007973,357
S01007974,360
S01007975,367
S01007976,432
S01007977,259
S01007978,405
S01007979,405
S01007980,300
S01007981,248
S01007982,213
S01007983,439
S01007984,326
S01007985,381
S01007986,247
S01007987,324
S01007988,301
S01007989,362
S01007990,290
S01007991,426
S01007992,224
S01007993,328
S01007994,297
S01007995,314
S01007996,143
S01007997,351
S01007998,229
S01007999,310
S01008000,398
S01008001,441
S01008002,356
S01008003,252
S01008004,240
S01008005,300
S01008006,252
S01008007,247
S01008008,298
S01008009,444
S01008010,475
S01008011,381
S01008012,514
S01008013,349
S01008014,260
S01008015,532
S01008016,425
S01008017,379
S01008018,311
S01008019,242
S01008020,375
S01008021,304
S01008022,331
S01008023,227
S01008024,395
S01008025,275
S01008026,461
S01008027,239
S01008028,243
S01008029,851
S01008030,478
S01008031,363
S01008032,381
S01008033,264
S01008034,259
S01008035,280
S01008036,246
S01008037,437
S01008038,349
S01008039,357
S01008040,367
S01008041,351
S01008042,285
S01008043,406
S01008044,430
S01008045,518
S01008046,564
S01008047,288
S01008048,242
S01008049,355
S01008050,242
S01008051,331
S01008052,633
S01008053,257
S01008054,365
S01008055,410
S01008056,355
S01008057,392
S01008058,307
S01008059,257
S01008060,275
S01008061,443
S01008062,367
S01008063,376
S01008064,295
S01008065,353
S01008066,326
S01008067,301
S01008068,418
S01008069,374
S01008070,383
S01008071,290
S01008072,364
S01008073,174
S01008074,375
S01008075,244
S01008076,305
S01008077,353
S01008078,360
S01008079,339
S01008080,276
S01008081,238
S01008082,330
S01008083,289
S01008084,386
S01008085,341
S01008086,439
S01008087,329
S01008088,399
S01008089,294
S01008090,303
S01008091,144
S01008092,368
S01008093,301
S01008094,332
S01008095,328
S01008096,335
S01008097,286
S01008098,302
S01008099,201
S01008100,404
S01008101,396
S01008102,277
S01008103,451
S01008104,422
S01008105,490
S01008106,414
S01008107,483
S01008108,293
S01008109,333
S01008110,320
S01008111,352
S01008112,328
S01008113,409
S01008114,259
S01008115,383
S01008116,348
S01008117,336
S01008118,369
S01008119,254
S01008120,289
S01008121,263
S01008122,266
S01008123,394
S01008124,344
S01008125,351
S01008126,301
S01008127,290
S01008128,345
S01008129,406
S01008130,466
S01008131,412
S01008132,470
S01008133,324
S01008134,337
S01008135,625
S01008136,413
S01008137,426
S01008138,380
S01008139,523
S01008140,242
S01008141,312
S01008142,293
S01008143,451
S01008144,1234
S01008145,434
S01008146,248
S01008147,332
S01008148,333
S01008149,312
S01008150,417
S01008151,287
S01008152,453
S01008153,284
S01008154,423
S01008155,277
S01008156,335
S01008157,387
S01008158,286
S01008159,443
S01008160,386
S01008161,433
S01008162,437
S01008163,352
S01008164,366
S01008165,871
S01008166,231
S01008167,304
S01008168,349
S01008169,378
S01008170,237
S01008171,399
S01008172,259
S01008173,262
S01008174,226
S01008175,369
S01008176,400
S01008177,371
S01008178,278
S01008179,172
S01008180,169
S01008181,273
S01008182,550
S01008183,289
S01008184,486
S01008185,537
S01008186,370
S01008187,348
S01008188,486
S01008189,210
S01008190,363
S01008191,362
S01008192,436
S01008193,344
S01008194,275
S01008195,334
S01008196,376
S01008197,551
S01008198,302
S01008199,305
S01008200,303
S01008201,354
S01008202,254
S01008203,314
S01008204,468
S01008205,293
S01008206,302
S01008207,248
S01008208,362
S01008209,170
S01008210,393
S01008211,441
S01008212,212
S01008213,372
S01008214,349
S01008215,321
S01008216,201
S01008217,231
S01008218,937
S01008219,415
S01008220,230
S01008221,362
S01008222,284
S01008223,270
S01008224,402
S01008225,285
S01008226,392
S01008227,393
S01008228,283
S01008229,303
S01008230,298
S01008231,242
S01008232,311
S01008233,278
S01008234,195
S01008235,432
S01008236,385
S01008237,506
S01008238,370
S01008239,474
S01008240,318
S01008241,284
S01008242,547
S01008243,479
S01008244,265
S01008245,430
S01008246,448
S01008247,325
S01008248,357
S01008249,455
S01008250,1192
S01008251,438
S01008252,317
S01008253,364
S01008254,440
S01008255,272
S01008256,423
S01008257,381
S01008258,405
S01008259,445
S01008260,340
S01008261,355
S01008262,250
S01008263,289
S01008264,333
S01008265,434
S01008266,312
S01008267,400
S01008268,325
S01008269,419
S01008270,374
S01008271,381
S01008272,1075
S01008273,352
S01008274,321
S01008275,241
S01008276,231
S01008277,301
S01008278,420
S01008279,318
S01008280,446
S01008281,327
S01008282,286
S01008283,445
S01008284,1072
S01008285,339
S01008286,317
S01008287,329
S01008288,427
S01008289,291
S01008290,397
S01008291,395
S01008292,311
S01008293,203
S01008294,320
S01008295,365
S01008296,299
S01008297,331
S01008298,393
S01008299,353
S01008300,351
S01008301,335
S01008302,390
S01008303,293
S01008304,175
S01008305,297
S01008306,236
S01008307,320
S01008308,241
S01008309,342
S01008310,499
S01008311,204
S01008312,171
S01008313,392
S01008314,315
S01008315,450
S01008316,271
S01008317,415
S01008318,588
S01008319,392
S01008320,326
S01008321,161
S01008322,481
S01008323,280
S01008324,317
S01008325,289
S01008326,433
S01008327,387
S01008328,1173
S01008329,297
S01008330,286
S01008331,233
S01008332,411
S01008333,505
S01008334,333
S01008335,290
S01008336,336
S01008337,370
S01008338,240
S01008339,219
S01008340,308
S01008341,200
S01008342,321
S01008343,332
S01008344,369
S01008345,401
S01008346,357
S01008347,489
S01008348,310
S01008349,308
S01008350,240
S01008351,361
S01008352,252
S01008353,200
S01008354,1005
S01008355,315
S01008356,244
S01008357,288
S01008358,345
S01008359,286
S01008360,320
S01008361,339
S01008362,526
S01008363,301
S01008364,279
S01008365,277
S01008366,390
S01008367,359
S01008368,308
S01008369,252
S01008370,298
S01008371,293
S01008372,280
S01008373,263
S01008374,281
S01008375,274
S01008376,206
S01008377,292
S01008378,395
S01008379,199
S01008380,235
S01008381,230
S01008382,320
S01008383,174
S01008384,379
S01008385,244
S01008386,346
S01008387,233
S01008388,239
S01008389,308
S01008390,243
S01008391,346
S01008392,329
S01008393,350
S01008394,280
S01008395,184
S01008396,318
S01008397,313
S01008398,250
S01008399,240
S01008400,263
S01008401,377
S01008402,438
S01008403,210
S01008404,342
S01008405,267
S01008406,467
S01008407,295
S01008408,252
S01008409,404
S01008410,323
S01008411,237
S01008412,284
S01008413,199
S01008414,191
S01008415,342
S01008416,425
S01008417,315
S01008418,299
S01008419,186
S01008420,186
S01008421,408
S01008422,229
S01008423,533
S01008424,337
S01008425,728
S01008426,267
S01008427,394
S01008428,353
S01008429,400
S01008430,395
S01008431,351
S01008432,297
S01008433,343
S01008434,409
S01008435,300
S01008436,426
S01008437,369
S01008438,247
S01008439,425
S01008440,439
S01008441,188
S01008442,321
S01008443,263
S01008444,235
S01008445,414
S01008446,362
S01008447,288
S01008448,321
S01008449,338
S01008450,224
S01008451,271
S01008452,237
S01008453,289
S01008454,382
S01008455,485
S01008456,462
S01008457,357
S01008458,418
S01008459,368
S01008460,365
S01008461,468
S01008462,315
S01008463,288
S01008464,400
S01008465,346
S01008466,300
S01008467,310
S01008468,441
S01008469,233
S01008470,370
S01008471,330
S01008472,266
S01008473,255
S01008474,436
S01008475,322
S01008476,398
S01008477,440
S01008478,638
S01008479,396
S01008480,274
S01008481,499
S01008482,283
S01008483,306
S01008484,303
S01008485,463
S01008486,460
S01008487,530
S01008488,443
S01008489,340
S01008490,486
S01008491,494
S01008492,693
S01008493,553
S01008494,625
S01008495,615
S01008496,618
S01008497,570
S01008498,523
S01008499,554
