Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01008056,120,12,18,123,24,9,5,1,4,26
S01008057,144,17,28,101,51,13,5,3,5,45
S01008058,135,9,32,65,73,7,1,4,9,34
S01008059,108,7,29,49,49,8,0,1,4,32
S01008060,107,18,28,76,38,8,5,3,6,35
S01008061,211,21,44,111,69,21,4,5,9,50
S01008062,157,14,42,56,45,11,4,3,3,48
S01008063,160,5,48,92,52,12,4,1,7,56
S01008064,76,21,31,67,28,12,4,1,12,52
S01008065,173,20,37,115,46,9,9,2,6,39
S01008066,166,8,24,118,26,7,8,3,7,40
S01008067,133,11,27,81,17,3,6,1,4,34
S01008068,170,11,52,108,29,7,8,7,3,69
S01008069,160,9,60,92,32,6,7,1,5,53
S01008070,122,14,61,96,19,4,1,2,3,65
S01008071,133,16,42,76,30,8,1,5,4,32
S01008072,124,15,26,84,26,7,2,5,8,40
S01008073,74,6,19,46,9,5,3,0,4,18
S01008074,184,16,47,110,36,7,5,6,6,49
S01008075,106,10,32,66,20,10,3,2,1,21
S01008076,74,4,16,43,9,7,3,3,3,25
S01008077,127,5,20,80,34,8,4,2,6,39
S01008078,146,16,35,104,31,18,4,9,6,42
S01008079,119,11,29,87,13,10,2,2,5,30
S01008080,129,3,33,81,21,10,4,2,4,46
S01008081,85,15,19,64,21,8,4,4,1,41
S01008082,131,8,40,81,22,8,4,0,1,40
S01008083,134,4,31,101,21,13,2,0,5,34
S01008084,145,7,34,77,62,13,5,3,0,56
S01008085,140,3,26,88,49,7,6,4,4,63
S01008086,189,11,52,100,65,16,6,0,4,66
S01008087,111,23,26,96,32,11,4,1,2,34
S01008088,132,18,23,100,37,11,4,5,2,46
S01008089,131,9,26,91,37,9,9,2,7,46
S01008090,112,11,27,83,27,5,4,7,7,60
S01008091,62,3,16,50,12,3,5,3,0,14
S01008092,149,15,28,113,31,3,4,3,8,43
S01008093,139,16,25,79,27,5,0,2,3,40
S01008094,193,17,26,94,43,7,4,6,3,56
S01008095,107,8,22,86,30,1,6,6,1,56
S01008096,119,22,19,83,35,7,4,0,6,34
S01008097,79,9,15,69,18,1,3,2,2,26
S01008098,115,19,23,101,36,3,5,1,1,40
S01008099,60,15,33,65,19,5,3,1,2,41
S01008100,137,24,48,78,22,6,4,10,6,30
S01008101,136,16,63,62,28,5,5,4,9,44
S01008102,107,19,43,76,20,4,1,4,0,37
S01008103,132,25,44,91,29,6,4,2,3,38
S01008104,119,36,45,83,32,4,2,0,4,79
S01008105,153,36,63,92,29,3,8,2,0,60
S01008106,82,21,78,81,36,3,6,1,4,73
S01008107,254,22,73,176,91,16,19,3,17,104
S01008108,121,12,43,94,33,4,7,7,5,62
S01008109,145,19,37,80,35,2,3,1,5,51
S01008110,132,9,56,106,34,6,4,5,3,58
S01008111,124,20,15,87,31,11,0,5,3,32
S01008112,131,14,30,91,29,1,9,0,1,45
S01008113,123,16,29,91,51,8,7,4,2,54
S01008114,112,10,29,63,31,8,6,3,2,39
S01008115,153,18,56,111,53,8,5,4,5,56
S01008116,133,17,46,64,54,8,3,2,5,45
S01008117,111,10,34,57,44,11,5,4,3,31
S01008118,147,29,37,83,87,4,1,5,11,46
S01008119,73,40,24,31,36,11,3,0,4,32
S01008120,96,17,10,37,58,12,7,2,5,31
S01008121,116,12,15,25,70,11,2,3,4,27
S01008122,136,10,15,58,55,8,1,1,5,37
S01008123,170,10,24,90,61,12,7,11,8,46
S01008124,144,5,45,66,64,17,5,5,5,42
S01008125,127,11,19,58,86,15,4,4,4,37
S01008126,111,8,29,38,85,17,2,8,4,40
S01008127,166,11,16,46,103,9,3,5,4,40
S01008128,118,27,17,34,95,21,5,9,7,55
S01008129,122,38,18,47,85,15,2,4,3,65
S01008130,137,56,19,49,90,10,0,7,1,59
S01008131,120,42,24,37,55,11,4,2,1,52
S01008132,174,47,32,53,100,11,5,9,6,41
S01008133,64,19,21,21,57,10,0,2,5,23
S01008134,67,28,21,25,62,13,5,2,4,46
S01008135,241,61,31,56,161,37,7,7,8,99
S01008136,132,49,22,35,76,9,2,2,2,45
S01008137,89,68,28,33,45,13,2,3,0,68
S01008138,88,49,17,43,67,9,2,3,3,64
S01008139,116,61,26,71,101,10,2,1,3,92
S01008140,44,31,11,18,24,1,4,2,0,48
S01008141,85,9,26,28,67,11,2,10,2,55
S01008142,101,9,47,30,94,14,3,7,8,40
S01008143,126,7,47,46,105,21,0,2,8,65
S01008144,704,20,133,160,458,92,18,38,16,200
S01008145,140,15,47,52,107,31,1,7,0,86
S01008146,83,7,32,22,76,8,1,5,1,33
S01008147,82,9,41,30,64,15,3,1,0,50
S01008148,83,5,47,33,66,13,2,0,5,40
S01008149,88,17,44,35,69,11,5,4,1,59
S01008150,100,21,62,46,71,10,0,2,3,54
S01008151,99,15,32,28,59,12,1,1,1,56
S01008152,115,40,32,35,64,16,2,4,3,69
S01008153,94,9,36,18,92,17,4,2,7,37
S01008154,130,9,43,26,78,19,3,3,0,44
S01008155,90,4,27,12,59,17,2,6,1,39
S01008156,106,11,35,19,65,14,2,4,4,56
S01008157,122,11,61,33,108,14,3,2,7,60
S01008158,114,9,20,32,73,7,1,0,4,56
S01008159,100,17,24,41,63,9,2,0,0,66
S01008160,107,23,20,60,100,21,5,3,7,70
S01008161,160,14,17,74,144,26,5,4,10,87
S01008162,172,21,9,65,112,23,5,3,6,81
S01008163,110,8,42,68,72,7,14,0,0,87
S01008164,146,14,75,108,60,7,9,3,5,59
S01008165,570,27,80,183,302,23,20,7,21,181
S01008166,82,9,32,45,41,7,5,3,1,46
S01008167,100,17,42,40,70,4,8,3,0,55
S01008168,122,15,50,59,79,6,7,1,4,64
S01008169,144,8,54,63,103,9,5,2,2,64
S01008170,141,20,21,61,24,5,2,0,2,34
S01008171,132,44,32,96,43,3,4,5,4,55
S01008172,74,19,24,61,31,5,6,2,4,26
S01008173,132,21,31,65,27,6,4,2,2,37
S01008174,88,23,16,55,15,0,3,0,3,30
S01008175,99,41,19,113,38,11,1,4,3,58
S01008176,131,26,18,75,50,5,1,3,6,33
S01008177,114,32,29,85,38,5,3,0,3,50
S01008178,75,24,19,59,23,6,2,1,2,37
S01008179,114,15,26,33,18,6,2,0,3,36
S01008180,87,12,19,59,17,5,2,0,1,22
S01008181,113,19,24,56,24,3,0,1,2,32
S01008182,163,43,35,122,59,4,4,2,5,72
S01008183,113,30,18,78,41,10,2,4,1,48
S01008184,138,37,25,102,45,3,3,1,7,47
S01008185,154,46,32,142,51,11,4,1,8,75
S01008186,114,38,18,106,32,11,2,0,1,31
S01008187,79,26,20,59,41,4,2,4,1,51
S01008188,142,45,24,89,44,9,3,0,6,55
S01008189,56,10,9,41,37,0,2,0,5,29
S01008190,106,32,34,67,74,10,6,1,3,61
S01008191,145,20,42,74,98,9,3,0,2,57
S01008192,116,40,35,91,61,8,3,2,5,66
S01008193,146,20,23,61,86,3,8,2,6,59
S01008194,109,9,30,46,67,7,4,3,1,43
S01008195,108,13,46,43,81,4,5,2,2,67
S01008196,129,16,45,69,87,7,5,1,1,100
S01008197,305,27,61,68,215,23,20,6,12,111
S01008198,98,23,29,54,67,10,4,1,6,74
S01008199,73,19,48,52,87,10,5,0,2,74
S01008200,60,12,32,31,62,6,3,5,2,38
S01008201,85,24,39,34,91,14,5,0,1,48
S01008202,76,21,7,39,55,7,4,1,0,39
S01008203,87,17,17,41,49,16,3,0,2,53
S01008204,105,30,23,40,82,13,6,3,2,71
S01008205,104,31,8,42,95,11,1,0,12,54
S01008206,66,22,19,41,84,5,4,0,1,62
S01008207,95,24,11,41,74,6,2,3,1,75
S01008208,155,18,21,45,155,17,6,2,1,68
S01008209,67,6,10,28,74,12,6,2,5,47
S01008210,131,17,26,34,129,11,4,4,2,73
S01008211,145,19,25,31,113,8,9,2,4,72
S01008212,117,7,24,23,83,11,4,0,2,28
S01008213,187,19,25,36,127,15,4,0,7,66
S01008214,81,18,26,40,98,9,3,0,5,53
S01008215,99,16,26,42,103,20,4,3,4,46
S01008216,84,9,21,21,64,10,8,0,2,26
S01008217,111,14,14,21,50,22,3,0,5,30
S01008218,500,37,97,127,381,47,21,4,10,235
S01008219,139,17,22,39,129,12,4,4,3,59
S01008220,64,27,24,23,75,3,4,0,0,56
S01008221,100,27,33,50,98,7,4,2,6,86
S01008222,61,26,26,28,69,7,0,4,4,57
S01008223,69,19,22,17,60,9,0,0,1,37
S01008224,108,28,20,25,101,20,8,1,1,75
S01008225,74,33,16,30,94,16,5,4,0,52
S01008226,89,34,29,40,76,16,4,2,1,65
S01008227,127,32,35,36,90,10,5,0,6,82
S01008228,103,14,12,30,77,10,8,1,3,42
S01008229,65,39,17,25,78,11,6,3,3,50
S01008230,146,23,28,52,127,22,2,4,1,66
S01008231,175,22,22,37,116,10,4,2,4,76
S01008232,146,25,23,20,151,18,9,2,4,89
S01008233,146,23,25,27,132,11,11,3,4,55
S01008234,45,9,17,20,54,3,5,0,1,42
S01008235,133,5,33,68,115,25,4,5,0,88
S01008236,107,11,17,44,104,15,7,2,2,67
S01008237,206,12,31,63,148,27,6,2,7,101
S01008238,108,23,27,55,86,15,9,0,2,66
S01008239,167,20,47,62,141,27,6,5,0,110
S01008240,103,3,8,31,82,27,2,7,7,29
S01008241,104,6,12,18,57,14,3,0,0,26
S01008242,200,7,23,52,95,45,5,5,9,49
S01008243,261,9,25,53,74,91,7,5,6,60
S01008244,104,11,20,36,29,38,5,4,5,31
S01008245,192,13,19,56,91,57,11,5,6,67
S01008246,253,6,15,57,106,59,15,5,6,68
S01008247,179,7,7,38,49,63,4,3,5,53
S01008248,173,14,7,27,40,49,22,2,10,52
S01008249,205,12,17,37,36,57,29,9,11,65
S01008250,636,82,47,70,183,315,48,13,14,193
S01008251,232,33,30,31,75,111,10,7,8,81
S01008252,107,50,7,18,43,65,6,3,4,23
S01008253,100,84,4,23,37,59,5,4,3,44
S01008254,120,94,8,33,44,66,10,6,3,80
S01008255,98,53,9,17,30,54,4,3,2,32
S01008256,116,70,12,29,60,48,5,5,3,71
S01008257,72,51,1,13,17,38,5,3,2,43
S01008258,83,73,6,28,47,55,7,3,2,45
S01008259,147,45,5,27,29,59,8,1,1,44
S01008260,84,50,28,16,48,52,10,3,3,64
S01008261,92,74,36,19,44,49,10,7,4,64
S01008262,121,3,18,40,22,33,15,7,9,49
S01008263,112,23,6,21,20,58,4,2,7,30
S01008264,144,25,17,45,30,44,8,2,3,39
S01008265,151,25,11,27,17,71,9,7,12,41
S01008266,131,16,8,18,14,32,3,1,6,19
S01008267,160,23,45,19,30,62,21,1,13,51
S01008268,138,18,17,8,11,9,46,4,5,21
S01008269,117,34,5,6,11,18,37,2,4,18
S01008270,104,24,1,12,10,7,48,5,10,25
S01008271,111,32,5,18,16,11,29,2,6,49
S01008272,526,103,94,56,92,89,170,16,23,168
S01008273,141,56,3,8,24,16,33,8,10,42
S01008274,114,64,13,28,20,6,28,3,1,55
S01008275,85,32,8,12,13,3,21,1,10,28
S01008276,90,10,13,11,20,9,24,0,5,26
S01008277,175,11,13,26,21,8,45,11,6,32
S01008278,193,13,12,55,33,18,64,11,6,45
S01008279,92,17,9,66,28,18,35,1,6,46
S01008280,186,24,5,73,38,26,64,15,12,53
S01008281,179,11,23,20,31,15,24,18,7,41
S01008282,136,9,9,30,22,32,13,42,3,45
S01008283,243,31,27,30,45,28,19,98,12,64
S01008284,469,143,87,92,127,60,112,147,21,196
S01008285,83,65,9,16,30,9,15,25,4,45
S01008286,106,53,27,16,43,15,25,22,2,45
S01008287,116,52,30,16,35,14,16,25,1,41
S01008288,140,56,13,19,41,14,18,41,2,45
S01008289,96,39,18,12,20,12,11,26,10,39
S01008290,139,75,13,9,25,9,11,69,14,51
S01008291,93,48,17,15,22,13,17,36,4,26
S01008292,94,72,12,13,34,13,13,40,2,35
S01008293,108,30,6,9,26,5,13,41,9,14
S01008294,148,60,14,26,33,19,27,60,6,38
S01008295,132,8,19,57,105,14,7,1,3,63
S01008296,78,6,23,47,64,13,1,0,2,59
S01008297,152,16,35,68,98,23,5,0,3,57
S01008298,205,16,19,101,128,16,4,1,6,78
S01008299,72,13,34,33,47,12,9,0,3,64
S01008300,111,8,21,50,62,13,2,0,2,47
S01008301,119,10,17,49,72,6,6,2,3,63
S01008302,160,7,4,28,129,23,7,0,6,55
S01008303,97,19,20,40,46,10,2,1,2,36
S01008304,59,7,12,37,29,9,2,0,4,31
S01008305,101,9,37,33,39,11,2,3,1,39
S01008306,76,12,18,47,53,10,0,2,3,33
S01008307,140,22,51,76,61,16,3,2,12,75
S01008308,64,9,27,38,33,10,0,2,6,28
S01008309,69,21,13,43,29,19,0,4,1,38
S01008310,127,29,28,80,52,9,0,5,2,61
S01008311,64,17,18,47,22,11,1,0,0,35
S01008312,72,11,15,24,32,4,3,3,1,24
S01008313,93,30,28,60,42,13,4,4,0,54
S01008314,62,23,17,50,29,4,0,1,2,40
S01008315,76,23,15,56,52,11,3,0,0,40
S01008316,64,32,17,62,39,7,0,0,3,36
S01008317,149,23,43,98,45,13,5,4,0,85
S01008318,284,40,23,181,135,26,8,13,9,120
S01008319,98,32,11,84,56,10,0,2,3,59
S01008320,72,12,12,45,48,14,1,0,5,44
S01008321,75,15,14,47,47,9,3,3,0,32
S01008322,131,25,23,112,84,20,2,3,4,73
S01008323,83,32,24,50,31,7,6,1,1,54
S01008324,129,25,34,68,44,15,3,1,6,63
S01008325,110,36,21,77,58,12,0,1,0,43
S01008326,128,29,38,87,51,7,1,3,5,88
S01008327,126,42,24,61,52,13,4,1,3,62
S01008328,614,31,103,275,281,70,20,33,24,191
S01008329,132,17,21,48,74,15,7,9,6,49
S01008330,124,25,29,51,72,14,2,3,8,44
S01008331,93,19,21,36,39,12,0,0,2,28
S01008332,126,17,37,60,71,14,2,8,9,45
S01008333,134,7,19,45,66,16,4,7,1,46
S01008334,119,15,41,54,48,9,1,5,1,41
S01008335,97,15,15,37,60,10,3,3,1,33
S01008336,122,7,16,33,59,8,0,1,4,39
S01008337,139,17,33,54,78,27,10,0,7,51
S01008338,141,12,17,50,77,15,3,8,7,47
S01008339,96,3,17,44,49,17,2,4,5,29
S01008340,144,20,25,49,74,11,6,5,4,42
S01008341,105,11,12,41,63,16,4,6,1,33
S01008342,138,13,19,33,71,9,3,3,3,50
S01008343,148,9,16,46,77,15,3,6,11,37
S01008344,153,4,19,100,37,8,4,5,10,45
S01008345,161,6,15,65,79,19,3,7,8,52
S01008346,168,18,16,56,94,9,4,5,5,58
S01008347,158,17,30,45,92,18,4,4,5,56
S01008348,101,10,11,27,68,10,5,4,6,37
S01008349,132,6,11,38,103,23,4,5,7,48
S01008350,92,5,10,17,60,11,2,0,4,19
S01008351,151,9,31,43,93,18,4,3,11,34
S01008352,116,6,10,31,72,17,3,1,5,29
S01008353,79,10,18,16,69,8,5,2,6,23
S01008354,535,12,41,145,365,66,21,13,18,164
S01008355,84,8,10,37,92,10,4,9,3,45
S01008356,112,6,10,36,80,11,0,5,4,43
S01008357,107,14,12,36,54,9,1,1,4,41
S01008358,91,8,13,39,61,12,2,3,3,54
S01008359,129,8,20,30,85,11,4,8,5,43
S01008360,146,4,25,56,83,5,4,2,2,46
S01008361,157,6,32,54,98,16,4,6,6,67
S01008362,209,11,51,75,155,22,5,14,13,84
S01008363,122,14,24,48,81,9,4,2,4,37
S01008364,108,10,15,43,61,6,2,3,1,42
S01008365,103,6,19,40,55,9,2,2,5,39
S01008366,117,19,30,71,69,8,4,5,4,42
S01008367,107,18,25,74,36,7,1,1,3,55
S01008368,111,12,29,63,45,7,5,4,1,33
S01008369,108,9,35,63,30,3,2,4,7,35
S01008370,111,9,22,66,54,3,0,4,4,37
S01008371,161,8,28,80,31,13,5,4,7,28
S01008372,115,11,17,70,40,4,1,5,3,36
S01008373,122,13,39,105,32,4,3,2,8,28
S01008374,122,15,31,76,51,7,4,3,1,29
S01008375,142,11,21,69,50,14,10,4,4,41
S01008376,101,11,24,55,35,1,0,2,5,26
S01008377,132,19,24,89,31,6,6,5,9,45
S01008378,164,8,32,91,40,10,4,5,5,37
S01008379,77,7,23,65,25,8,5,2,7,19
S01008380,136,12,18,86,34,8,0,2,5,34
S01008381,118,12,24,81,37,10,2,3,4,40
S01008382,144,15,43,101,29,15,5,1,6,41
S01008383,84,8,13,64,14,5,6,2,1,33
S01008384,146,14,37,109,41,12,0,0,3,66
S01008385,112,12,20,69,29,3,3,3,3,27
S01008386,126,13,38,95,33,4,2,0,8,40
S01008387,111,7,24,81,27,4,1,3,2,41
S01008388,114,15,27,81,32,3,5,2,2,38
S01008389,79,5,20,44,14,2,2,4,4,24
S01008390,100,7,27,68,21,6,1,5,1,30
S01008391,127,0,32,96,28,5,0,2,4,23
S01008392,181,4,28,124,33,6,2,7,8,38
S01008393,112,8,22,95,18,5,0,8,10,26
S01008394,159,9,22,114,34,7,1,5,9,34
S01008395,102,18,21,51,17,7,4,1,1,26
S01008396,95,9,33,69,11,2,3,0,1,21
S01008397,142,13,30,87,27,13,5,5,6,41
S01008398,112,10,24,76,22,7,3,3,4,32
S01008399,72,5,14,50,20,4,1,2,5,32
S01008400,112,8,42,77,25,6,3,0,5,37
S01008401,150,14,42,108,14,11,3,1,5,43
S01008402,156,6,29,116,40,13,9,4,8,50
S01008403,110,4,26,68,15,1,3,2,4,33
S01008404,176,14,25,79,32,16,1,3,7,23
S01008405,128,10,18,102,27,5,1,7,8,34
S01008406,132,5,29,80,22,4,9,6,6,34
S01008407,75,9,19,41,14,0,2,0,2,23
S01008408,103,18,21,67,24,6,2,7,0,33
S01008409,138,26,42,93,24,7,0,2,5,48
S01008410,79,8,31,67,4,8,2,3,8,32
S01008411,106,15,30,66,17,11,4,1,4,35
S01008412,124,12,32,91,19,18,3,1,6,47
S01008413,65,16,25,42,16,4,6,1,1,28
S01008414,92,4,23,58,13,7,1,7,3,25
S01008415,116,23,24,94,25,13,6,3,3,68
S01008416,158,17,41,98,23,5,3,2,3,50
S01008417,122,17,13,37,78,2,2,5,6,32
S01008418,111,12,9,31,67,0,2,4,3,30
S01008419,88,8,6,25,57,3,2,3,4,24
S01008420,86,2,5,27,52,5,0,2,0,24
S01008421,141,25,20,60,99,2,3,2,3,52
S01008422,126,4,4,13,50,9,1,2,0,15
S01008423,338,16,36,81,170,8,6,5,5,69
S01008424,128,9,22,48,68,0,2,4,7,25
S01008425,431,37,71,156,148,9,7,10,12,109
S01008426,99,14,28,59,35,3,1,3,3,54
S01008427,199,26,36,69,75,6,2,8,4,58
S01008428,131,11,41,57,65,4,6,7,2,47
S01008429,195,18,35,90,45,7,3,0,6,52
S01008430,199,18,35,92,51,3,9,9,4,36
S01008431,156,15,42,68,33,12,1,1,1,36
S01008432,122,19,24,71,24,3,2,2,5,33
S01008433,115,11,44,80,24,3,4,2,4,40
S01008434,183,15,59,92,32,6,3,5,5,58
S01008435,135,10,27,71,20,3,5,2,4,28
S01008436,159,11,42,98,26,1,4,4,5,32
S01008437,124,5,37,81,39,9,0,2,3,41
S01008438,140,6,25,69,13,3,2,1,4,28
S01008439,235,10,32,150,28,7,5,1,3,38
S01008440,183,15,33,132,16,5,7,5,5,35
S01008441,93,3,22,69,9,0,3,5,3,19
S01008442,152,9,33,96,7,3,4,6,7,27
S01008443,128,8,26,62,12,4,2,5,5,30
S01008444,446,40,22,72,11,10,0,1,10,26
S01008445,144,63,21,69,19,1,1,1,11,28
S01008446,174,13,45,104,15,5,2,4,9,30
S01008447,127,7,31,64,9,6,0,2,9,25
S01008448,136,14,46,81,10,2,1,1,1,26
S01008449,104,19,62,74,17,4,2,3,1,74
S01008450,77,9,40,79,6,2,0,2,4,50
S01008451,77,14,47,52,18,0,4,0,2,57
S01008452,70,13,45,59,9,2,4,0,0,40
S01008453,121,25,66,101,20,5,1,0,1,57
S01008454,112,40,50,70,28,3,2,1,4,65
S01008455,123,45,31,62,32,4,0,0,2,82
S01008456,122,33,42,72,13,3,1,0,1,70
S01008457,87,28,23,53,16,2,1,0,2,39
S01008458,146,53,51,106,25,3,4,0,2,77
S01008459,81,25,42,79,18,5,0,1,2,58
S01008460,87,29,59,64,11,0,0,2,2,58
S01008461,132,41,68,90,19,4,0,0,3,77
S01008462,62,15,20,45,9,1,0,0,1,27
S01008463,55,9,39,33,9,1,2,1,3,53
S01008464,143,28,94,102,10,2,1,1,4,59
S01008465,128,41,64,75,12,4,0,3,3,70
S01008466,97,40,49,74,21,3,6,0,0,62
S01008467,109,43,38,68,13,4,1,0,2,52
S01008468,196,49,57,139,20,4,6,2,4,71
S01008469,126,20,54,57,10,7,2,0,0,30
S01008470,128,35,57,72,20,7,1,1,4,71
S01008471,106,30,61,68,14,2,0,1,3,78
S01008472,97,17,58,59,12,3,0,3,4,46
S01008473,72,16,66,47,11,4,2,2,3,39
S01008474,114,26,87,71,6,2,2,0,2,48
S01008475,82,25,78,44,8,8,2,2,4,34
S01008476,110,30,86,65,15,2,0,0,3,47
S01008477,153,8,98,61,7,0,2,1,3,69
S01008478,208,20,163,83,21,4,2,2,6,73
S01008479,125,18,98,33,15,8,0,2,0,57
S01008480,109,11,74,44,9,4,2,1,2,38
S01008481,225,36,125,121,13,8,2,0,4,114
S01008482,85,18,55,35,13,1,0,0,1,40
S01008483,93,18,57,52,16,5,1,2,1,43
S01008484,103,33,66,63,15,6,2,2,3,57
S01008485,211,38,121,80,23,5,2,5,6,64
S01008486,145,19,79,67,14,4,2,2,5,37
S01008487,249,16,169,77,13,10,0,2,4,61
S01008488,179,26,125,68,8,7,1,1,4,39
S01008489,129,17,100,39,5,3,3,2,4,48
S01008490,171,17,153,56,7,15,1,0,4,48
S01008491,181,12,144,56,14,4,0,2,1,51
S01008492,287,39,225,91,24,10,3,5,11,77
S01008493,197,36,140,46,7,4,1,3,4,67
S01008494,198,28,154,62,15,6,4,3,0,77
S01008495,211,43,191,75,11,10,1,0,6,60
S01008496,244,37,173,73,15,5,5,4,8,57
S01008497,224,32,157,48,14,6,0,4,5,41
S01008498,213,42,143,56,16,5,2,2,5,45
S01008499,211,54,140,44,16,10,2,2,9,39
S01008500,67,23,38,13,2,3,1,4,1,21
S01008501,140,38,85,36,10,11,4,3,2,28
S01008502,180,25,130,47,8,3,5,4,11,41
S01008503,204,33,159,48,11,9,3,3,11,32
S01008504,258,32,191,57,17,12,2,5,10,46
S01008505,157,25,95,55,10,4,3,4,12,24
S01008506,199,29,131,34,9,9,3,6,10,33
S01008507,204,34,130,75,12,7,3,3,10,55
S01008508,142,25,82,34,11,4,1,1,5,27
S01008509,197,15,132,74,16,5,1,4,5,34
S01008510,148,11,85,52,12,5,4,2,4,38
S01008511,184,10,66,62,9,4,1,5,4,33
S01008512,108,5,49,41,9,4,2,0,2,12
S01008513,125,2,34,60,10,1,0,2,12,33
S01008514,159,20,94,44,17,7,0,2,8,30
S01008515,193,22,88,48,8,7,4,2,8,28
S01008516,195,32,156,69,25,6,4,10,10,54
S01008517,145,21,119,48,10,7,0,5,4,33
S01008518,183,11,114,49,5,6,2,1,8,37
S01008519,137,13,89,56,10,5,2,1,5,28
S01008520,212,13,95,74,9,9,1,2,8,37
S01008521,188,15,86,62,11,4,3,4,3,21
S01008522,153,5,42,32,6,3,1,4,2,15
S01008523,189,8,84,81,8,4,6,4,12,22
S01008524,136,29,75,118,18,3,0,3,3,83
S01008525,107,16,61,69,11,3,1,0,4,55
S01008526,134,36,70,104,17,5,0,4,1,50
S01008527,130,11,62,87,9,4,0,5,2,52
S01008528,106,21,49,102,20,5,0,0,6,60
S01008529,121,27,53,130,15,2,3,0,4,64
S01008530,99,18,57,79,5,4,1,2,3,72
S01008531,100,26,64,93,8,4,0,3,2,62
S01008532,59,21,33,57,6,3,0,0,0,29
S01008533,63,41,28,63,6,2,1,1,3,23
S01008534,102,26,38,79,9,3,5,0,4,38
S01008535,97,11,35,80,12,4,2,3,0,22
S01008536,108,11,33,78,6,1,1,2,2,41
S01008537,117,1,24,75,12,1,0,3,5,23
S01008538,93,4,24,55,5,6,4,1,3,12
S01008539,148,7,53,81,12,11,2,0,2,28
S01008540,162,9,59,82,12,5,1,1,4,38
S01008541,167,11,73,62,12,6,3,2,0,26
S01008542,332,10,115,205,24,13,2,8,18,69
S01008543,140,8,58,81,12,1,0,1,3,35
S01008544,118,3,41,74,5,10,2,0,5,23
S01008545,165,9,34,86,5,5,0,2,4,25
S01008546,128,5,36,84,13,3,3,2,7,26
S01008547,226,14,59,163,33,7,3,4,7,84
S01008548,299,13,84,195,36,15,6,6,10,107
S01008549,1064,53,271,693,168,39,11,29,39,324
S01008550,119,14,47,79,8,8,1,2,2,36
S01008551,153,9,64,125,10,10,2,2,2,40
S01008552,131,5,42,103,6,7,5,0,3,35
S01008553,101,10,47,90,4,13,1,0,6,41
S01008554,134,24,63,94,12,4,1,3,2,87
S01008555,126,19,44,111,15,6,2,4,3,84
S01008556,109,28,58,112,12,1,1,4,0,81
S01008557,237,21,115,159,29,8,0,0,6,100
S01008558,102,28,56,108,2,5,1,2,1,66
S01008559,97,19,47,72,8,1,0,1,3,66
S01008560,104,25,52,85,23,4,1,2,5,63
S01008561,102,24,45,73,15,6,2,1,1,51
S01008562,123,17,51,100,26,3,4,3,3,55
S01008563,147,15,47,100,19,6,0,0,1,47
S01008564,88,13,29,67,21,0,0,0,0,56
S01008565,128,40,53,103,19,3,4,1,4,55
S01008566,153,53,55,107,19,6,2,6,0,90
S01008567,104,34,35,78,18,3,6,0,4,52
S01008568,161,38,70,88,20,8,2,1,4,57
S01008569,62,23,30,46,14,5,3,0,5,55
S01008570,98,48,42,89,18,4,4,0,3,65
S01008571,87,36,35,77,13,5,0,5,3,58
S01008572,121,35,40,70,12,4,2,0,4,50
S01008573,144,18,30,92,22,7,4,2,9,36
S01008574,124,10,46,102,13,4,0,0,3,35
S01008575,137,11,55,92,9,3,2,4,7,42
S01008576,123,37,41,69,8,3,0,4,6,37
S01008577,162,13,67,76,8,4,1,8,7,39
S01008578,136,10,57,65,6,9,4,4,7,23
S01008579,245,21,104,146,19,10,3,7,6,75
S01008580,92,18,57,44,7,8,1,0,1,24
S01008581,132,40,93,72,10,2,1,0,1,68
S01008582,128,46,96,96,19,3,1,0,2,79
S01008583,112,34,74,57,7,1,3,2,3,49
S01008584,137,30,60,65,16,6,1,5,1,58
S01008585,106,36,45,39,3,1,1,1,0,35
S01008586,150,45,92,48,13,5,3,2,5,57
S01008587,150,19,99,34,8,4,3,2,2,22
S01008588,150,17,96,39,6,5,1,0,5,26
S01008589,90,20,40,21,1,2,2,2,2,10
S01008590,131,29,117,28,3,6,3,3,3,32
S01008591,149,26,83,34,4,3,0,3,4,28
S01008592,138,34,106,40,8,2,1,4,8,47
S01008593,168,18,111,36,5,10,2,3,4,29
S01008594,212,31,138,44,11,2,1,2,12,42
S01008595,127,22,110,41,9,1,1,0,5,51
S01008596,155,28,130,32,4,6,5,0,6,47
S01008597,192,13,112,30,8,4,6,6,2,51
S01008598,134,17,99,27,5,12,0,2,2,38
S01008599,188,22,101,28,7,6,2,0,12,23
S01008600,175,21,101,25,3,6,1,3,11,41
S01008601,115,43,88,25,5,0,2,1,3,32
S01008602,100,36,60,23,4,5,0,0,4,15
S01008603,183,65,115,16,9,2,2,5,7,50
S01008604,139,56,129,29,8,5,0,5,7,37
S01008605,144,43,66,24,5,8,1,3,4,18
S01008606,144,24,101,21,5,10,1,4,8,25
S01008607,107,8,63,14,4,2,0,6,4,19
S01008608,120,30,70,16,6,11,0,0,6,31
S01008609,166,24,119,27,7,4,0,1,9,34
S01008610,124,25,64,20,1,5,0,1,7,20
