Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01010132,94,29,60,66,25,1,0,3,3,63
S01010133,64,15,47,34,22,1,2,2,3,56
S01010134,99,34,76,75,51,7,4,8,1,51
S01010135,80,20,56,43,18,0,3,0,2,51
S01010136,99,31,46,67,38,0,4,7,3,61
S01010137,129,19,51,102,45,4,1,1,1,51
S01010138,71,10,22,50,13,2,0,0,3,38
S01010139,95,20,53,84,43,4,4,2,1,66
S01010140,148,24,54,85,44,4,4,6,1,65
S01010141,78,30,64,63,31,0,0,0,1,76
S01010142,68,29,39,69,32,4,4,0,2,56
S01010143,91,21,55,58,32,2,2,1,1,67
S01010144,83,16,43,68,24,5,2,1,6,52
S01010145,109,23,44,51,29,1,2,0,5,47
S01010146,95,14,45,41,27,0,2,0,3,56
S01010147,75,30,65,70,17,2,1,1,2,76
S01010148,201,25,119,84,47,2,4,0,2,106
S01010149,174,27,109,79,53,0,12,3,6,103
S01010150,74,15,54,25,20,0,3,1,8,65
S01010151,79,9,54,35,22,2,2,1,5,46
S01010152,87,16,88,31,27,2,5,7,2,62
S01010153,105,19,101,68,34,1,2,3,5,68
S01010154,108,19,75,28,22,8,5,3,2,46
S01010155,81,14,73,33,28,1,1,2,0,45
S01010156,46,8,42,25,19,0,0,0,1,31
S01010157,54,11,54,37,13,2,0,2,1,35
S01010158,95,13,77,53,23,2,4,4,1,48
S01010159,66,18,38,47,28,0,1,2,0,36
S01010160,43,41,19,34,7,1,2,3,2,43
S01010161,92,19,62,56,26,1,3,1,2,59
S01010162,74,32,31,45,20,0,2,3,1,55
S01010163,71,25,66,44,28,3,3,1,0,53
S01010164,95,28,58,67,29,2,3,0,7,64
S01010165,83,24,30,41,21,0,6,0,0,34
S01010166,146,45,61,110,58,10,6,2,1,76
S01010167,69,19,36,52,17,4,0,0,5,57
S01010168,61,9,23,46,21,3,1,2,1,42
S01010169,66,15,44,60,37,2,1,1,0,60
S01010170,51,22,26,31,15,0,0,0,0,38
S01010171,103,27,39,88,46,4,1,1,3,75
S01010172,105,9,79,48,24,0,0,4,5,46
S01010173,75,7,87,45,13,7,0,1,1,64
S01010174,102,21,44,28,24,0,4,0,1,57
S01010175,60,5,41,33,28,1,3,2,0,47
S01010176,89,9,83,44,20,0,2,0,4,68
S01010177,73,19,44,48,17,1,1,0,2,45
S01010178,100,14,79,63,21,2,3,0,5,55
S01010179,64,13,84,35,31,2,1,2,1,47
S01010180,109,9,71,59,35,5,6,0,4,66
S01010181,44,10,44,37,17,0,2,0,3,35
S01010182,91,7,49,52,26,0,1,0,4,52
S01010183,52,11,47,27,7,1,5,0,0,27
S01010184,49,15,58,41,13,0,0,1,3,49
S01010185,92,21,94,47,15,0,5,0,0,53
S01010186,113,4,40,62,28,3,7,2,0,37
S01010187,86,3,48,79,34,4,0,0,1,40
S01010188,375,6,107,240,129,15,16,11,15,172
S01010189,166,10,61,106,47,5,3,3,9,89
S01010190,168,7,46,108,60,4,6,7,2,82
S01010191,120,8,49,79,34,0,7,4,3,71
S01010192,165,8,57,91,45,10,12,0,4,62
S01010193,115,11,52,102,44,8,7,3,4,70
S01010194,74,18,69,46,24,1,1,0,0,31
S01010195,74,28,67,37,21,2,2,0,3,44
S01010196,58,7,55,42,15,1,0,0,1,26
S01010197,78,12,50,58,14,4,2,0,0,58
S01010198,103,27,73,73,25,1,1,3,2,73
S01010199,53,17,58,37,16,0,2,0,2,46
S01010200,87,21,52,56,13,2,2,2,0,36
S01010201,86,29,68,50,18,2,0,1,1,52
S01010202,79,10,71,30,11,0,0,1,5,39
S01010203,110,28,80,49,14,3,4,3,5,68
S01010204,85,18,45,29,18,0,0,0,2,33
S01010205,71,27,50,36,12,3,1,0,0,33
S01010206,0,0,0,0,0,0,0,0,0,0
S01010207,16,8,21,5,4,0,0,1,1,9
S01010208,129,35,123,37,36,8,7,3,2,72
S01010209,128,24,96,51,28,3,6,1,5,66
S01010210,129,18,84,61,25,1,4,8,6,63
S01010211,70,33,56,33,17,1,0,2,2,33
S01010212,134,49,108,52,14,0,6,2,4,72
S01010213,95,41,85,43,28,0,1,2,3,59
S01010214,145,23,110,66,23,2,5,2,2,80
S01010215,83,23,52,25,18,1,2,2,0,56
S01010216,62,16,54,17,8,1,0,0,1,32
S01010217,81,14,51,11,8,0,1,1,1,40
S01010218,127,34,92,67,18,5,2,2,4,50
S01010219,20,6,10,4,1,0,0,0,0,6
S01010220,104,29,52,18,20,9,10,2,8,50
S01010221,85,22,57,18,17,1,3,2,2,44
S01010222,116,31,73,31,12,1,1,4,5,46
