Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006554,119,103,2,1,89,58,8
S01006555,53,50,0,0,100,36,2
S01006556,96,87,0,2,166,33,5
S01006557,74,94,0,2,169,44,5
S01006558,129,92,2,0,1,117,7
S01006559,114,70,0,0,22,56,1
S01006560,189,151,1,1,35,71,8
S01006561,167,125,2,1,1,32,6
S01006562,160,129,0,1,56,71,10
S01006563,149,127,0,0,75,51,6
S01006564,112,77,0,2,141,189,6
S01006565,64,77,3,4,105,194,3
S01006566,112,117,3,3,11,209,6
S01006567,61,72,0,0,142,199,6
S01006568,98,110,3,0,12,372,5
S01006569,63,69,0,2,25,126,4
S01006570,140,118,0,4,7,85,6
S01006571,175,140,3,0,16,186,3
S01006572,206,119,0,0,3,45,4
S01006573,121,113,1,0,1,47,6
S01006574,196,125,2,0,1,98,9
S01006575,158,141,1,1,1,101,6
S01006576,107,125,0,1,4,82,3
S01006577,122,121,2,1,11,171,6
S01006578,122,150,0,1,40,314,9
S01006579,98,127,0,0,5,308,9
S01006580,97,117,0,2,10,178,2
S01006581,201,124,2,0,2,56,6
S01006582,64,86,2,0,53,307,6
S01006583,55,87,0,4,22,228,5
S01006584,79,83,0,0,16,212,5
S01006585,81,65,0,2,154,205,4
S01006586,85,93,0,0,172,477,17
S01006587,32,57,1,0,85,210,4
S01006588,22,72,2,5,65,237,4
S01006589,33,51,1,1,73,199,2
S01006590,53,78,0,4,38,221,4
S01006591,44,84,27,7,33,174,5
S01006592,61,111,0,0,3,176,3
S01006593,90,108,0,7,13,139,7
S01006594,71,59,4,0,67,145,7
S01006595,107,145,6,5,25,218,18
S01006596,104,117,1,0,11,161,6
S01006597,56,84,0,2,12,168,2
S01006598,162,148,0,1,0,70,1
S01006599,119,99,6,3,127,152,15
S01006600,167,145,3,1,114,129,2
S01006601,152,134,0,2,80,133,6
