Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01008269,246,89,4,1,58,26,2
S01008270,249,82,0,0,4,30,9
S01008271,157,53,7,4,82,68,10
S01008272,327,469,0,12,177,77,11
S01008273,189,105,1,2,36,18,2
S01008274,112,71,0,0,108,29,1
S01008275,118,48,0,3,41,28,3
S01008276,127,75,0,0,18,8,2
S01008277,144,91,0,0,8,52,4
S01008278,213,142,2,4,15,37,5
S01008279,134,84,1,1,72,17,7
S01008280,171,120,0,0,81,71,8
S01008281,132,60,1,0,37,81,15
S01008282,125,95,1,0,32,23,8
S01008283,173,181,0,0,44,38,5
S01008284,255,524,4,20,196,62,9
S01008285,119,68,1,3,119,20,8
S01008286,107,72,0,3,115,16,4
S01008287,118,82,0,2,103,15,9
S01008288,169,111,0,2,95,35,8
S01008289,80,73,1,4,69,60,4
S01008290,136,106,6,7,69,70,6
S01008291,259,78,0,0,18,28,12
S01008292,89,77,0,1,132,14,2
S01008293,103,90,0,0,3,4,2
S01008294,136,136,2,0,24,22,3
S01008295,188,146,0,1,16,11,3
S01008296,101,81,0,0,100,16,5
S01008297,115,162,0,0,39,18,0
S01008298,135,219,0,4,12,18,2
S01008299,103,58,1,1,158,30,5
S01008300,134,87,0,1,103,15,5
S01008301,204,116,0,0,3,8,2
S01008302,218,139,2,0,13,11,7
S01008303,83,102,2,2,71,34,0
S01008304,99,61,1,0,4,7,4
S01008305,182,107,0,0,7,6,0
S01008306,134,98,0,0,4,4,0
S01008307,130,168,0,2,10,12,1
S01008308,172,57,2,2,2,4,2
S01008309,86,56,0,1,147,48,3
S01008310,209,114,0,2,132,40,3
S01008311,62,51,0,0,80,12,1
S01008312,62,56,0,4,35,13,0
S01008313,126,84,0,0,148,35,3
S01008314,66,25,0,2,193,27,2
S01008315,100,55,0,0,250,38,7
S01008316,34,42,3,2,173,16,0
S01008317,100,149,0,2,124,36,5
S01008318,191,337,2,12,22,24,3
S01008319,127,125,1,2,98,32,7
S01008320,188,86,0,0,45,7,3
S01008321,96,57,0,0,4,5,0
S01008322,166,151,0,2,110,51,3
S01008323,73,76,0,1,107,19,4
S01008324,96,140,0,3,53,23,2
S01008325,54,104,1,8,92,20,6
S01008326,99,124,0,1,162,35,9
S01008327,152,127,0,4,88,14,2
S01008328,335,607,1,19,106,93,12
S01008329,152,127,1,1,3,10,4
S01008330,131,139,0,0,2,17,0
S01008331,103,102,1,0,2,21,4
S01008332,225,136,0,0,16,30,7
S01008333,245,131,1,1,51,72,3
S01008334,178,113,0,3,6,31,1
S01008335,99,97,0,0,74,15,5
S01008336,128,101,0,0,88,16,4
S01008337,91,153,0,1,71,47,5
S01008338,75,152,0,0,0,7,2
S01008339,98,96,0,0,2,22,1
S01008340,125,143,0,0,3,32,5
S01008341,90,107,0,0,1,0,0
S01008342,126,99,0,0,78,11,3
S01008343,206,124,0,0,0,5,2
S01008344,233,119,0,0,0,11,7
S01008345,238,142,0,4,0,14,0
S01008346,197,151,0,0,2,3,7
S01008347,271,167,0,0,3,43,4
S01008348,154,121,0,0,6,29,1
S01008349,167,133,0,0,3,2,3
S01008350,150,79,0,4,2,8,1
S01008351,190,150,0,1,2,15,3
S01008352,148,95,0,1,0,3,6
S01008353,113,73,0,0,0,7,3
S01008354,213,600,0,2,135,39,16
S01008355,123,106,0,1,65,23,5
S01008356,102,106,0,1,4,29,1
S01008357,157,93,0,1,13,20,4
S01008358,139,98,0,0,66,32,7
S01008359,136,120,1,2,4,18,5
S01008360,175,129,0,1,1,10,4
S01008361,139,167,1,2,8,18,5
S01008362,193,259,0,8,4,56,6
S01008363,124,126,0,7,2,43,4
S01008364,144,107,1,4,0,20,2
S01008365,160,104,0,1,1,10,1
S01008366,149,113,2,2,94,24,4
S01008367,95,114,0,1,114,27,5
S01008368,153,114,1,0,11,27,2
S01008369,114,104,1,4,16,17,1
S01008370,144,103,0,0,18,26,0
S01008371,149,130,0,0,3,9,2
S01008372,157,117,0,0,2,0,2
S01008373,138,119,1,1,0,4,0
S01008374,145,121,0,1,2,10,5
S01008375,133,132,0,1,1,5,0
S01008376,91,94,0,2,0,13,3
S01008377,131,142,0,0,3,15,5
S01008378,227,143,0,1,1,18,3
S01008379,104,92,1,0,0,2,0
S01008380,101,127,1,0,0,1,2
S01008381,89,139,0,0,1,1,0
S01008382,155,148,0,5,0,9,3
S01008383,81,91,0,0,1,6,0
S01008384,196,165,0,0,6,8,4
S01008385,131,109,0,1,1,3,0
S01008386,187,136,0,1,4,20,2
S01008387,111,109,0,1,1,8,3
S01008388,95,132,0,0,1,11,0
S01008389,209,62,0,0,21,10,3
S01008390,143,95,0,1,2,1,1
S01008391,187,105,0,0,40,11,2
S01008392,161,157,0,0,4,6,1
S01008393,233,89,0,0,0,24,4
S01008394,142,132,0,1,1,2,1
S01008395,93,77,1,2,2,10,1
S01008396,234,68,0,0,1,10,5
S01008397,174,130,0,0,0,7,2
S01008398,120,93,0,0,24,11,3
S01008399,161,67,0,0,3,10,1
S01008400,149,96,0,0,0,12,6
S01008401,217,137,0,0,1,21,3
S01008402,284,139,0,1,2,7,5
S01008403,105,103,0,0,0,1,0
S01008404,196,142,0,0,1,1,2
S01008405,156,104,0,0,1,5,1
S01008406,177,116,8,0,123,41,2
S01008407,178,52,0,0,24,37,4
S01008408,137,93,0,1,6,18,0
S01008409,156,128,1,1,63,55,0
S01008410,191,82,1,0,18,24,5
S01008411,110,98,0,0,5,23,1
S01008412,118,113,0,0,33,19,0
S01008413,80,64,1,0,36,17,2
S01008414,96,84,2,0,0,6,0
S01008415,130,147,0,0,37,27,0
S01008416,141,114,0,0,131,34,8
S01008417,171,104,0,1,1,32,5
S01008418,177,79,0,0,5,35,3
S01008419,68,73,0,0,31,19,0
S01008420,110,64,0,0,4,6,2
S01008421,134,142,7,15,62,44,9
S01008422,138,80,0,0,5,4,0
S01008423,221,230,0,0,18,54,8
S01008424,218,109,0,0,2,6,1
S01008425,286,340,2,6,42,44,11
S01008426,90,99,0,1,56,24,0
S01008427,191,184,0,1,3,13,2
S01008428,133,122,0,1,68,25,7
S01008429,194,157,1,1,24,19,4
S01008430,153,179,0,2,40,20,3
S01008431,197,105,0,0,34,11,3
S01008432,169,107,0,0,5,12,0
S01008433,198,121,0,3,1,16,2
S01008434,180,154,0,15,28,31,1
S01008435,186,103,0,0,3,7,1
S01008436,245,142,0,2,9,27,2
S01008437,146,124,0,0,56,39,5
S01008438,87,120,0,6,2,29,4
S01008439,231,163,0,4,3,22,3
S01008440,239,165,0,1,19,13,4
S01008441,86,93,0,0,1,6,1
S01008442,162,118,1,1,1,33,5
S01008443,147,93,0,0,13,10,0
S01008444,92,71,3,1,4,65,3
S01008445,72,43,1,0,155,137,6
S01008446,213,133,0,2,2,11,3
S01008447,163,101,0,1,3,17,4
S01008448,188,105,0,1,3,18,1
S01008449,27,43,0,4,217,43,5
S01008450,22,33,0,0,135,33,0
S01008451,14,13,1,2,212,14,10
S01008452,6,20,1,1,182,21,6
S01008453,14,50,7,20,133,63,0
S01008454,25,35,5,5,274,36,1
S01008455,67,43,1,2,260,108,4
S01008456,47,47,2,2,305,53,7
S01008457,54,49,1,10,170,61,15
S01008458,133,122,2,9,105,43,6
S01008459,52,35,1,2,236,43,2
S01008460,25,34,2,1,272,26,6
S01008461,52,40,2,2,323,49,3
S01008462,32,7,1,0,266,8,4
S01008463,37,34,0,2,183,23,13
S01008464,149,142,1,11,16,79,2
S01008465,118,121,0,12,12,83,0
S01008466,101,99,0,11,10,75,4
S01008467,126,92,0,8,12,71,4
S01008468,72,158,1,18,124,63,4
S01008469,62,94,0,3,36,36,4
S01008470,69,92,2,8,146,49,3
S01008471,30,32,0,2,221,38,7
S01008472,67,69,0,4,74,51,2
S01008473,56,48,8,1,103,38,3
S01008474,64,73,0,10,183,99,8
S01008475,74,74,0,7,79,92,2
S01008476,80,86,1,9,105,114,0
S01008477,89,106,0,8,120,108,5
S01008478,91,98,1,9,195,243,7
S01008479,106,98,0,14,66,106,6
S01008480,44,66,1,0,81,82,3
S01008481,154,149,1,23,122,46,5
S01008482,77,72,6,3,71,49,3
S01008483,85,76,0,3,98,41,3
S01008484,118,114,0,6,31,35,0
S01008485,137,157,1,2,53,110,2
S01008486,169,109,2,4,98,75,7
S01008487,107,166,3,2,80,163,3
S01008488,120,124,1,3,70,118,2
S01008489,94,98,0,1,71,72,4
S01008490,123,144,0,4,64,144,8
S01008491,125,117,0,5,55,183,8
S01008492,81,152,54,8,150,240,8
S01008493,122,95,18,3,153,148,9
S01008494,62,84,21,5,210,236,7
S01008495,69,117,0,7,54,371,1
S01008496,59,142,2,7,37,367,4
S01008497,80,123,1,5,28,325,10
S01008498,70,96,5,6,76,260,8
S01008499,79,122,1,6,54,287,6
S01008500,10,22,5,1,132,61,0
S01008501,23,60,5,0,21,200,2
S01008502,81,98,2,0,5,198,8
S01008503,97,161,1,5,8,154,6
S01008504,167,216,0,2,5,144,4
S01008505,130,129,0,0,4,64,3
S01008506,223,144,0,0,16,105,7
S01008507,130,138,9,1,22,157,5
S01008508,179,109,0,0,3,32,3
S01008509,290,159,3,1,6,74,4
S01008510,221,130,0,0,0,36,5
S01008511,213,122,1,1,1,13,1
S01008512,115,84,0,0,0,5,2
S01008513,135,106,0,0,1,5,2
S01008514,239,130,2,0,16,37,5
S01008515,158,121,1,0,3,48,1
S01008516,177,134,2,9,23,281,8
S01008517,138,99,4,2,11,160,4
S01008518,188,114,0,0,1,73,3
S01008519,179,114,0,0,0,29,7
S01008520,271,137,0,0,2,12,3
S01008521,208,122,0,1,4,6,2
S01008522,139,90,2,1,1,19,2
S01008523,254,149,0,0,4,45,3
S01008524,72,103,10,2,210,60,8
S01008525,68,66,0,0,208,65,2
S01008526,148,126,3,4,69,87,4
S01008527,122,100,0,2,13,84,5
S01008528,97,106,1,3,11,76,6
S01008529,147,116,0,6,64,35,3
S01008530,69,83,1,6,160,55,12
S01008531,89,87,0,11,129,74,3
S01008532,71,53,0,1,67,13,4
S01008533,25,24,0,0,14,96,3
S01008534,118,76,1,2,2,67,1
S01008535,198,75,0,0,0,9,1
S01008536,135,96,0,2,4,23,3
S01008537,177,89,0,0,0,10,4
S01008538,162,75,2,0,0,0,1
S01008539,209,103,0,0,1,25,4
S01008540,208,143,1,2,0,19,2
S01008541,178,138,0,0,0,7,3
S01008542,256,294,1,1,25,25,4
S01008543,124,116,0,0,2,14,0
S01008544,109,96,0,0,1,5,1
S01008545,200,114,0,2,1,10,4
S01008546,228,104,0,0,2,4,2
S01008547,184,212,0,3,17,34,5
S01008548,126,316,0,13,79,43,3
S01008549,329,1127,2,39,247,155,12
S01008550,186,106,5,1,4,39,3
S01008551,252,156,6,0,22,54,5
S01008552,216,120,2,1,14,30,0
S01008553,97,88,0,2,120,21,2
S01008554,62,70,0,0,175,47,9
S01008555,55,89,0,6,263,42,6
S01008556,78,97,0,6,139,38,7
S01008557,83,152,1,17,282,92,24
S01008558,97,99,2,6,112,53,12
S01008559,80,97,0,9,72,27,2
S01008560,76,126,0,12,67,28,4
S01008561,88,98,1,6,62,22,1
S01008562,39,72,13,2,350,24,3
S01008563,97,99,2,10,116,69,4
S01008564,105,94,4,7,53,39,3
S01008565,104,99,1,7,210,45,6
S01008566,115,140,6,5,121,46,5
S01008567,68,88,0,2,91,31,3
S01008568,127,121,1,6,17,80,4
S01008569,28,16,0,1,308,27,3
S01008570,86,57,0,1,215,33,5
S01008571,125,85,1,7,80,39,1
S01008572,128,109,0,2,28,44,7
S01008573,133,113,1,0,10,27,1
S01008574,135,117,1,1,4,27,1
S01008575,177,118,1,0,2,22,5
S01008576,219,119,2,4,2,51,2
S01008577,223,124,0,4,44,30,8
S01008578,174,108,0,0,1,10,3
S01008579,320,236,1,4,26,44,8
S01008580,90,78,0,4,39,44,2
S01008581,125,125,2,5,118,97,7
S01008582,135,143,1,14,115,60,5
S01008583,87,93,0,4,85,75,12
S01008584,118,103,1,5,75,67,4
S01008585,56,74,0,5,52,51,2
S01008586,111,117,0,4,105,71,0
S01008587,180,92,0,0,4,45,7
S01008588,174,117,0,0,2,48,2
S01008589,74,55,1,1,33,9,0
S01008590,198,105,1,3,12,90,7
S01008591,124,108,0,0,12,67,4
S01008592,102,118,2,1,36,100,6
S01008593,169,124,0,0,3,23,4
S01008594,244,145,0,0,4,81,6
S01008595,115,93,2,4,167,130,12
S01008596,108,90,3,9,86,140,10
S01008597,227,129,0,4,23,34,4
S01008598,81,85,2,0,34,121,2
S01008599,155,108,1,0,4,92,6
S01008600,120,111,1,0,4,61,4
S01008601,79,43,1,0,29,165,11
S01008602,76,38,6,2,17,177,5
S01008603,88,73,6,1,46,306,3
S01008604,130,75,2,0,12,194,4
S01008605,98,75,2,1,2,129,6
S01008606,146,121,0,1,15,38,1
S01008607,145,72,1,0,23,13,3
S01008608,193,84,1,0,2,30,2
S01008609,200,126,19,2,14,35,3
S01008610,210,76,2,2,7,68,9
S01008611,130,76,2,0,7,295,4
S01008612,62,50,2,0,38,188,6
S01008613,139,63,2,1,14,118,7
S01008614,65,45,4,0,19,162,2
S01008615,100,51,1,0,10,149,6
S01008616,59,52,1,0,1,139,3
S01008617,86,60,2,0,2,118,4
S01008618,49,50,5,0,2,141,2
S01008619,59,42,3,0,2,89,0
S01008620,55,57,4,1,1,151,3
S01008621,64,59,1,0,1,128,2
S01008622,80,39,0,0,0,74,3
S01008623,151,74,2,0,3,106,5
S01008624,202,75,1,0,26,52,5
S01008625,126,81,0,0,13,15,5
S01008626,176,119,0,0,3,79,5
S01008627,123,105,0,2,1,18,3
S01008628,106,75,0,0,8,72,8
S01008629,122,89,0,0,10,73,5
S01008630,83,67,0,1,8,149,4
S01008631,132,106,1,0,14,206,7
S01008632,110,74,0,0,8,178,5
S01008633,239,101,1,0,14,54,7
S01008634,141,82,2,2,0,58,0
S01008635,172,130,2,0,1,97,2
S01008636,147,81,0,0,2,84,0
S01008637,192,100,0,0,4,87,8
S01008638,73,56,1,0,92,106,4
S01008639,121,129,0,0,9,176,11
S01008640,98,117,1,0,6,176,2
S01008641,85,81,2,0,5,184,6
S01008642,133,105,0,0,3,163,3
S01008643,99,99,0,1,4,115,5
S01008644,90,97,2,0,37,156,5
S01008645,104,109,0,2,3,127,3
S01008646,94,145,0,1,26,221,3
S01008647,80,96,0,2,32,156,3
S01008648,43,74,1,0,16,180,4
S01008649,73,111,3,0,34,308,4
S01008650,74,110,1,1,35,206,6
S01008651,74,101,3,1,141,290,4
S01008652,37,65,0,0,67,145,9
S01008653,34,61,2,0,92,182,7
S01008654,61,104,2,1,101,315,8
S01008655,53,71,10,4,74,237,6
S01008656,34,56,1,0,152,197,2
S01008657,45,63,0,0,85,157,2
S01008658,99,90,4,0,149,500,14
S01008659,47,57,8,1,71,254,6
S01008660,121,68,0,0,19,322,9
S01008661,57,35,0,3,136,201,1
S01008662,31,25,0,0,41,173,7
S01008663,59,69,7,0,65,235,1
S01008664,61,72,0,2,38,210,9
S01008665,97,84,3,3,89,370,6
S01008666,78,47,6,0,22,171,6
S01008667,110,56,2,0,106,224,9
S01008668,64,47,2,0,10,179,6
S01008669,21,7,0,0,7,93,3
S01008670,24,25,1,0,9,190,5
S01008671,45,41,3,0,17,214,1
S01008672,81,37,1,0,12,193,6
S01008673,178,58,3,0,202,633,31
S01008674,51,24,1,0,54,243,5
S01008675,87,26,3,0,84,220,8
S01008676,86,53,2,0,28,177,12
S01008677,77,44,0,0,42,228,4
S01008678,36,35,0,0,86,232,2
S01008679,37,31,4,0,210,229,10
S01008680,20,15,4,0,86,226,0
S01008681,63,42,4,0,141,269,4
S01008682,78,44,6,0,93,188,7
S01008683,48,43,3,1,290,190,12
S01008684,100,48,3,3,234,190,12
S01008685,71,16,5,0,156,216,8
S01008686,62,121,7,6,217,217,4
S01008687,55,99,0,3,20,220,2
S01008688,101,116,7,5,78,189,2
S01008689,72,140,0,1,60,219,4
S01008690,168,258,0,4,31,322,5
S01008691,128,202,9,9,82,276,9
S01008692,135,291,5,13,138,230,0
S01008693,79,61,1,0,7,10,1
S01008694,137,172,0,2,10,192,2
S01008695,85,167,2,0,7,78,4
S01008696,126,119,2,2,1,23,3
S01008697,216,158,0,2,3,53,7
S01008698,115,58,0,1,6,14,2
S01008699,140,133,2,9,87,91,9
S01008700,152,79,0,0,0,25,4
S01008701,22,108,30,19,369,140,2
S01008702,27,71,0,2,38,151,6
S01008703,15,73,10,3,311,59,7
S01008704,86,692,6,92,538,221,6
S01008705,26,52,1,0,137,145,4
S01008706,12,88,0,18,156,40,5
S01008707,24,57,10,6,258,36,2
S01008708,23,73,0,3,383,21,6
S01008709,47,71,2,6,120,26,3
S01008710,20,49,0,5,123,27,5
S01008711,75,71,0,5,175,56,11
S01008712,79,73,1,3,340,31,12
S01008713,37,40,0,0,147,30,0
S01008714,57,71,0,6,84,39,0
S01008715,111,88,1,1,123,24,4
S01008716,88,75,0,7,93,30,5
S01008717,66,94,0,2,5,31,3
S01008718,130,150,0,5,35,40,7
S01008719,138,202,2,9,13,82,5
S01008720,159,426,1,14,82,71,1
S01008721,133,168,0,0,5,19,0
S01008722,245,159,0,4,84,23,6
S01008723,138,116,0,0,29,24,3
S01008724,202,137,0,0,44,40,4
S01008725,132,121,1,0,16,30,0
S01008726,132,89,1,0,1,13,3
S01008727,229,137,2,0,18,68,6
S01008728,99,92,2,0,49,35,2
S01008729,118,118,2,1,10,27,2
S01008730,103,136,1,3,21,117,0
S01008731,116,80,0,3,31,26,0
S01008732,90,91,0,6,49,99,2
S01008733,215,322,5,12,103,175,7
S01008734,154,90,15,3,24,20,2
S01008735,212,158,4,0,3,13,2
S01008736,156,116,2,0,19,14,1
S01008737,167,108,0,0,2,4,4
S01008738,174,123,1,1,1,4,2
S01008739,133,103,0,4,25,24,0
S01008740,106,72,0,0,3,10,2
S01008741,222,164,0,0,4,19,3
S01008742,126,69,0,1,35,45,3
S01008743,113,136,0,12,93,93,4
S01008744,169,175,0,4,65,82,7
S01008745,120,66,0,3,7,37,0
S01008746,90,148,2,10,150,127,6
S01008747,110,74,0,1,2,18,1
S01008748,182,86,0,1,1,10,5
S01008749,252,148,0,0,12,23,2
S01008750,192,88,1,0,2,12,5
S01008751,99,80,3,6,55,30,4
S01008752,54,87,1,22,115,60,5
S01008753,58,59,2,10,93,71,4
S01008754,43,76,0,11,103,82,3
S01008755,90,142,2,17,202,160,5
S01008756,76,92,1,13,136,51,6
S01008757,51,56,3,10,155,40,6
S01008758,79,106,0,7,131,51,6
S01008759,63,63,2,7,135,33,0
S01008760,55,72,8,9,260,55,7
S01008761,55,74,1,2,17,95,7
S01008762,139,114,3,1,2,44,0
S01008763,151,197,0,2,8,64,4
S01008764,101,138,1,0,30,31,3
S01008765,121,193,0,1,6,83,3
S01008766,205,167,0,0,16,26,2
S01008767,88,95,1,0,26,34,1
S01008768,126,353,16,17,395,244,6
S01008769,103,151,1,3,95,214,6
S01008770,106,174,0,5,13,163,2
S01008771,98,136,1,3,111,226,4
S01008772,131,150,0,0,34,73,1
S01008773,118,154,14,14,129,157,2
S01008774,87,150,1,3,168,148,3
S01008775,66,111,0,0,35,48,3
S01008776,53,108,8,6,115,105,3
S01008777,75,103,5,7,267,131,5
S01008778,119,162,13,6,126,230,5
S01008779,96,167,3,0,17,171,7
S01008780,27,83,1,1,7,116,0
S01008781,45,164,21,3,231,182,1
S01008782,64,124,6,2,60,147,2
S01008783,57,62,5,3,22,105,4
S01008784,25,55,4,1,59,94,2
S01008785,55,79,2,3,153,103,8
S01008786,81,179,2,3,69,222,4
S01008787,2,4,0,1,140,12,1
S01008788,79,115,6,4,48,155,4
S01008789,78,132,5,8,185,88,9
S01008790,52,75,1,0,91,117,1
S01008791,70,170,1,7,25,195,1
S01008792,108,170,1,4,65,118,0
S01008793,30,46,1,4,103,100,2
S01008794,98,117,11,10,173,117,7
S01008795,88,174,11,9,33,216,2
S01008796,60,119,4,9,153,241,5
S01008797,81,119,10,2,64,201,7
S01008798,98,146,2,4,70,213,4
S01008799,29,126,0,4,44,127,1
S01008800,72,192,1,6,68,303,1
S01008801,81,158,1,5,30,251,3
S01008802,87,131,0,3,73,299,6
S01008803,58,106,0,0,113,225,5
S01008804,38,53,1,6,76,138,2
S01008805,49,64,1,0,18,177,1
S01008806,153,178,3,3,107,267,8
S01008807,109,130,2,3,33,187,3
S01008808,83,100,0,1,86,129,7
S01008809,109,68,2,2,20,139,7
S01008810,112,130,1,0,6,145,0
S01008811,90,82,2,0,6,149,7
S01008812,52,53,0,0,7,88,4
S01008813,112,133,1,0,176,141,4
S01008814,112,108,4,2,20,150,2
S01008815,87,104,8,7,94,244,4
S01008816,86,119,0,2,44,84,15
S01008817,64,241,0,10,151,163,0
S01008818,134,222,0,5,33,123,5
S01008819,121,132,0,2,22,94,1
S01008820,87,154,0,0,202,148,3
S01008821,88,140,1,2,9,34,0
S01008822,134,120,0,0,5,27,0
S01008823,149,86,2,0,1,30,5
S01008824,210,195,0,4,12,78,3
S01008825,162,128,0,0,9,47,0
S01008826,91,88,2,1,42,92,3
S01008827,146,105,0,0,2,15,2
S01008828,169,158,0,1,20,79,7
S01008829,126,103,0,1,25,35,5
S01008830,196,134,0,1,14,52,3
S01008831,214,84,0,1,16,40,0
S01008832,194,81,0,3,5,57,6
S01008833,215,150,1,0,42,91,4
S01008834,258,165,2,1,4,64,4
S01008835,196,136,0,0,13,48,9
S01008836,68,138,0,1,78,168,2
S01008837,150,228,6,2,65,295,11
S01008838,194,185,0,2,23,266,6
S01008839,166,163,1,0,40,205,9
S01008840,184,162,0,0,10,144,4
S01008841,98,133,1,2,19,136,2
S01008842,65,170,9,3,6,150,2
S01008843,125,136,4,1,112,267,7
S01008844,68,100,0,0,22,172,3
S01008845,151,99,2,1,18,239,10
S01008846,97,69,4,1,27,134,3
S01008847,85,52,0,0,6,128,2
S01008848,151,78,0,0,15,111,4
S01008849,129,64,1,0,1,148,4
S01008850,159,82,3,0,14,91,9
S01008851,172,65,0,4,134,194,6
S01008852,231,92,2,1,4,107,16
S01008853,105,70,1,0,5,123,13
S01008854,191,95,2,1,1,191,8
S01008855,183,156,1,1,10,282,14
S01008856,73,83,1,1,5,146,5
S01008857,165,95,0,2,7,155,8
S01008858,138,66,3,1,1,110,2
S01008859,158,107,2,0,79,306,15
S01008860,166,128,1,0,25,184,4
S01008861,171,89,0,0,2,81,4
S01008862,134,104,2,0,34,226,12
S01008863,106,105,2,0,13,148,7
S01008864,177,108,0,1,5,134,4
S01008865,157,127,2,0,4,145,7
S01008866,139,120,1,0,2,178,3
S01008867,198,119,0,0,2,89,5
S01008868,136,98,2,1,10,238,8
S01008869,235,154,1,0,50,159,12
S01008870,180,117,1,0,2,113,4
S01008871,173,136,1,0,3,126,5
S01008872,140,115,1,2,10,149,7
S01008873,223,124,0,0,2,97,8
S01008874,198,120,4,0,51,168,12
S01008875,146,117,4,12,26,201,3
S01008876,187,83,1,3,3,15,4
S01008877,112,82,0,1,6,31,0
S01008878,184,141,3,1,64,53,7
S01008879,159,137,0,0,25,60,5
S01008880,133,95,0,5,20,32,5
S01008881,232,89,0,1,1,46,1
S01008882,202,182,0,1,2,41,4
S01008883,225,134,0,0,4,19,4
S01008884,190,91,0,0,1,20,4
S01008885,189,141,0,1,1,9,1
S01008886,236,148,1,0,4,101,6
S01008887,169,119,0,0,3,38,0
S01008888,117,112,1,0,0,123,4
S01008889,193,141,0,4,2,91,7
S01008890,149,117,0,1,15,14,2
S01008891,181,145,1,0,2,7,3
S01008892,240,134,0,0,51,97,6
S01008893,185,152,2,0,4,19,1
S01008894,201,120,0,2,22,15,6
S01008895,160,119,0,2,1,18,5
S01008896,118,110,0,2,2,13,0
S01008897,153,120,1,2,0,25,5
S01008898,198,120,0,1,0,11,1
S01008899,91,92,0,8,138,37,2
S01008900,137,131,0,6,75,51,4
S01008901,116,111,0,3,95,33,7
S01008902,91,138,2,4,146,96,8
S01008903,167,121,0,1,122,35,9
S01008904,73,98,1,7,113,125,3
S01008905,52,70,2,7,219,123,4
S01008906,32,51,7,11,177,78,7
S01008907,17,53,12,6,255,57,7
S01008908,110,245,3,22,171,172,9
S01008909,113,133,0,16,10,70,0
S01008910,53,95,0,7,6,47,2
S01008911,102,263,0,18,96,221,12
S01008912,136,139,0,1,12,31,7
S01008913,66,151,0,9,6,52,1
S01008914,142,158,0,0,52,25,5
S01008915,115,82,0,0,12,18,0
S01008916,113,78,0,9,268,73,9
S01008917,30,41,4,4,229,31,8
S01008918,9,10,1,2,177,25,1
S01008919,12,25,0,2,182,24,1
S01008920,133,317,3,9,284,284,8
S01008921,52,64,0,5,302,57,8
S01008922,76,98,0,5,108,79,6
S01008923,84,76,0,2,220,101,6
S01008924,28,31,1,4,240,34,2
S01008925,69,84,0,7,50,66,4
S01008926,63,94,3,4,48,31,1
S01008927,27,141,11,32,118,142,3
S01008928,32,87,15,5,145,122,6
S01008929,35,81,1,14,384,36,4
S01008930,17,43,0,5,265,44,4
S01008931,53,95,0,17,499,59,7
S01008932,68,122,0,14,91,118,6
S01008933,25,47,0,2,183,23,3
S01008934,77,84,3,1,100,66,5
S01008935,176,139,2,5,7,31,6
S01008936,87,70,0,1,0,0,1
S01008937,201,151,1,2,10,56,4
S01008938,134,128,0,0,2,19,0
S01008939,156,140,1,0,3,14,0
S01008940,162,81,0,0,1,4,3
S01008941,187,147,0,1,15,35,6
S01008942,141,139,0,1,3,48,2
S01008943,200,128,0,0,2,13,1
S01008944,244,160,0,0,2,25,1
S01008945,160,140,0,1,0,12,2
S01008946,302,139,0,0,2,19,5
S01008947,277,159,0,0,8,17,2
S01008948,152,112,0,0,20,16,2
S01008949,131,170,0,4,61,23,10
S01008950,155,181,0,1,49,29,7
S01008951,101,122,4,12,125,66,10
S01008952,77,121,0,16,120,78,9
S01008953,126,135,0,11,87,48,10
S01008954,123,132,0,4,159,58,11
S01008955,103,103,0,3,17,25,1
S01008956,165,179,1,10,68,45,3
S01008957,151,119,0,3,94,60,4
S01008958,100,114,1,8,154,67,3
S01008959,135,140,2,3,56,28,1
S01008960,160,196,2,0,38,53,0
S01008961,156,121,0,7,2,28,3
S01008962,159,101,0,2,2,11,0
S01008963,199,117,0,5,5,22,0
S01008964,128,73,0,0,2,9,3
S01008965,190,128,0,2,15,9,0
S01008966,143,96,0,5,16,12,2
S01008967,251,156,0,3,3,9,5
S01008968,263,306,12,9,64,50,5
S01008969,194,180,0,4,19,27,6
S01008970,232,154,1,1,8,42,3
S01008971,146,116,0,1,0,11,0
S01008972,159,127,0,0,3,12,4
S01008973,191,130,4,2,3,60,7
S01008974,174,129,2,2,11,53,3
S01008975,155,83,0,1,103,79,10
S01008976,116,82,0,0,0,12,0
S01008977,174,65,1,0,8,14,3
S01008978,93,103,0,0,6,47,1
S01008979,85,136,0,2,3,85,2
S01008980,95,129,2,0,6,100,0
S01008981,185,121,1,0,2,16,2
S01008982,110,142,1,12,2,88,2
S01008983,70,104,2,18,15,108,4
S01008984,74,91,0,3,3,57,2
S01008985,139,235,2,15,29,99,3
S01008986,179,141,0,1,0,13,2
S01008987,198,105,0,3,3,13,4
S01008988,177,134,0,1,26,140,4
S01008989,89,134,0,11,8,109,2
S01008990,128,237,0,15,41,121,5
S01008991,163,164,0,0,2,56,4
S01008992,101,66,7,3,31,46,7
S01008993,189,205,0,4,10,75,5
S01008994,110,96,0,4,75,26,2
S01008995,155,125,4,0,12,31,3
S01008996,118,179,0,4,64,32,4
S01008997,136,232,0,2,43,46,0
